,Modified_meta-llama_llama-3.3-70b-instruct_of_Modified_meta-llama/Llama-3.3-70B-Instruct-Turbo_of_CV_Modelmeta-llama/Llama-3.3-70B-Instruct-Turbo_Modelmeta-llama_llama-3.3-70b-instruct
216,"Designer with experience in collaborative and individual projects, including landing pages, website redesigns, web services, and mobile application development. Proven track record of delivering 3 projects, including 1 team project that involved researching and implementing a patient-side user flow.

Possess a solid foundation in design principles, acquired through IT courses, with proficiency in professional design tools. Skilled in communication, teamwork, and time management, with the ability to receive feedback, collaborate, and meet deadlines.

Eager to grow and develop as a designer, embracing new challenges and opportunities.

PROJECT EXPERIENCE

* Landing page “Barbershop in Kyiv”: Designed a one-page site to promote services, featuring information on services, professional masters, customer reviews, and competitive advantages.
* Web service for a medical clinic: Collaborated on a full-cycle design project, creating a patient page with online appointment scheduling, medical history, and payment history features.
* Redesign for Design “KIDS PLACE”: Conducted a full-cycle redesign of the website, resulting in a modern and convenient site with an adaptive version for increased accessibility and a broader target audience.

Seeking a full-time or part-time designer position at a company that prioritizes user-friendly and productive products, with a focus on user experience. As a quick learner, purposeful, responsible, and complex task-oriented individual, ready to contribute to a dynamic team."
217,"UI/UX Designer

Summary:
Highly motivated and detail-oriented UI/UX designer with experience in creating efficient and convenient user interfaces and experiences. Proficient in using Adobe Creative Suite and Figma, with strong communication and collaboration skills to work effectively in a team environment.

Experience:
Non-Commercial Project: Ina&Mi Branding
- Developed a logo and created a corporate style for a young Ukrainian brand of modern women's clothing using Adobe Illustrator, Adobe Photoshop, and Adobe InDesign
- Delivered the project successfully, resulting in a satisfied customer

Personal Projects:
- Designed a landing page while preserving the corporate style of a company
- Redesigned a website, including market analysis, competitor analysis, wireframes, sitemaps, and UI/UX design creation
- Contributed to the development of a free web service for booking accommodation
- Developed an application for booking tables in restaurants, cafes, and bars using Figma and Adobe Photoshop

Skills:
- UI/UX Design for websites, web services, and mobile applications
- Proficient in Adobe Creative Suite (Adobe Illustrator, Adobe Photoshop, Adobe InDesign)
- Experienced in using Figma for design and development
- Strong communication and collaboration skills for effective team work
- Possess leadership, flexibility, creativity, organization, and interpersonal skills

Career Expectations:
- Collaborative work on quality products meeting business and user needs
- Opportunities for professional growth and development
- Company-provided training, support, and mentoring

What I Can Offer:
- Support and assistance to colleagues for achieving success in set goals and tasks
- Creative and cooperative approach to problem-solving with a fresh perspective
- Enthusiasm and desire to learn from colleagues' experiences and develop new skills"
218,"Project Crypto Wallet allowed me to hone my skills as a UI/UX designer and provided me with valuable experience in designing for complex and challenging projects in the crypto space.
• Developed a secure and user-friendly platform for managing cryptocurrencies.
• Conducted user research and implemented user-centered design principles to ensure that the product met the needs of its target audience.

The redesign of the Cucina di Catherina online store was a challenging and rewarding project that allowed me to apply my UI/UX design skills to enhance the customer experience and achieve the client's goals.
• Successfully created a fresh, modern look that aligned with the brand's vision and values.
• Improved the website's user experience by making it more intuitive and engaging.
• Increased website traffic and engagement metrics by X% after the redesign.

As a highly creative and detail-oriented junior UI/UX designer, I have a passion for crafting intuitive and engaging digital experiences. With a strong foundation in design principles and a natural ability to solve complex problems, I am able to create user-centered designs that meet the needs of diverse audiences.

Experience:
Crypto Wallet Tutis
Application, full cycle design
This experience has challenged me to consider complex design problems such as security and data privacy, and to think deeply about the user's needs in managing their cryptocurrencies.
Throughout the project, I focused on creating a secure and intuitive platform that would provide a seamless user experience while ensuring the safety of their assets.
I also conducted extensive user research to understand the needs of crypto wallet users and incorporated their feedback into the design process. This helped to create a user-centered design that met the needs of a diverse audience.

Redesign Cucina di Catherina
Online Store Website, full cycle design
The goal of the project was to create a more modern and user-friendly platform that would enhance the customer experience and increase sales.
I began by conducting extensive user research to understand the pain points and needs of customers when shopping on the current website. I also designed new visual elements and a fresh color palette to modernize the brand's image and enhance the overall aesthetic of the site.
Throughout the design process, I conducted usability testing to ensure that the new design met the needs of users and addressed any issues that arose.

Skills:
• Adobe Suite
• Creating web interfaces, mobile design, and landing pages in Figma
• Experience in redesign
• Developing user personas, user scenarios, and sitemaps
• UX research and analysis of competitors
• Using Google Material Design Guidelines
• Working with photos in Photoshop
• Design of icons, logos, and illustrations in Illustrator
• Wireframing and Prototyping
• Visual Interface
• Site map and user flow
• Adaptation

I expect to work on a variety of projects that require designing engaging and intuitive user experiences. I would like to collaborate with cross-functional teams, including product managers, developers, and stakeholders, to ensure that my designs meet both business goals and user needs.
I would also like the opportunity to conduct user research and create user personas to inform design decisions. I would like to design wireframes and prototypes to test and iterate on design concepts, develop design systems and style guides to maintain visual consistency across products, collaborate with developers to ensure that designs are technically feasible and implemented correctly, advocate for user-centered design principles, and promote the user throughout the design process. I want to continuously gather feedback and iterate on designs to improve the user experience.

Overall, I expect to work in a dynamic and challenging environment that requires me to think creatively and solve complex design problems."
219,"Junior UI/UX Designer

Summary:
Passionate and detail-oriented junior UI/UX designer with experience in designing aesthetically pleasing and effective web and mobile applications. Driven by the desire to turn ideas into reality and create interfaces that solve problems and simplify daily goals for the target audience.

Experience:
Team Leader, Paw Rescue Project
- Designed prototypes' visual aspects and organized team's work
- Collaborated with the team to design a website for finding lost and found animals, including competitor analysis and user flow development

UI/UX Design Experience:
- Redesigned the Italian Sauce Website to enhance customer attraction and user experience through competitor research, updated color scheme, uniform photos, and modern typography, with mobile and tablet adaptations
- Created a Landing Page for Flower Lover by analyzing the target audience, designing a clear interface with necessary menu items, and building the interface from scratch
- Contributed to the Paw Rescue team project, utilizing a design system to create a convenient and modern interface for a website dedicated to finding lost and found animals

Career Goals:
Seeking a remote office position in a company that offers mutual respect, friendly atmosphere, corporate training and development, and career growth opportunities."
220,"Junior UI/UX Designer

Summary:
Highly organized and collaborative UI/UX designer with experience in creating user interfaces and visual designs for web services and mobile apps. Proficient in using design tools like Adobe Photoshop, Figma, and similar software.

Skills:
- Proficient in Adobe Photoshop, Figma, and other graphic editing tools
- Experienced in creating wireframes, interactive prototypes, and visual designs
- Knowledgeable in design systems and their components
- Skilled in creating user flows and journey maps
- Able to design interfaces that adapt to various screen sizes and devices

Experience:
Junior UI/UX Designer
- Collaborated with teams to design user-friendly and visually appealing interfaces for web services and mobile apps
- Created layouts that worked well on different devices for web services
- Designed screens for mobile apps considering touch interactions and clarity
- Utilized Figma, Adobe Photoshop, and Protopie to create layouts and mockups
- Adapted to different project requirements and improved skills

Projects:
1. Custom Concepts - Tattoo Studio Website Redesign
   - Redesigned the existing website to make it easier and more convenient for customers
   - Updated the main color palette, used high-quality photos, and created a simple booking form
   - Implemented a new structured visual hierarchy

2. PetRescue - Web-service for Searching Animals
   - Contributed to a web application designed to help reunite lost animals with their owners
   - Utilized Figma, Adobe Photoshop, FigJam, and Adobe Illustrator as main tools

Languages:
- Native Ukrainian
- Fluent in Russian
- Upper-intermediate English
- Elementary Polish

Career Goals:
- Continuously learn and improve as a UI/UX designer
- Work on diverse projects and explore new design approaches
- Create designs that are enjoyable for everyone, with a focus on feedback and iteration"
221,"Junior UI/UX Designer

Summary:
Results-driven junior UI/UX designer with experience in creating digital experiences that offer optimal user experience, with a proven track record of successfully leading teams and presenting projects to customers.

Experience:
Junior UI/UX Designer
- Created digital experiences for landing pages, redesigns, web services, and mobile applications
- Utilized UX research methodologies, including competitive analysis, heuristics analysis, and surveys
Team Lead, Buki School Project
- Organized team work and presented the project to the customer
- Conducted in-depth interviews, questionnaires, formed personas and empathy maps

Projects:
Redesign for Buki School (Team Project)
- Conducted full-fledged UX research, including competitive analysis, heuristics analysis, in-depth interviews, personas, and surveys
- Created a clickable cabinet prototype and presented the project to the customer
DocMe Web Service (Team Project)
- Contributed to UX research and created the main site
- Assisted in making changes to patient and doctor cabinets, utilizing methodologies such as competitor and target audience analysis, personas, JBTD, and CJM

Career Goals:
Seeking a collaborative environment with like-minded individuals who value design and innovation, with opportunities for training and development to stay up-to-date with the latest trends and techniques in web design."
222,"Team Leader & Junior UI/UX Designer

Summary:
Results-driven team leader and junior UI/UX designer with experience in managing projects, designing intuitive interfaces, and collaborating with cross-functional teams. Proven track record of delivering projects on time and exceeding expectations.

Experience:
Team Leader, Web-service for finding lost pets project
- Determined direction of work, distributed responsibilities, and scheduled team meetings
- Ensured smooth workflow, resulting in an intuitive interface that met target audience expectations
- Successfully completed project on time, receiving high appreciation from mentor

Collaborator, Start-up project for accountants and related professionals
- Contributed to the development of a web service for calculating salaries, bonuses, and other related tasks

Junior UI/UX Designer
- Completed a special course in UI/UX design, including 6 study cases
- Applied design principles to create user-friendly and visually appealing interfaces

Projects:
- Mobile app for a chain of coffee shops: Designed an intuitive and youth-oriented interface, including competitor analysis, target audience analysis, persona creation, JTBD, user flow development, wireframes, design creation, and animation
- Web-service for finding lost pets: Conducted competitor analysis, target audience analysis, user-persona compilation, JTBD, CJM, and User-Flow development, resulting in a design that met target audience expectations
- Travel agency website redesign: Created a clear and concise design, including competitor analysis, target audience analysis, persona compilation, user flow development, wireframes, design, adaptation, and animation

Career Goals:
Seeking a team of specialists where I can apply my theoretical knowledge, develop my skills, and grow professionally over time."
223,"Junior UX/UI Design Professional

Education:
- Bachelor's degree in Hospitality and Tourism Management with a Minor in International Relations, Florida International University
- Digital Marketing Professional Certificate, University of Miami

Summary:
Results-driven Junior UX/UI Designer with a passion for digital marketing and UX/UI design. Proven ability to craft intuitive user interfaces that maximize user experience and improve results. Proficient in Figma, Adobe Illustrator, and Adobe Photoshop.

Experience:
Professional Athlete, Ukrainian National Team
Junior UX/UI Designer 
  - Designed a web service for VitalMed private medical clinic
  - Redesigned a website for a tattoo salon
  - Created a Citroen C4 landing page

Skills:
- UX/UI Design
- Figma
- Adobe Illustrator
- Adobe Photoshop
- Digital Marketing

Career Goals:
Seeking a supportive environment to learn and grow as a Junior UX/UI Designer, with opportunities to work on challenging projects involving problem-solving, research, and creative thinking, aiming to become a strong and knowledgeable designer creating meaningful user experiences and contributing to team success."
224,"Junior Web Designer

Summary:
Responsible for designing web pages, graphics, and visual elements for company website and marketing materials, utilizing tools such as Figma, Adobe Illustrator, and OBS Studio.

Key Responsibilities:
- Designed a company website from scratch
- Controlled design of finished pages
- Collaborated with developers and testers
- Created wireframes, mockups, and prototypes to communicate design concepts
- Designed marketing materials, including social network covers, YouTube video previews and footage, and recorded product functionality videos

Technical Skills:
Figma, Adobe Illustrator, OBS Studio

Experience and Skills:
Gained experience and skills in designing effective marketing materials and web pages, with a strong foundation in collaborative design and development. Seeking to apply and further develop these skills in new projects."
225,"As a creative and detail-oriented professional with a background in Economics and experience in graphic design, I am excited to transition into the field of UX design.

Education:
Bachelor's degree in Economics
Master's degree in Economics

Experience:
Graphic and Social Media post designer, Education Center
- Designed engaging social media posts, posters, and printables
- Managed the organization's branding process
- Developed an understanding of user-centric design principles and aesthetics

Skills:
Analytical thinking
Creative problem-solving
Attention to detail
Deadline management
Graphic design
Social Media post design
Branding

Career Goal:
To secure an entry-level UX/UI designer position where I can apply my skills, learn, and grow, creating intuitive and user-friendly interfaces that deliver exceptional user experiences."
226,"UI/UX Designer

Summary:
Highly skilled UI/UX designer with commercial experience in various projects and domains, possessing expertise in UX research, design systems creation, and marketing materials development.

Technical Skills:
- UX research
- Design Systems creation
- Working with different guidelines
- Marketing materials creation
- Mobile design (rules, patterns)
- Angular Material
- Kendo UI
- Human Interface Guidelines
- Google Material Design

Experience:
UI/UX Designer
- Designed and developed mobile applications, including a guide app and a lottery app
- Redesigned the corporate website to ensure adaptivity across web, mobile, and tablet platforms

Key Responsibilities:
- Conducted design analysis of old screens
- Created design systems based on the Design Thinking process
- Developed marketing materials for the marketing team
- Designed visual content for the company's social media across all platforms
- Created case studies and Behance cases

Projects:
- Conducted user research
- Investigated competitors
- Participated in brainstorming sessions
- Built style guides
- Created information architecture
- Developed prototypes
- Created adaptive designs
- Communicated with clients and developers
- Created wireframes and mockups"
227,"Summary:
Dedicated and detail-oriented specialist with a strong foundation in design principles, passionate about crafting seamless and intuitive user experiences. Proven ability to collaborate with cross-functional teams to create visually appealing and impactful interfaces for web and mobile applications.

Experience:
Table Tab Mobile App Design
June 2023 - August 2023
- Conducted research and created wireframes, prototypes, and UI screens for a mobile app designed to book restaurant seats
- Collaborated with the team to develop a rewards system, enhancing user engagement and experience

Host Radar Project Design
April 2023 - June 2023
- Performed market and competitor analysis for a web service focused on work and recreation
- Prepared wireframes, animated prototypes, and finished cases for the project

Mainsal Realty Company Redesign
February 2023 - April 2023
- Redesigned a website to improve user experience, conducting research and comparing competitors in the US market
- Created a modern and user-friendly website, driving business growth and customer loyalty

Skills:
- User interface design for web and mobile applications
- User experience (UX) design
- Design principles and systems
- Wireframing and prototyping
- Market and competitor analysis
- Collaboration and teamwork

Career Goals:
- Further develop design skills and knowledge
- Contribute to innovative and user-centric projects
- Collaborate with senior designers and stakeholders to deliver compelling user experiences"
228,"Recent Graduate of Plural Code Academy

Key Skills and Experience:
- User interface and user experience design for web and mobile applications
- User research and analysis
- Wireframing and prototyping
- Usability testing and iteration

Professional Experience:
Intern, Software Agency
- Designed and completed website and mobile views for a cryptocurrency platform
- Designed a website for a resort center
Final Project: Designed a mobile app for a salon, utilizing industry-standard tools like Figma to create user interfaces and experiences for web and mobile applications

Personal Qualities:
- Quick learner and problem-solver
- Team player with strong collaboration skills
- Committed to delivering high-quality work and meeting deadlines

Career Goals:
Seeking an opportunity to gain hands-on experience in UI/UX design and learn from experienced professionals in the industry."
229,"As a team leader in case studies projects, I managed tasks and modified designs to meet target audience needs, leveraging strong empathy skills to create user-friendly experiences. This experience developed my project management skills and reinforced collaborative teamwork abilities.

With over two years of marketing experience, I honed creative and strategic skills, delivering visually appealing design solutions that meet client needs and goals. My marketing background provides a keen understanding of user personas and pain points, enabling effective design solutions. I developed strong project management and communication skills, working with diverse clients across various industries.

In UI/UX design projects, I applied my skills to a travel service website, conducting research, design, adaptation, and prototyping. Collaborating with a two-person team, I gained experience in teamwork and project timeline management. I also worked on a Scan-and-Go mobile app, involving extensive market analysis and design, following user patterns to simplify the shopping process. I utilized Figma, Adobe Photoshop, and Protopie to complete the project and create a functional prototype.

As a marketer transitioning to design, I bring creativity and strategic thinking to new projects. I am excited to apply my UI/UX design skills to create visually appealing solutions meeting end-user needs. I am open to working with teams that value business needs and creating user-friendly customer experiences."
230,"UI Designer
Hig"
231,"UI UX Designer

Dedicated to creating intuitive and visually appealing digital interfaces, I leverage my experience in full-cycle design to enhance the user experience. Proficient in Figma, Adobe Photoshop, Adobe Illustrator, and Canva, I have worked on various projects, including landing pages, web services, redesigns, and mobile apps, both individually and as part of a team.

Key Projects:
Cozy House Web Service
- Collaborated on a team project, completing full-cycle design for a host reservation platform connecting travelers with hosts
- Completed all stages of the design process: competitive analysis, user personas, Jobs To Be Done (JTBD), Customer Journey Map (CJM), user flow, wireframes, visual design, and adaptation

Cucina di Catherina Website
- Conducted a full-cycle redesign to refresh an outdated website
- Updated visual content, structured information for easier navigation, and highlighted the product's unique selling proposition

Experience:
- Completed three full-cycle design projects, with one being a team project
- Demonstrated ability to work collaboratively, take feedback constructively, and produce high-quality outcomes

Career Goals:
Seeking a full-time position to learn from and work alongside experienced designers, contributing my perspective to projects and continuing to grow as a UI UX Designer."
232,"UI/UX Designer

Summary:
Results-driven UI/UX Designer with a strong background in leading projects and crafting intuitive designs for web and mobile applications, with a focus on creating visually appealing and user-friendly experiences.

Experience:
Team Lead, Travel Service Project
- Spearheaded the development of an intuitive web interface for a platform connecting hosts and tourists, delivering a seamless user experience.
- Designed and implemented two distinct user flows for hosts and tourists, including wireframing and adaptive design versions.

UI/UX Designer, Commercial Coaches Service
- Currently designing user-centered interfaces for a commercial coaches service, prioritizing ease of use and accessibility.

Pet Project: Booking Table Service Application
- Conceptualized and developed a web application enabling users to book restaurant and cafe tables efficiently, eliminating the need for phone calls.
- Successfully implemented a feature allowing users to select from available tables, enhancing the overall user experience.

Other Projects:
- Redesign of Ukrainian School Platform
  - Created comprehensive wireframes, desktop, and adaptive versions for tablet and mobile devices.
  - Designed an informative platform providing detailed school information and facilitating user-school communication.

Skills:
- UI/UX Design
- Web and Mobile Application Design
- Wireframing
- Adaptive Design
- User Flow Creation
- Collaborative Teamwork
- Commitment to Excellence

Career Goals:
- Seeking opportunities for growth, exciting projects, and knowledge sharing to further develop skills and expertise."
233,"UI/UX Designer

Completed projects focusing on creating intuitive and visually appealing user interfaces and enhancing user experiences, including:
- Designed a Mobile Banking Application
- Conducted User Research for a Health App

Utilized design tools and technologies such as Sketch, Figma, Adobe XD, InVision, and Marvel to create wireframes, interactive prototypes, and high-fidelity designs.

Collaborated with cross-functional teams, including product managers, developers, and designers, to understand user needs and develop design solutions. Conducted user research, analyzed user feedback, and performed usability testing to inform design decisions. Created wireframes, user flows, and visual designs aligned with user goals and business objectives.

Focused on improving usability and accessibility in design, staying updated with the latest UI/UX design trends, best practices, and accessibility guidelines to cater to a diverse user base. Continuously aimed to enhance skills in user research and usability testing to gather valuable insights and validate design decisions.

Goal-oriented towards creating interfaces that provide a seamless and delightful user experience, helping users achieve their goals efficiently and effortlessly."
234,"UI/UX Designer

Pet-projects: Multiple solo and team projects focusing on user-centered design and problem-solving.

Key Responsibilities and Skills:
- Conduct competitive analysis and define client problems
- Create Customer Journey Maps and identify target audiences
- Develop wireframes and user flows
- Design mobile and tablet adaptations for desktop projects
- Create prototypes addressing user needs and pain points

Notable Projects:
- ""Travel Go"": Web service for affordable or free travel accommodations through volunteering opportunities
- ""ReserveNow"": Mobile application for restaurant table bookings with layout viewing, seat/table selection, and time-based reservations

Tools and Software:
- Figma
- Adobe Photoshop
- FigJam
- Adobe Illustrator

Design Approach:
- User-centered design process incorporating task analysis, interface prototyping, and visual style establishment
- Delivery of user-friendly final products through comprehensive design

Collaboration:
Eager to collaborate on developing user-centered design concepts for web and mobile applications"
235,"Junior UX/UI Designer
Ukraine

Summary:
Results-driven UX/UI designer with experience in leading design teams, conducting UX research, and creating user-friendly interface designs. Proven ability to foster collaboration, creativity, and motivation among team members.

Professional Experience:

UX/UI Designer
2022-2023
- Built and managed a design team, focusing on UX research, prototyping, design, knowledge sharing, and teamwork
- Developed leadership skills and delivered high-quality design projects

UX/UI Designer
07.02-30.03, 2023
- Designed the entire interface for a medical clinic, conducting extensive UX research to create a user-friendly and intuitive interface design
- Successfully met business and user needs through interface design

Freelance Graphic and UX/UI Designer
03/15/23
- Utilized graphic and UX/UI design skills for website and post development
- Collaborated one-on-one with clients and in a mini team environment

Education:
Completed a UX/UI design course, applying learnings to real-world design projects and team leadership."
236,"Certificate for successfully completing an 8-month course and obtaining practical knowledge in UX/UI design, Web-design, and mobile design

As a UX/UI Designer, I create meaningful digital experiences that solve problems and simplify users' lives, specializing in web and mobile application design. I turn ideas into reality with a full-cycle design approach, starting with task analysis and prototyping an interface that meets the target audience's needs. I then develop a visual style that aligns with the brand, creating a seamless and intuitive user experience.

My past experience in motion design enhances my UX/UI design role. 

Project Experience:
- “Unreal”: Designed a mobile application for booking unusual restaurant tables, providing users with a convenient reservation experience.
- “Wings of hope”: Created a web-service to attract communities, officials, organizations, and investors to restore Ukraine's social infrastructure.
- Redesigned the Slavsko ski resort website to attract more tourists with a modern, unique design.
- Test drive Audi Q3: Designed a landing page to advertise Audi and facilitate test drive orders.

I collaborate with cross-functional teams, including product managers, developers, and designers, to bring design ideas to life and create complete digital products."
237,"Web Designer

Summary:
Results-driven web designer with a strong background in personal projects, leveraging UI/UX design expertise to deliver engaging user experiences.

Personal Projects:
Conceptualized and developed a museum website, crafting an intuitive and informative interface that caters to visitor needs. Employed design tools to create personas, plan page layouts, and consider environmental factors, ensuring effective exhibit placement, intuitive navigation, and optimal visual perception.

Key Skills:
- UI/UX design principles
- Design tools
- Requirements analysis
- Page layout creation
- Element positioning
- Navigation design
- Visual perception

Career Goals:
Aiming to grow as a UI/UX designer through team collaborations and client-centric approaches, staying current with industry trends and technologies to drive design innovation and business success, while creating memorable user experiences."
238,"Astute and organized Fresh UX/UI Designer skilled in user-focused research and data-driven design decisions, specializing in creating user-friendly wireframes and prototypes.

PROJECT EXPERIENCE

Scrum Master, Mind Map Team Project
Utilized organizational skills to collaborate with the team and ensure effective project execution, delivering the Mind Map project.

Landing Page for a Flower Shop
Created a landing page to advertise the flower shop's new bouquet delivery opportunity by analyzing competitor sites, developing a moodboard, designing wireframes and a UI kit, and building the landing page.

Redesign of the Italian Roastery Website
Enhanced the visual appeal and ease of use of the ""Il Griso"" website by analyzing competitors, structuring element organization, creating wireframes and a UI kit for selected pages, and performing prototyping and adaptation.

Web-service for the Cleaning Company
Applied user-focused research and data-driven design decisions to design a user-friendly web-service for the cleaning company.

Seeking to join an innovative design team to enhance customer user experience, leveraging creativity and problem-solving skills to create industry-leading products."
239,"[Your Name]

Summary:
Experienced in graphic design, UI/UX design, and proficient in industry-standard tools, seeking to apply skills in a real-world environment.

Exhibitions:
- Participated in ""The Art of Change"" exhibition at the Ukrainian House
- Contributed to the photo exhibition ""24.02 Before and After""
- Featured in the Cardiff School of Art and Design, Cardiff Metropolitan University exhibition

Education and Skills:
- Attended art academy, gaining foundational knowledge in graphic design, including fonts, composition, and color science
- Proficient in:
  - Photoshop
  - Illustrator
  - Figma
- Skilled in UI/UX Design, with experience in project-based learning and course completion

Projects:
- Redesigned the Turkish Airlines app under mentor supervision, utilizing heuristic analysis to enhance user experience
- Designed system, mobile application, and website for Richard Bank as part of the ""From Zero to Hero"" courses

Career Objectives:
- Seeking to apply and develop skills in a real-world environment
- Interested in utilizing skills in various design capacities, excluding packaging design."
240,"Junior Designer

Summary:
Highly motivated and detail-oriented designer with experience working on individual projects and collaborating in a team environment. Proven ability to analyze user flow, create prototypes, and design user interfaces.

Experience:
Freelance Designer
- Utilized user experience and user interface design skills to personally complete 3 projects
- Conducted in-depth analysis of competitors and user flow to inform design decisions
- Created prototypes and designed user interfaces for various projects

Projects:
- CloudyClean Webservice: Designed a website with filters and easy ordering functionality for a cleaning service
- Alaska Pete's Website Redesign: Modernized the user interface for improved convenience, comprehensibility, and attractiveness
- Landing Page for a FlowerLover: Created a convenient, aesthetic, and understandable landing page for a flower shop

Skills:
- User experience design
- User interface design
- Prototyping
- Team collaboration
- Analysis of user flow and competitors

Availability:
Available for one-off projects or junior designer positions in an office or remote work setting."
241,"Master's Degree in Architecture and Urban Planning, May 2023
Research Project: ""Modern Approaches to Implementing Information Technologies in Architectural Design""

Key Skills:
- Critical thinking
- Research
- Analysis
- Self-organization
- Digital product design
- Mobile application development
- Website development
- UX Research
- User Persona and Story formulation
- User Flow design
- Wireframing
- Animated Prototyping
- HTML markup
- CSS styling
- Responsive and adaptive design principles

Project Experience:
1. Website Redesign for FeelFull, a food delivery enterprise
2. Catalogue Website for TviyBrend, an accessories retail company
3. Mobile App Colory, designed to transform black and white photos into color

Education and Training:
Completed two educational courses on creating mobile applications and websites, focusing on effective and visually appealing digital product design from initial concept to final implementation

Career Goals:
Committed to creating impactful and user-centered designs while expanding expertise in UX/UI principles through real-world practice experience."
242,"Team Leader, Search for Lost and Found Animals Project

Key Responsibilities and Skills:
- Conducted research and met deadlines, demonstrating responsibility and reliability
- Utilized computer graphics programs, including Figma, Illustrator, and Photoshop, with excellent proficiency
- Collaborated with team members, showcasing teamwork experience
- Developed layouts for websites, web, and mobile applications, with a strong desire to continue learning and growing

Projects:
Search for Lost and Found Animals
- Analyzed competitors, developed site maps, and adapted site functions to achieve the project's main objective: quickly finding lost animals and reuniting them with their owners

Furniture Landing Page
- Researched competitors, selected references, created prototypes, and designed UI pages to develop a simple and user-friendly landing page for a furniture store

Career Goal:
To work and develop as a UI/UX designer in a team of professionals, continually improving skills and acquiring new ones to enhance competence"
243,"UI/UX Designer

Highly motivated and detail-oriented designer with experience in translating abstract ideas into concepts and wireframes. Skilled in creating Minimum Viable Products (MVP) and utilizing Design Systems to streamline project development and presentation.

Education:
Course in UI/UX Design at GoIT school (Feb 2023 - Aug 2023)

Projects:
- Redesigned the ""Rainbow"" kindergarten website to improve user experience, implementing easy appointment booking and curriculum selection features.
- Contributed to the development of ""CleanHouse"", a web-service connecting users with cleaning service providers, including registration functionality for cleaners, as part of a three-person team.
- Collaborated on ""MY BRAND"", a mobile e-commerce application with online shopping and home delivery capabilities, in a team of two.

Experience:
Participated in team projects, including E-commerce and Edteach initiatives, to develop strong collaboration and problem-solving skills.

Skills:
- UI/UX design for websites and mobile applications
- Design System implementation
- MVP creation
- Team collaboration and communication

Career Goals:
Seeking a company that values employee growth and development, where I can apply my skills, gain experience, and become a valuable team member."
244,"Creative and friendly person with a passion for designing sites that meet people's needs and business goals. Proficient in showcasing empathy in work and utilizing aesthetic and intellectual abilities to analyze audiences, conduct tests, identify user problems, and solve them.

Experience:
2021-2023
Graphic Designer, Electro House Company
- Developed website and mobile application design, supported and filled content for the main website and online store.
- Created commercial offers, presentations, and mailings.
- Worked with packaging, creating stickers, decals, and instructions.
- Designed printing products, including catalogs, booklets, and business cards.
- Designed and filled social networks with graphic content.
- Created banners for the company's website and partners' websites, and filled the website with graphic content and icons.
- Conducted product photography, photo processing, and retouching.

2020-2022
Graphic Designer, ""Fact"" Publishing House (project-based)
- Created layouts for book covers, including fiction, children's books, and non-fiction.
- Developed designs for souvenir products.
- Created layouts for printing products.

2020-2021
Marketer and Designer, Regional Medical Center
- Developed outdoor advertising design, including banners, posters, and signs, using CorelDRAW.
- Created polygraphy for internal needs, including gift certificates, fire evacuation plans, and presentation designs.

2016-2022
Kharkiv Specialized Music and Theater Library named after K.S. Stanislavsky
- Collected data, prepared reports, and conducted planning and analysis of work.
- Conducted advertising activities, including social network management, poster design, and layout creation for events and monthly newspapers.

Seeking a UI/UX Designer position, utilizing skills to solve user problems, understand user needs, and show empathy. Proficient in generating ideas and proposing new business solutions. Completed UI/UX design classes, with skills in:
- Developing interface design for web and mobile applications
- Creating user journey maps
- Analyzing competitors
- Creating personas and empathy maps."
245,"Contact Information: Not Available

Summary:
Highly motivated and detail-oriented individual with a strong passion for learning and growth, proficient in core technical skills, organizational ethics, and discipline, with a focus on UX/UI design and development.

Education:
UI/UX design student at GOIT, acquiring skills in mobile and desktop application development.

Experience:
Successfully completed 1 team project and 2 individual projects within 4 months, showcasing collaborative and independent work abilities.
Developed and demonstrated UX/UI design skills through a portfolio of three projects:
1. Landing page: Conducted competitor research, created a mood board, and designed a user-friendly UX/UI experience.
2. India Cafe website redesign: Analyzed the website, designed UX/UI, and addressed color schemes, responsiveness, typography, and prototyping, creating a UI kit and preparing the project for Behance.
3. Web service for finding lost or misplaced pets: Analyzed competitors, created user personas, defined user flow, and designed systems, UX, and features like pop-ups and a donation feature.

Skills:
Proficient in designing user interfaces for various platforms using Figma, Adobe Photoshop, and Adobe Illustrator, with experience in color schemes, typography, UI-kits, grid systems, website design prototyping, and mobile app development.

Values:
Prioritize learning, professional growth, and collaboration, emphasizing education, mentorship, and support in achieving goals and overcoming challenges."
246,"Personal Projects:

Pet Search Project (Team Effort)
  • Competitor Analysis
  • JTBD and Dog Walker Persona
  • Ad Creation Section
  • Services Section

Dating App
  • Analyzed user behavior through smartphones and apps
  • Utilized artificial intelligence to suggest compatible pairings

Pet Search Web Service
  • Geolocation search
  • Filter application for accurate search
  • Dog sitter and dog walker sections
  • Calm tone design with accents

Landing Page Citroen S4
  • Designed a landing page to present the Citroen C4
  • Utilized brand-inherent color schemes
  • Highlighted model advantages and characteristics

Redesign Website CrossFit CENTRAL
  • Fresh visual design with harmonious colors
  • Implemented UX solutions for easy navigation

Career Preferences:
  • Results-focused
  • Design-oriented
  • Open team collaboration
  • Mutual respect and friendly atmosphere
  • Partially remote work options
  • Corporate training and development
  • Career growth opportunities"
