,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo
190,"Successfully completed UX/UI designer courses at Lemon School.

Hello, I'm a junior UX/UI designer.

My experience and skills:
- Worked in the company from August 2021 to the present;
- Managed projects of varying complexity, from landing pages to dashboards, multi-functional service platforms, and multi-page websites;
- Collaborated closely with front and back departments to understand technical page construction;
- Contributed to special WCAG projects for accessibility;
- Proficient in HTML and CSS;
- Experience with 2D animation of logos and site elements, as well as rendering in SVG format for CSS animation;
- Knowledgeable in responsive and adaptive design principles;
- Intermediate level of English proficiency, actively improving through courses;
- Prioritizes a positive team atmosphere with respect for all members and a pressure-free work environment."
191,"Experience:

05.2021
VBakery
- Developed and maintained a website for a bakery, allowing customers to view catalogs, place orders, and customize their confectionery using a designer tool.
- Implemented features such as customer feedback, user account registration and management, order history tracking, and location information.
- Ensured functionality and user experience of the website to enhance customer satisfaction.

06.2021
Dim Kultury
- Contributed to a project aimed at attracting investment for the renovation of local monuments, establishment of a cultural center, and restoration of a nightclub into a youth center.
- Managed the development of three separate areas within the project: ЖИВОТ (nightclub turned youth center), ДІМ КУЛЬТУРИ (cultural center for social business projects), and ДВІР (urban space with a green theater and food court).
- Worked towards uniting and developing the community through cultural initiatives and social business projects."
192,"I successfully completed a UX-UI design course, mastering the fundamentals of design and the Figma tool.

- Redesigned website interface, implementing improvements to enhance user-friendliness.
- Skilled in creating interactive design for social media banners.
- Redesigned webpage for Fitness Coach, simplifying design for client attraction.
- Created Landing page for handmade artist, focusing on showcasing unique products.
- Developed mobile app for gift selection and delivery, focusing on special occasions.
- Experienced in working with agencies, startups, and product companies on landing pages, mobile applications, and web services."
193,"Independently developed a web cleaning service, completed all stages from competitor analysis to design.

1. Conducted market research and competitor analysis for a barbershop named ""BARBER""
2. Redesigned the website for ""India Cafe"" to improve usability based on target audience needs
3. Created a web service ""CLEAN"" to connect cleaners with clients, involved in all UX/UI stages including user flow, prototyping, sitemap, payment pages, and design.

Looking for a position in a collaborative and purpose-driven company where I can work both in-office and remotely, with opportunities for professional growth and advancement in my career."
194,"Team Leader - Project ""See World""
- Led a team in the development of a user-friendly interface for a robotic search method and housing acquisition platform.
- Ensured that the website design was user-friendly and catered to the needs of users.
- Coordinated the implementation of features for easy application submission and publication.

Project ""GenieTable""
- Conceptualized and designed a mobile application inspired by a cartoon character and the idea of summoning a genie to book a table at a restaurant.
- Developed a color scheme and overall theme to attract users and make table reservations convenient and fun.

Project ""Nice view""
- Participated in a team project to create a landing page for a residential complex presentation.
- Implemented a design strategy that showcased the benefits of the complex to potential clients.
- Created a minimalist style landing page to convey the sophistication and seriousness of the complex."
195,"During my studies, I successfully completed 3-PET projects which included analyzing competitors, researching company information, task and idea analysis, creating mood boards, developing minimalistic websites and landing pages, CRM systems, and mobile applications, as well as prototyping and responsive design.

1. Redesigned a tattoo salon website as an individual project during the GoIT course, involving selecting references, analyzing the audience, redesigning the site and UI-kit, adapting it for tablet and mobile versions, and creating links.

2. Developed a landing page project independently, selecting references, creating a moodboard UI-kit, and designing the main page of the site.

3. Collaborated on a web service project aiming to facilitate inexpensive stays in other countries on the course, involving selecting references, analyzing the audience, preparing USER FLOW and CJM, choosing a design system, adapting for tablet and mobile versions, and creating links.

Key strengths:
1. Results-driven design focus and ability to work in a team
2. Emphasis on mutual respect and creating a friendly atmosphere
3. Proficiency in remote work
4. Participation in corporate training and development opportunities within the company."
196,"Pet-projects:
- Redesign of a Tattoo Company website, including full cycle design process
- Development of Easy Yoga web service, including desktop and adaptation design
Team-projects:
- Collaboration on a web service for yoga classes, aimed at facilitating communication between yoga teachers and students
- Contributed to the development of a mobile application focused on improving productivity, including planning tools and health monitoring features"
197,"Team leader and UX/UI designer for the project ""Travelhaven"", overseeing the development and design process. Developed 2 personal pet projects focusing on web design and user experience. Contributed to a social project by designing and developing a website for volunteers.
1) Led the website redesign project for Alaska Pete's Roadhouse Grille, conducting competitor analysis to inform successful design solutions. Website: alaskapetes.com
2) Designed a web service to facilitate affordable stays in other countries, creating an interface for exchanging work for accommodation and other necessities. Targeted towards students and young people looking to travel on a budget."
198,"Team Leader - ""SweepUp Cleaning Web-service"" project

1. TimeWell Daily Planner Mobile App
- Conducted detailed analysis of competing applications
- Created User Personas and User flows
- Developed high-fidelity prototypes and UI design
- Created animations in Protopie
- Project still in progress
- Instruments: Figma, Photoshop, Illustrator, Protopie

2. SweepUp Cleaning Web-service
- Conducted market and competitor analysis
- Developed User Personas, JTBD, CJM, and User flows
- Created prototypes, UI design, relinking, and adaptation within existing design system
- Instruments: Figma, Photoshop, Illustrator

3. Bravo Furniture Site Redesign
- Conducted market analysis and competitor research
- Created screen prototypes, UI design, and responsive layouts for mobile and tablet versions
- Developed a UI-kit
- Personal pet-project
- Instruments: Figma, Photoshop, Illustrator

4. Citroen C4 Landing Page
- Conducted market analysis and competitor research
- Created moodboard, wireframes, and animated interface using Figma
- Developed for coursework"
199,"Team leader - Travel Joy Project
- Led a team in the design and development of a web service aimed at facilitating work and rest in a new environment
- Conducted competitor analysis, created user flow, and developed wireframes and prototypes
- Successfully delivered a well-designed web service with convenient functionality and user interface for travel

Own Project - Nice View
- Designed a landing page for selling apartments in a new residential complex based on client requirements
- Conducted competitor analysis and studied target audience to create low-detailed and high-detailed prototypes
- Developed a visually appealing landing page design that met client needs and attracted potential buyers"
200,"1) Volunteering Projects Aggregator for Ukraine

Created user-friendly and informative platform showcasing various volunteering initiatives in Ukraine. Provided detailed project information, enabled donations, and promoted engagement and support for meaningful causes throughout the country.

2) Landing page for Kickstarter project

Designed landing page for nightstand transforming into four chairs to promote product on Kickstarter using AIDA marketing model. Gained skills in competitor analysis, reference selection, high-fidelity wireframing, and creating an adaptive website.

3) Landing page about Rihanna

Developed landing page to introduce users to Rihanna and generate interest. Developed skills in mood boards, references, wireframes, complex composition, typography, and prototyping."
201,"Skills:
- Proficient in HTML and CSS
- Experienced in using SketchUp for 3D modeling
- Strong UI/UX design skills

Experience:
3D Graphic Specialist
HOVER Ukraine, Feb 2021 - Jun 2023
- Responsible for modeling 3D exteriors and interiors
- Checked and reviewed finished 3D models created by other modelers

Project Experience:
Study project: Redesign of Sophie Scholl Realschule website
- Conducted research and analysis on other school websites and web design best practices
- Aimed to create an aesthetically pleasing, user-friendly, and informative online platform

Study project: YoHome website development
- Developed the interface from scratch with a focus on user flow
- Worked on adaptation with minimal changes for optimal user experience

Attributes:
- Able to work in a full-time/part-time position
- Valued mutual respect and friendly atmosphere in the workplace
- Committed to training and development within the company
- Focused on achieving results for projects"
202,"6-month experience in UI/UX design, with a focus on creating designs for Landing pages, E-Commerce, Portfolio sites, Mobile applications (iOS, Android), and redesign. Skilled in competitor analysis, user flows, wireframing, prototyping, building unique UI designs for websites, adapting websites to mobile and tablet, and creating responsive designs. Proficient in basic website animation and have experience collaborating with front-end developers. Completed a 5-month coursework in UI/UX design principles and technologies, with a strong understanding of Google Material Design Guidelines and Human Interface Guidelines. Eager to utilize gained experience and knowledge in a professional UI/UX design role to enhance website design and user experience. Passionate about finding creative solutions to design challenges and constantly improving skills in the field."
203,"I successfully completed the 6-month UI-UX Design course, with a great desire to increase my knowledge and develop in design.

About me:
As a Junior UI/UX Designer, I am passionate about creating effective and aesthetically pleasing designs that improve the user experience. I offer full-cycle design services and specialize in landing pages, e-commerce, website redesign, and web services.

Project experience:
During the studying course, I worked on 3 individual and 2 team project.
• ""Wish"" - gift delivery mobile app.
• “Fitroom” - corporate website redesign for a fitness studio.
• “VDOMA” - Ukrainian couch-surfing web service.

Additional tasks:
• UI of the table for accounting of services of the cleaning company.
• UI for the sidebar of a site.
• Page of the team with paddings formed on the basis of AutoLayout.
• User page for the online learning resource.
• Dashboard for an ed-tech product aimed at school students.
• UI for the desktop of the site's start screen using animation.
• Modal window that confirms the transfer of money from card to card.
• Dashboard for the administrator to manage the rights of users.

I am excited to bring my knowledge, skills and passion to your team and help create designs that elevate business. Thank you for considering me for your next project!"
204,"I am the designer and mastermind behind Petsearch, a web service for animals designed to help shelters and promote volunteerism. I also created a new design for the children's project ""A kids place childcare"".

As a passionate and creative Junior UX/UI Designer, I am driven by my love of design and unwavering commitment to creating exceptional user experiences. Working diligently on my soft skills, having a strong foundation in design principles and a keen eye for aesthetics, I am constantly looking for new and innovative ways to improve digital interactions and positively impact users. As an avid learner, I seek to stay on top of industry trends and evolving technologies to continuously improve and innovate in my field. I am excited to contribute my skills and collaborate on new amazing projects that challenge me as a UX/UI Designer.

PROJECT EXPERIENCE:
1. Petsearch: Developed a user-friendly web service for finding lost and found animals, with a focus on quick results and enjoyable user experience. Implemented various features for pet owners and those who have found lost pets.

2. Kindergarten Website Redesign: Conducted technical and research analysis of old design and competitors. Identified weaknesses and strengths, user expectations, and designed visuals accordingly. Created UI kit documentation with all UI elements.

3. FlowerLover Landing Page: Conducted research on competitors, created moodboard, determined page structure, and selected natural color palette for the flower shop's landing page. Created various UI elements for the project. 

Looking for exciting projects to further develop my skills and provide top-quality and useful products."
205,"Work experience

UX/UI Designer
- Completed 4 individual projects, focusing on UX research
- Worked on UI design for dashboards, tables, websites, and web services
- Designed and presented a literature-related project in a team setting

Freelance Projects

Korg Sound Library Cover Design
- Created two illustrations for the covers of sound libraries
- Discussed details with client, analyzed reference photos, and designed covers
- Made corrections based on client feedback for final approval

Sinevibes Logo (3D Animation)
- Designed an animated 3D logo for video intro
- Created model, applied shading, and rendered final animation
- Client approved outcome of project

Personal Projects

UrbanFest Landing Page Design
- Developed landing page from scratch with moodboard and wireframe
- Created minimalistic landing page for UrbanFest

CustomConcepts Tattoo Website Redesign
- Updated existing tattoo website through analysis and prototyping
- Created modern and comprehensive website design

Web Service UX and UI Design
- Designed web service for affordable accommodation search abroad
- Conducted UX analysis, created user personas and customer journey map
- Developed information architecture, user flows, wireframes, and full-color design

Beatcraft Mobile App Design
- Designed music-related app with focus on user interface
- Analyzed target audience, created wireframes, and detailed interface design
- Included features such as two-factor authentication and in-app achievements

Summary
Creative and skilled UX/UI Designer with a passion for developing aesthetically pleasing products such as websites, web services, mobile apps, logos, advertisements, and posters. Seeking remote work opportunities with a willingness to learn and adapt to new challenges."
206,"During the UI/UX designer courses, I have completed 4 pet projects, working both independently and in a team. In the team setting, I focused on user interface, filter, and verification methods in the web service.

Experience:
- Proficient in Figma, with skills in auto layout, styles, components, and design systems
- Skilled in creating user-centered designs by understanding business requirements
- Able to identify and troubleshoot UX problems

Project Experiences:
1. Lunushka Shop mobile app: Developed a mobile application for an online store, conducting thorough research, creating user flow, wireframes, intuitive design, onboarding, and animated prototypes.
2. Globetrot web service: Designed a web service for economic stays in various countries, conducting in-depth problem analysis, creating wireframes, UI, adaptive design, and animated prototypes.
3. Redesign Website Tattoo Studio: Updated website with modern design, clear interface, and informative pages to attract new customers and tattoo artists.
4. Flower shop with delivery landing page: Created a landing page for a flower shop with delivery service, conducting user research, competitor analysis, persona creation, moodboard design, prototype development, and adaptation for tablets and mobile devices."
207,"EXPERIENCE

Junior UI/UX Designer
October 2022 – present

Project NADIYA Pet Search Webservice:
- Collaborated with team to create a user-friendly webservice to help owners find lost animals faster
- Improved communication, organizational, delegation skills, and time-management
- Conducted competitor analysis, created user personas, sitemap, prototypes, user interface design, and adaptation

Own Projects:
- Redesigned website for ""MIMINO"" restaurant & hotel complex
- Developed landing page for yoga studio

EDUCATION

Bachelor's Degree in UI/UX Design
University Name, Graduation Year

SKILLS

- Proficient in analysis, ideation, prototyping, user interface design, and adaptation
- Experience in creating easily navigable and visually appealing interfaces
- Strong communication and organizational skills

LOOKING FOR

Open to work on interesting projects that align with goals and solve problems."
208,"Skills:
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva
- Experienced with web-services like SimilarWeb
- Skilled in Design Systems, User Flows, and CJM

Project Experience:
- Barbershop Landing Page: Created a landing page for a new barbershop in Ukraine using Figma and Adobe Photoshop.
- India Cafe Website Redesign: Redesigned the website for India Cafe to attract more visitors and improve design, based on competitor research and user interviews.
- Look for Web-Service: Developed a safe and convenient web-service to help people find accommodation, including user-end, payment, and admin interfaces, using Figma, Canva, and Adobe Illustrator.

About Me:
Self-motivated and focused Junior UX/UI Designer with a passion for creating high-quality products for users and businesses. Eager to join a team and take on new challenges in web design processes."
209,"While studying UI/UX design, I worked on multiple projects including adaptive site redesign, web service for a cleaning company, and a mobile application for restaurant table booking. Additionally, I have 8 years of experience in graphic design, with the past 3 years serving as Chief Designer. In this role, I was responsible for organizing and preparing creative projects, developing design concepts, and managing department employees. Some projects I led include company website redesign, interface design for a popcorn machine, landing design for KinoboardPRO, and designing a city café and conference hall interior. I am passionate about UI/UX design and eager to continue growing in the field. My recent project experience includes redesigning the realty company MAINSAIL website and creating an interface design for a popcorn machine for Kinoprokat-Sumy. I am seeking a company that values professional growth, work-life balance, and offers remote work opportunities. I am a team player with a strong focus on results, and I look forward to contributing to a dynamic team. Please contact me if you are in need of a skilled UI/UX Designer to join your company."
210,"Junior UI-UX Designer Resume

Project Experience:
1. Eventize - Mobile Application (2023)
Developed a comprehensive mobile application that allows users to find and book venues or events, as well as plan their own special occasions. Implemented a platform for creating and managing events with the ability to select necessary items by category and plan important tasks.

2. Guesture - Web Application (2022)
Designed and launched a web service aimed at helping individuals change their environment and work and rest in a new place. Conceptualized a platform similar to couch-surfing, where guests pay or perform work indicated by the host in exchange for lodging. Targeted towards students and young people seeking affordable travel opportunities.

Skills and Qualifications:
- Strong passion for design and innovation
- Motivated and fast learner
- Background in HR
- Experience in UI-UX design
- Proficiency in creating visually appealing and user-friendly websites and apps
- Ability to work on challenging tasks and responsibilities efficiently

Objective:
Seeking a full-time or a part-time position in an innovative and growing company where I can contribute my skills and continue to learn and grow in the UI-UX design field."
211,"I am a team leader working on the pet project ""Shine"", a web service for cleaning companies. Responsible for organizational aspects, project work, and team support.

Responsible Junior UX/UI Designer focusing 65% on user experience and 35% on the visual part. Currently leading a team on courses. Aspiring to become a professional UX/UI Designer and establish own brand.

Projects:
- Landing ""FlowerLover"": Created minimalistic one-page website for flower delivery. Tasks included competitor analysis, target audience research, moodboard creation, wireframes, prototypes, ui-kit development, animations, and case study on Behance.

- Website redesign ""A Kids Place Childcare"": Revamped site for modern kindergarten to attract more clients. Worked on problem analysis, audience and competitor research, moodboard creation, wireframes, prototypes, ui-kit development, animations, and case study on Behance. Successfully achieved project objectives."
212,"alkima web & design
UI/UX Designer
March 2023 - to date

- Conduct user experience research
- Create sitemaps, develop wireframes, and design user interfaces
- Experience with the Webflow builder
- Create banners for websites and creatives for social networks
- Develop logos and design systems

Vinnytsia Distribution Company
Sales Manager
Jan 2019 - Feb 2022

- Work in a team to create projects that improve technology utilization
- Develop interfaces for websites, mobile apps, and software"
213,"Pet-projects:
- Successfully created and executed test cases to ensure software quality and functionality
- Generated comprehensive and accurate bug reports to help developers identify and resolve issues quickly
- Effectively utilized SQL to databases and verify data accuracy

UI/UX Designer:
- Motivated UI/UX designer with basic requirements for the profession
- Creates seamless UI and UX with creative and functional design
- Redesigned website for ""A Kids Place Childcare"" in North Olmsted, Ohio
- Developed website to provide a nurturing, fun, educational, and safe environment for children
- Used tools such as Figma and Adobe Illustrator for design process
- Completed projects include user research, competitive analysis, wireframing, prototyping, and conclusions
- Designed web service for a private medical clinic aimed at organizing doctor-patient meetings and offering online consultations
- Implemented speech recognition technology to reduce doctor's documentation time
- Created visual solution with necessary interface elements for successful use of the system
- Responsible for baseline study, brainstorming, Jobs-to-be-done, user flow, CJM, prototyping, UI, and adaptation
- Utilized tools such as Figma, Adobe Illustrator, and Slack
- Seeking flexible work schedule or full-time position in a user-friendly and productive company
- Fast learner, responsible, and prepared for challenging tasks."
214,"Finished UI/UX Design Advanced lvl course with first-class degree diploma from IT School Hillel (took 2nd place in student rate). Constantly taking design-related online courses on different design-related resources.

Apr 2020 - Present: Freelance UI/UX Designer on Upwork (Top Rated)
- Redesigned CRM system
- Created components library for site-builder service
- Designed mobile applications
- CRM design

Sep 2019 - Mar 2020: Studied UX, typography, grid compositions, animations, color system, and responsive design. Completed diploma project - CRM System for sport complex.

July - August 2019: Created a landing page for educational courses, collaborated with developers on CRM and web design projects. Decided to pursue education as a UI/UX Designer.

Seeking a company with a warm and friendly team where I can continue to grow as a designer and work on challenging and interesting projects."
215,"Study projects:
- Vinyl Shop web site: desktop/mobile version;
- Sign language study app: UX research, Human Interface/Material design, landing page;
- Car trip planning app: UX research, Design system, Human Interface design, Landing page;

Artists express themselves. Designers solve problems.

Skills:
- Vector and raster graphics in Adobe Illustrator and Adobe Photoshop;
- Target audience research. UX research: User Flow, User Story, CJM, User Scenario;
- Low- and high-fidelity prototyping, interactive prototyping in Figma;
- Logo creating;
- Color theory;
- Typography;
- Composition;
- Material Design & Human Interface Guideline;
- Design systems & UI-kit;
- Styles, components, variants, autolayout in Figma;
- Adaptive design;
- Basic knowledge of HTML and CSS;
- Tilda.

Seeking new job opportunity in the web design field. Contact me if you have a fitting position available."
216,"Designer with experience in individual and teamwork on landing pages, website redesign, web services, and mobile application projects. Developed 3 projects, including a team project focused on researching and implementing a patient-side user flow. Solid knowledge base acquired through IT courses, proficient in professional design tools. Strong communication and teamwork skills, open to feedback and committed to meeting deadlines. Seeking opportunities for development and growth in the design profession, eager to take on new challenges.

PROJECT EXPERIENCE

- Landing page “Barbershop in Kyiv”: One-page site created as a tool for attracting customers and promoting services. Includes information on services, professional masters, customer reviews, and competitive advantages.
- Web service for a medical clinic: Worked on designing a patient page with features for scheduling appointments online or in person, viewing medical and payment history.
- Redesign for Design “KIDS PLACE”: Redesigned website for increased accessibility and expansion of target audience. Adaptive version created to attract more visitors. 

Seeking full-time and part-time designer positions at a company focused on creating user-friendly and productive products, prioritizing user experience. Quick learner with strong sense of responsibility, capable of performing complex tasks efficiently."
217,"Experience:

- Worked on non-commercial projects including a Landing Page, website redesign, housing reservation service, and application for booking tables in restaurants, cafes, and bars in close cooperation with customers.
- Developed a logo and created a corporate style for the Ukrainian brand Ina&Mi using Adobe Illustrator, Adobe Photoshop, and Adobe InDesign.
- Utilized Figma and Adobe Photoshop for market analysis, competitor analysis, personas and wireframes creation, sitemap development, and UI/UX design for various projects.
- Dedicated to beginner UI/UX design, with a focus on competitor analysis, redesign, and creation of efficient user interfaces for websites, web services, and mobile applications.

Skills and Abilities:

- Effective communication and collaboration skills gained from working in a team to develop strategies and analyze competitors for a web service project.
- Proficient in Adobe Illustrator, Photoshop, and After Effects for creating visual solutions and branding.
- Experienced in leadership, flexibility, creativity, organization, and interpersonal skills beneficial for working successfully in design and development teams.
- Strong desire for professional growth through training, support, mentoring, and sharing knowledge with colleagues."
218,"Project Crypto Wallet:
- Developed a secure and user-friendly platform for managing cryptocurrencies
- Conducted user research and implemented user-centered design principles

Redesign Cucina di Catherina Online Store:
- Successfully created a fresh, modern look aligning with the brand's vision
- Improved website user experience, increasing traffic and engagement metrics by X%

Skills:
- Adobe Suite
- Web interfaces, mobile design, landing pages in Figma
- User personas, scenarios, sitemaps
- UX research, competitor analysis
- Google Material Design Guidelines
- Photoshop, Illustrator for photos, icons, logos, illustrations
- Wireframing, Prototyping
- Visual Interface design
- Site map, user flow
- Adaptation

I am a highly creative and detail-oriented junior UI/UX designer with a passion for crafting intuitive and engaging digital experiences. My experience includes full-cycle design for Project Crypto Wallet and the redesign of the Cucina di Catherina online store. I am eager to continue learning and growing as a designer in a dynamic and innovative team environment."
219,"Experience:

Team Leader - Paw Rescue Project
- Organized team's work and delegated tasks
- Designed prototypes' visual aspects

Junior UI/UX Designer
- Passionate about designing aesthetically pleasing and effective web and mobile applications
- Driven to turn ideas into reality and create interfaces that solve problems and simplify daily goals for target audience
- Analyzed tasks, created prototypes, designed visual styles, and implemented them into usable end products
- Redesigned Italian sauce website to enhance appearance and convenience
- Created landing page for Flower Lover, building interface from scratch
- Collaborated on team assignment for Paw Rescue to design a website for finding lost and found animals, focusing on competitor analysis and user flow
- Seeking remote office position in a company with emphasis on mutual respect, friendly atmosphere, corporate training and development, and career growth opportunities"
220,"Skilled in using tools like Adobe Photoshop, Figma or similar software for creating user interfaces and visual designs.
Skilled in creating wireframes and interactive prototypes to visualize design concepts.
Able to design interfaces that adapt well to various screen sizes and devices.
Understanding of design systems and their components.
Proficient in creating user flows and journey maps to illustrate the path users take through an application or website.
Able to use graphic editing tools like Photoshop or Illustrator to create and modify visual assets.
Organized in managing design tasks, meeting deadlines, and collaborating effectively with team members.
As a Junior UI/UX Designer, worked on various web services and mobile apps, collaborating with teams to design user-friendly interfaces. Designed adaptable layouts for different devices. Designed mobile app screens with touch interactions in mind. Adapted to different project requirements and improved skills using programs like Figma, Adobe Photoshop, and Protopie.
Projects:
1. Redesigned ""Custom Concepts"" tattoo studio website to improve user experience. Added changes to color palette, high-quality photos, simplified booking form, and improved visual hierarchy.
2. Designed ""PetRescue"" web-service for searching lost animals to help reunite pets with owners. Utilized Figma, Adobe Photoshop, FigJam, Adobe Illustrator.
Languages: Ukrainian (native), Russian (fluent), English (upper-intermediate), Polish (elementary). Passionate about continued learning and growth in UI/UX design. Dedicated to creating inclusive designs through feedback and iteration."
221,"Team Lead - Buki School Project
- Organized team work and presented project to customer

Junior UI/UX Designer
- Specialized in creating digital experiences with optimal user experience
- Worked on landing pages, redesigns, web services, and mobile applications
- Conducted in-depth interviews, questionnaires, formed personas and empathy maps

Redesign for Buki School (Team Project)
- Conducted full-fledged UX research including competitive analysis, heuristics analysis, in-depth interviews, personas, and surveys
- Created clickable cabinet prototype and presented project to customer

DocMe Web Service (Team Project)
- Contributed to UX research and creation of main site
- Helped implement changes in patient and doctor cabinets

Looking for a team environment focused on design and innovation, with opportunities for training and development to stay current with industry trends."
222,"Team Leader and Junior UI/UX Designer with experience in project management and design. Led a successful team on the ""Web-service for finding lost pets"" project, overseeing direction of work, task distribution, and scheduling to ensure timely completion and high mentor approval. Collaborated with student developers on a start-up project focused on assisting accountants with salary calculations. Completed a special course in UI/UX design, with 6 study cases, gaining valuable experience in creating user-friendly interfaces. Additional projects include designing a mobile app for a coffee shop chain and a travel agency website redesign, demonstrating a focus on understanding target audience needs and creating visually appealing designs. Looking to contribute to a team of specialists dedicated to project development and improvement. Excited to apply theoretical knowledge and grow professionally."
223,"I am a Junior UX/UI Design Professional with a Digital Marketing Professional Certificate from the University of Miami and a Bachelor's degree in Hospitality and Tourism Management with a Minor in International Relations from Florida International University. With experience as a professional athlete on the Ukrainian National team, my passion for digital marketing and UX/UI design has equipped me with the skills and enthusiasm to make a significant contribution to any organization. I specialize in crafting intuitive user interfaces to maximize user experience and improve results, with a portfolio that includes projects for VitalMed, a tattoo salon website, and Citroen C4 landing page. Proficient in Figma, Adobe Illustrator, and Adobe Photoshop, my work is known for its creativity and attention to detail, consistently meeting the highest standards. Seeking challenging projects to further develop skills in problem solving, research, and creative thinking, with an aim to create meaningful user experiences and contribute to team success through innovative design approaches."
224,"As a junior web designer at a company that provides warehousing software, I was responsible for designing web pages, graphics, and other visual elements for our company's website and various marketing materials. My duties included:

- Designing a company website from scratch
- Design control of the finished pages
- Collaboration with a team of developers and testers
- Creating wireframes, mockups, and prototypes to communicate design concepts and ideas
- Designing various marketing materials, such as covers for social networks, previews and footage for YouTube videos, and recording YouTube videos showing the functionality of the company's product

During my work as a web designer, I used tools such as Figma, Adobe Illustrator, and OBS Studio. Overall, my experience has provided me with a variety of skills and success in designing and developing effective marketing materials and web pages. Now, I am seeking new projects to further improve my professional skills as a designer."
225,"Summary:

Passionate Auditor with a background in Economics seeking to transition into UX design. Skilled in graphic and social media post design, with a strong analytical foundation. Dedicated to creating intuitive, user-friendly interfaces and enhancing user experiences.

Education:

Bachelor's and Master's degrees in Economics

Experience:

Graphic and Social Media Post Designer - Education Center
- Created engaging social media posts, posters, and printables
- Managed branding process for organization
- Developed keen eye for aesthetics and user-centric design principles

Skills:

- Analytical thinking
- Attention to detail
- Creative problem-solving
- Strong discipline and precision
- User-centric design expertise

Goal:

Seeking entry-level position as UX/UI designer to learn, improve, and contribute to team success."
226,"During my work experience, I have developed the following skills:
- UX research
- Design Systems creation
- Working with different guidelines
- Marketing materials creation
- Mobile design (rules, patterns)

As a UI/UX designer, I have worked on various projects and domains including:
- Mobile applications (guide app, lottery app)
- Redesign of corporate website (web, mobile, and tablet adaptive)

My main responsibilities included:
- Design analysis of old screens
- Creating design systems based on Design Thinking process
- Developing materials for marketing team
- Designing visuals for company's social media on all platforms
- Creating case studies and Behance cases

The projects' tech-stack included:
- Angular Material, Kendo UI, and Human Interface Guidelines with learning in Google Material Design

In addition, I have experience in:
- User research
- Investigating competitors
- Brainstorming
- Building style guide
- Creating information architecture
- Creating prototypes
- Creating adaptive design
- Communication with client team and developers
- Creating wireframes and mockups"
227,"I successfully collaborated with cross-functional teams to create intuitive and visually appealing user interfaces for web and mobile applications, demonstrating a keen eye for detail, strong problem-solving skills, and a passion for delivering exceptional user experiences.

Projects:
1. Table Tab Mobile App Design
   Jun 2023 - Aug 2023
   Conducted references research, updated wireframes, compared and selected design systems, and prototyped UI screens for a restaurant seat booking app. Developed a UI option for rewards to enhance user experience.

2. Host Radar Project Design
   Apr. 2023 - Jun 2023
   Conducted market and competitor analysis, gathered references, prepared wireframes, animated prototypes, and finalized UI for a web service connecting visitors with hosts for accommodation and services.

3. Mainsal Realty Company Redesign
   Feb 2023 - Apr 2023
   Redesigned a real estate company website to be modern, user-friendly, and competitive in the US market. Conducted research, compared competitors, and redesigned the website to improve user experience from start to finish.

I am dedicated to crafting seamless and intuitive user experiences, with a strong foundation in design principles and a commitment to continuous learning and innovation. I am eager to further enhance my design skills and contribute to impactful projects that prioritize user-centric design."
228,"Plural Code Academy graduate with hands-on experience in designing user interfaces and experiences for web and mobile applications using Figma. Skilled in conducting user research, creating wireframes and prototypes, and performing usability testing. 

Current intern at a software agency, responsible for designing and completing websites and mobile views for a cryptocurrency platform and resort center. 

Seeking an opportunity to further develop UI/UX design skills and learn from experienced professionals. Quick learner, problem-solver, and team player dedicated to delivering high-quality work and meeting deadlines. Willing to put in the time and effort to successfully complete projects."
229,"Throughout my experience, I have developed strong project management skills, empathy skills, and the ability to work collaboratively within a team. With over two years of experience in marketing, I have honed my creative and strategic skills, allowing me to deliver visually appealing design solutions that meet the needs and goals of my clients. 

My background in marketing has given me a keen understanding of user personas and pain points, enabling me to deliver effective design solutions. I have also developed strong project management and communication skills, having worked with a diverse range of clients across various industries. 

During my studies, I was responsible for conducting UI/UX research, designing, adapting, and prototyping for a travel service website that connected people from around the world. Additionally, I worked on a Scan-and-Go mobile app project, where we followed regular user patterns to simplify the shopping process. 

Utilizing design tools such as Figma, Adobe Photoshop, and Protopie, I successfully completed projects and created functional prototypes. I am excited to apply my newly acquired skills in UI/UX design to create visually appealing solutions that meet the needs of end-users, and am eager to bring my creativity and strategic thinking to new projects."
230,"UI Designer with 3 years of experience specializing in Figma, Photoshop, and Illustrator. Passionate about creating captivating digital experiences that exceed client expectations. Skilled in crafting aesthetically stunning and user-friendly interfaces for both web and mobile platforms. Dedicated to bringing client visions to life and leaving users enchanted with the brand."
