,Modified_deepseek-chat_of_CV_Modeldeepseek-chat
10,"**GRAPHIC & UX/UI DESIGNER**

**EDUCATION**
Kharkiv National University of Radio Electronics | Department of Media Systems and Technologies
Specialization: Publishing and Printing | Currently Pursuing

**PROFESSIONAL DEVELOPMENT**
Genius.Space | Courses in ""Web Design"" and ""UX/UI Design""

**SKILLS**
**Technical:** Figma, Adobe Illustrator, Adobe Photoshop, Blender, AutoCAD
**Soft Skills:** Teamwork, Empathy, Punctuality, Discipline, Meticulous Attention to Detail
**Core Strengths:** Information Architecture, Action Plan Creation, UI Visualization, Continuous Learning

**EXPERIENCE**
**Commercial Project Work**
- Created a comprehensive set of business cards for an international tattoo artist.
- Developed designs for various projects including websites, brochures, presentations, and logos.

**PROFESSIONAL SUMMARY**
A dedicated Graphic Designer with foundational training in UX/UI and web design. Combines a disciplined, detail-oriented approach with strong information structuring skills to create clear visual solutions. Passionate about design as a fundamental discipline, approaching all tasks with quality and commitment. Actively developing expertise in UI visualization and user-centered design principles through ongoing education and practical application."
11,"[Your Name]
[Phone Number] | [Email Address] | [Location (Optional)] | [Portfolio Link]

**Professional Summary**
A full-stack designer (UI/UX and Graphic Design) with 10 years of experience leading creative teams and managing the end-to-end design lifecycle for enterprise, e-Commerce, and SaaS clients across Europe and the USA. Proven expertise in client communication, requirement elicitation, project estimation, and presenting design solutions to stakeholders. Seeking to contribute leadership and design expertise to a company with challenging projects and a results-focused culture.

**Professional Experience**

**Lead Designer** | [Company Name, City, State – If applicable, otherwise omit]
*[Dates of Employment – If applicable, otherwise omit]*
*   Led creative teams for a Big Four accounting firm with over 250,000 global employees, mentoring team members and facilitating their professional growth.
*   Managed the full design lifecycle for enterprise-scale projects, from requirement gathering and information architecture to prototyping, user testing, and final UI/UX execution.
*   Presented concepts and defended design solutions directly to large audiences of international stakeholders.
*   Estimated projects, planned resources, and managed timelines to ensure on-time delivery.
*   Applied Agile and Scrum methodologies within cross-functional teams to develop mobile applications and complex web solutions.

**Skills**
*   **Design:** UI/UX Design, Graphic Design, Web Design, Information Architecture, Art Direction, Prototyping, User Testing
*   **Methodologies & Tools:** Agile, Scrum, UML Diagrams
*   **Project Leadership:** Team Leadership & Mentoring, Project Management, Project Estimation, Resource Planning, Client Presentation & Communication
*   **Domain Experience:** Enterprise Software, SaaS, e-Commerce, Mobile Applications
*   **Languages:** Business English (Advanced)

**Career Preferences**
Interested in roles involving client communication, design team leadership, and project management, with a focus on mobile applications and complex web solutions. Seeking a company environment with challenging projects, a laid-back atmosphere, and a flexible, results-oriented schedule."
12,"**PROFESSIONAL SUMMARY**
Experienced Product Designer and Design Team Lead focused on design team management. Proven expertise in managing the full chain of team processes: planning, delegating, and reviewing. Responsible for managing user research projects, workshop facilitation, reporting, and conflict management. Involved in sales processes as a domain expert. Understands business goals, skilled in negotiating and presenting solutions. Fluent in English with written communication skills in German.

**KEY ACHIEVEMENTS**
*   Successfully finished more than 30 design projects.
*   Managed a team of 17 designers.
*   As a design consultant in sales, pitched and launched more than 20 design projects.

**PROFESSIONAL EXPERIENCE**
**Design & Management Leadership**
*   Managed the full cycle of team processes: planning, delegating, and reviewing work.
*   Managed user research projects and facilitated workshops.
*   Handled reporting and conflict management.
*   Served as a domain expert in sales processes, contributing to project acquisition.

**RELEVANT COURSEWORK**
*   Design Management
*   People Management 3.0

**PROJECT EXPERTISE**
Proven expertise demonstrated in portfolio across the following project types:
*   Product Design Manager – Human Resources Project
*   Design Manager – Crypto Product
*   UI/UX Team Lead – SaaS Project
*   Various projects in betting, healthcare, and delivery domains.

**CAREER OBJECTIVE**
Seeking to apply managerial experience in design delivery processes (Design Delivery Manager role) or to help establish strong design teams internally or for clients. Open to roles in either an outsourcing company or a product team."
13,"[Name]
[Contact Information]

PROFESSIONAL SUMMARY
Product Designer with over 6 years of commercial experience in startups, fintech, organization management, crypto, insurance, and healthcare. Proven ability to lead design from concept to launch, specializing in building design systems, conducting user research, and managing teams. Adept at aligning user-centric design with business objectives.

EXPERIENCE

Product Designer | [Company Name, if applicable] | [Dates, if applicable]
*   Contributed to an Australia-based digital home loan product, taking it from initial idea to MVP within a 1-year period.
*   Built a comprehensive design system from scratch as part of a core 3-person team.
*   Led a design team of 8 people, providing mentorship, conducting 1-on-1 meetings, and offering feedback to support professional growth.
*   Collaborated with stakeholders and product managers to define project requirements and business needs.
*   Managed full project lifecycle: conducted user research, created functionality maps and process flows, designed low and high-fidelity wireframes and prototypes, performed UI research and design, and conducted usability testing.
*   Generated design hypotheses and analyzed results to inform product decisions.

DESIGN ACHIEVEMENTS
*   Received 8 Design Awards on Behance.
*   Honored with an Honorable Mention at San Francisco Design Week.
*   Featured in ""Ukrainian design The very best of.""

SKILLS & EXPERTISE
*   **Design:** User Research, Wireframing, Prototyping, Usability Testing, UI/Visual Design, Design Systems
*   **Methodologies:** Hypothesis Generation, Process Flow Mapping, Functionality Mapping
*   **Leadership:** Team Leadership & Management, Mentorship, 1-on-1 Coaching, Design Team Collaboration
*   **Domains:** FinTech, Crypto, Insurance, Healthcare, Startups, Web & Mobile Applications, Dashboards
*   **Core Strengths:** Cross-functional Stakeholder Communication, Business Needs Analysis, Independent & Team Collaboration"
14,"**PROFESSIONAL SUMMARY**
A senior design leader with extensive experience in e-commerce, branding, and advertising. Expertise in building and managing high-performing design teams, automating workflows, and driving business growth through creative strategy and user-centered design. Seeking to apply a comprehensive skill set in graphic, web, and UX design to a visionary product team.

**PROFESSIONAL EXPERIENCE**

**Design Leadership & E-commerce**
*   Served as Head of Design and Art Director for the country's largest e-commerce company, creating and leading the design department.
*   Automated design and development processes, resulting in a multiple increase in team productivity.
*   Hired, educated, and trained several dozen design specialists.
*   Managed the creation and execution of hundreds of successful advertising campaigns and several thousand full-fledged concepts.
*   Solved business problems using customer and user experience analytics to introduce new product features.

**Branding & Creative Direction**
*   Founded and headed a design bureau and printing studio.
*   Created several successful household appliance brands from concept to market.
*   Developed brand identities and promoted brands across online and offline channels.
*   Created key visuals and supervised their implementation across all marketing materials.

**Industry Experience**
*   Held senior creative and design roles in trading companies and advertising agencies.
*   Served as a leading designer in publishing and entertainment.
*   Possess extensive experience in print production and product design.

**CORE QUALIFICATIONS**

**Technical & Design Skills**
*   Graphic Design, Web Design, and UI/UX Design
*   Brand Identity Creation & Strategy
*   Digital Advertising Campaign Development
*   Animation, Motion Design, and Video Editing
*   Layout Design and Print Preparation

**Management & Strategy**
*   Design Department Leadership and Team Management
*   Process Automation and Workflow Optimization
*   Cross-functional Collaboration and Negotiation
*   Design Thinking and Creative Problem-Solving

**SOFT SKILLS**
*   Complex Problem Identification and Resolution
*   Critical Thinking and Analytical Reasoning
*   Team Management, Stress Resistance, and Emotional Intelligence
*   Empathy, Creativity, and Entrepreneurial Initiative
*   Rapid Self-Learning and Cross-Functional Adaptation

**CAREER OBJECTIVE**
Aiming to join a team of enthusiastic and ambitious professionals to fully devote my skills to developing and improving a world-class product with a positive user experience."
15,"[Your Name]
Digital 2D Artist & UI/UX Designer
Kyiv

PROFESSIONAL SUMMARY
A self-educated Digital 2D Artist and UI/UX Designer with a strong portfolio, offering advanced knowledge of design tools and a technical understanding of the subject. Proven ability to manage freelance projects from concept to completion with effective time management and communication skills. Committed to ongoing development and contributing to a collaborative team environment.

EXPERIENCE
Freelance Designer | Remote
Full-Stack Designer: UI/UX, Illustration, Graphic Design
April 2021 – Present
•   Execute comprehensive design projects encompassing UI/UX, illustration, and graphic design.

UI/UX Designer & Illustrator | Freelance
November 2019 – August 2021
•   Focused on UI/UX design and illustration for client projects.

Web Designer | Freelance
December 2018 – November 2019
•   Completed freelance web design assignments.

SKILLS
•   UI/UX Design & Adaptive Design
•   Digital Illustration (Raster/Vector)
•   Banner Design
•   Logo Design
•   Verbal & Written Communication
•   Time & Self-Management

TECHNICAL PROFICIENCIES
•   Adobe Photoshop & Illustrator
•   Figma
•   Procreate
•   Midjourney

AWARDS
•   Red Dot Award: Brands & Communication Design (August 2022)

LANGUAGES
•   English: Upper-Intermediate"
16,"[Your Name]
Digital Designer

Contact Information
[Your Phone Number] | [Your Email Address] | [Your Location] | [Your Portfolio/Website/LinkedIn]

Professional Summary
Digital designer with extensive experience in marketing, web design, and brand development. Proven ability to create visually compelling designs for websites, digital advertising, and email campaigns. Skilled in both independent and collaborative environments, with direct client interface experience. Passionate about leveraging design to help brands engage their target market and grow.

Skills
**Technical & Design:** UI/UX Design, Digital Design, Graphic Design, Branding, Advertising, Illustration, Web Ads, Social Media Ads, E-blast Design, Digital Imagery, HTML/CSS, Webflow (Animation, CMS), Figma (Advanced User), Adobe Photoshop, Adobe Illustrator
**Fundamentals:** Color Theory, Composition, Digital Analytics
**Soft Skills:** Client Relations, Team Collaboration, Independent Work, Creativity

Professional Experience
**Digital Designer** | Freelance & In-House
*   Served as both a freelance designer and an in-house manager for various projects.
*   Collaborated within a team that partnered with over 5 international companies.
*   Worked as a freelance designer for an American company.
*   Developed designs for websites, E-blasts, and digital advertising campaigns.
*   Utilized Figma, Adobe Creative Suite, and Webflow to execute projects from concept to completion.

Education & Certifications
**Dare IT** – Product Design
**Hillel (IT School)** – Basic Web Design
**Cases Media** – Figma (Score: 90)
**Cases Media** – Graphic Design. Composition (Score: 91)"
17,"**PROFESSIONAL SUMMARY**
Digital Graphic Designer with extensive experience in UI/UX, web design, and print production. Proven ability to manage projects from concept to final delivery, ensuring quality and adherence to specifications across diverse media including digital platforms, social media, television, and physical print.

**PROFESSIONAL EXPERIENCE**

**Digital Graphic Designer**
(Company Name Under NDA) | July 2021 – Present
*   Develop web content and design landing pages.
*   Create logos, posters, event graphics, infographics, and vector illustrations/mascots.
*   Design presentations and training materials.
*   Develop designs for small architectural forms used in event advertising campaigns.

**Digital Graphic & UI/UX Designer**
ReevArts | July 2020 – July 2021
*   Created 500+ designs for social media and 250+ designs for television.
*   Executed UI/UX design for two products consistently over one year.
*   Performed quality control review of animators' and designers' work.
*   Developed storyboards and illustrations for showreels and promotional content.

**Technical Graphic Designer**
Polygraphy | April 2019 – July 2020
*   Developed print-ready designs based on client specifications.
*   Created specialized layouts for printing on apparel (T-shirts, sweatshirts).
*   Prepared sticker layouts and created clipping paths.
*   Supervised in-house designers and controlled quality of customer-submitted designs.
*   Managed quality control for final printing and cutting processes.
*   Developed technical documentation and process maps.

**Graphic & Web (UI/UX) Designer**
Freelance Design | Self-employed | April 2018 – March 2019
*   Designed website interfaces and executed UI/UX projects.
*   Created prototypes, templates, and final art files for developers and animators.
*   Collaborated with editors and project managers.
*   Produced final art for presentations and assisted in creative presentations.

**Assistant Manager**
АМО1, ООО | October 2013 – June 2014
*   Prospected for potential clients and managed client communications.
*   Researched tenders relevant to company operations.
*   Analyzed market demand for new products and conducted competitor/price analysis.
*   Maintained the company website and worked with technical drawings.
*   Executed personal assignments for the head of the company.

**SKILLS & EXPERTISE**
**Design:** UI/UX Design, Web & Landing Page Design, Logo & Brand Identity, Print Design, Illustration, Infographics, Presentation Design, Storyboarding
**Technical:** Design for Print Production, Apparel Design, Prototyping, Templating, Quality Control, Team Supervision
**Areas:** Social Media Graphics, Television Graphics, Event Graphics, Advertising Campaigns"
18,"**Professional Summary**
Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

**Education & Certification**
Completed a 6-month UI/UX design course.
Additionally studied HTML/CSS.

**Project Portfolio**
Three successfully defended and presented projects:

**Real Estate Company Website Redesign**
Redesigned the website for a real estate company in Destin, Florida, to address an outdated design, poor user experience, low-quality photos, and missing key customer information. Conducted competitor research and analysis. Developed 3 user personas and a customer journey map based on social media and customer feedback studies to create a modern, user-friendly design.

**Travel Booking Web Service**
Designed a web service for users to find and book global excursions, tours, and tickets, and for guides to post their offerings. Project requirements included: search and filter functionality, categorized excursion browsing with filters, registration via email/Google/Facebook, online card payment, and an excursion creation form for guides. Executed competitor market analysis, developed JTBD, CJM, User Flow, wireframes, a UI-Kit, and delivered an adaptive design.

**Restaurant Table Booking Mobile Application**
Created a mobile application for booking tables in restaurants.

**Technical Skills**
**Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator
**Technical Knowledge:** HTML, CSS, UI/UX Principles, User-Centered Design
**Methodologies & Deliverables:** Wireframing, Interactive Prototyping, Mockups, User Personas, Customer Journey Maps (CJM), User Flows, Jobs-To-Be-Done (JTBD), UI-Kits, Adaptive/Responsive Design

**Career Objective**
Seeking a full-time UI/UX Designer position in a product company focused on creating digital products for everyday life and business. A quick learner, responsible, and ready to tackle complex tasks."
19,"**PROFESSIONAL SUMMARY**
A UX/UI designer passionate about creating user-centered digital experiences. Seeks a collaborative role that emphasizes creative design innovation, thorough user research, and quality-driven project development.

**PROJECT EXPERIENCE**

**f.Lover Mobile App**
A mobile application for ordering and delivering bouquets and gifts online.
*   Redesigned the user interface for an improved user experience.
*   Collaborated with a team to develop an app providing users with gift and flower recommendations.
*   Contributed to features allowing users to schedule orders for specific dates, times, or special occasions.
*   Optimized the mobile application for performance and usability.
*   Developed associated web services and landing pages to support the application.

**SKILLS & EXPERTISE**
UX/UI Design, User Interface Redesign, Mobile App Optimization, Web Service Integration, Landing Page Design, Cross-functional Team Collaboration, User-Centered Design"
20,"**PROFESSIONAL SUMMARY**
A detail-oriented designer skilled in creating user-centered digital products from research to execution. Experienced in leading projects and collaborating within teams to deliver intuitive interfaces and compelling user experiences across mobile apps, web services, and websites. Seeking a remote or freelance design role with opportunities for growth and mentorship.

**PROJECT EXPERIENCE**

**Flowers Delivery Mobile App** | *Independent Project*
- Developed a user-friendly and intuitive interface for an online flower ordering service.
- Conducted persona research to better understand customer demand.
- Created a comfortable and easy-to-use app enabling customers to order bouquets from anywhere.

**Pet Scout: Animal Search Web Service** | *Team Project*
- Conducted comprehensive UX research including competitor analysis and user flow mapping.
- Applied design principles and web service architecture knowledge to create a compelling user experience for locating missing pets.
- Served as project leader and primary idea generator.
- Created wireframes, mockups, prototypes, and a Behance presentation collaboratively.

**Barbershop Landing Page** | *Independent Project*
- Designed a landing page for services and barber appointments.
- Performed competitor analysis and developed user personas using targeted research methods.
- Developed fully responsive desktop, tablet, and mobile versions of the site.

**Tattoo Studio Website Redesign**
- Redesigned a website enabling visitors to select artists, research portfolios, and book consultations.
- Conducted competitor analysis, examining demographic and statistical data including age and gender.
- Utilized research insights to create a visually enjoyable and intuitive website.

**SKILLS & METHODOLOGIES**
- **Design:** User Interface (UI) Design, User Experience (UX) Research, Wireframing, Prototyping, Responsive Web Design
- **Research:** Persona Development, Competitor Analysis, User Flow Mapping
- **Collaboration:** Team Leadership, Ideation, Cross-functional Teamwork
- **Tools:** Behance
- **Work Style:** Effective both independently and in team settings

**CAREER OBJECTIVE**
Seeking a remote or freelance design position within a company that values mentorship. Eager to grow as a designer and contribute to creating products that meet and exceed customer expectations."
21,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Your Location] | [Your Portfolio URL]

SUMMARY
A UI/UX designer focused on creating solutions for web and mobile applications. Expertise lies in translating concepts into functional designs that prioritize solving user challenges and optimizing goals, not just aesthetics. Proven ability to work both independently and collaboratively on diverse projects.

SKILLS
• Design Tools: Figma, Adobe Illustrator, Protopie, Adobe Photoshop
• Core Competencies: Low & High-Fidelity Prototyping, Vector Illustration, Component Creation, Adaptive/Responsive Design, Logo Design, Landing Page Design, UI/UX Improvement
• Focus Areas: User Interface (UI) Design, User Experience (UX) Design, Web Design, Mobile App Design

PROFESSIONAL EXPERIENCE

UI/UX Designer | [Your Company Name, if applicable] | [City, State] | [Start Date – End Date or Present]
• Designed and executed UI/UX for various web and mobile application projects, working both individually and within team environments.
• Conducted competitor analysis, created wireframes, developed prototypes, and selected typography and color schemes.
• Built reusable components and implemented adaptive designs for desktop, tablet, and mobile devices.
• Developed logos and user flows focused on solving specific user problems and enhancing usability.

PROJECT HIGHLIGHTS

Website Redesign: Destin Tattoo Company | Independent Project
• Solely responsible for the complete redesign of the company website.
• Executed competitor analysis, prototyping, typography selection, and color palette definition.
• Developed a new logo, created wireframes, built design components, and adapted the final design for tablet and mobile views.

Web Service: The Lost Pets | Team Project
• Collaborated on a team to design a web service for finding, returning, and adopting lost animals.
• Created the user flow for individuals who have found a stray animal or wish to adopt one.
• Designed a custom logo for the web service.

Mobile Application: Suit Store | Team & Independent Project
• Designed a mobile app focused on user convenience and simplicity for searching and purchasing goods.
• Initially a team project; assumed sole responsibility from the prototyping phase through to final design completion.
• Developed a streamlined user flow tailored to the persona of a frequent multi-category shopper.

CAREER OBJECTIVE
Seeking a full-time UI/UX Designer role within a creative and friendly team. Aim to tackle challenging problems, improve user interfaces, and contribute to innovative design solutions with opportunities for creative growth."
22,"**PROFESSIONAL SUMMARY**
A UX/UI designer with experience in leading design projects and developing independent concepts. Skilled in creating user-centered designs for web services, mobile applications, and landing pages across desktop, tablet, and mobile platforms. Seeking to contribute to a collaborative team focused on implementing modern, user-friendly digital projects.

**PROJECT EXPERIENCE**

**BudgetStay** | Web Service | Team Project (2 Designers) | Team Leader
*   Developed a web service interface for finding free (couch surfing) or low-cost accommodation (private rentals, hostels).
*   Created the main user flow for two account types (free and premium) and a secondary flow for three types of hosts.
*   Designed fully responsive interfaces for desktop, tablet, and mobile, including a desktop prototype.

**FoodieFinder** | Mobile Application | Independent Pet-Project
*   Designed a mobile application for restaurant search and table reservation.
*   Goal: To provide users with a hassle-free and efficient way to find and book restaurants based on their preferences.

**Sensual Temple** | Landing Page | Team Project | Team Leader (In Progress)
*   Leading the development of a responsive landing page for a tantric massage salon.
*   Goal: To promote services, create an appealing online presence, and attract potential clients.
*   Design for desktop, tablet, and mobile.

**India Cafe** | Website Redesign | Independent Work
*   Executed a concept and redesign for an Indian restaurant website in Pennsylvania, USA.
*   Goal: To create a modern, convenient design to attract potential customers.
*   Added missing pages with photos and a menu, and implemented a reservation feature.
*   Designed fully responsive interfaces for desktop, tablet, and mobile, including a desktop prototype.

**Citroen 4** | Landing Page Concept | Independent Work
*   Created a concept landing page for Citroen 4 in Ukraine.
*   Goal: To facilitate test drive orders.
*   Design for desktop.

**SKILLS**
*   UX/UI Design
*   Responsive Design (Desktop, Tablet, Mobile)
*   User Flow Development
*   Prototyping
*   Team Leadership
*   Independent Project Development"
