,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1
220," Skills:

* Proficient in Adobe Photoshop, Figma, Protopie, Adobe Illustrator, and FigJam
* Experience with graphic editing and prototyping tools
* Understanding of design systems and components
* Able to create wireframes, user flows, and journey maps
* Skilled in designing user interfaces for web services and mobile apps, including responsive design

Experience:

* Junior UI/UX Designer
	+ Collaborated with teams to design user interfaces for various web services and mobile apps
	+ Created layouts and mockups using Figma, Adobe Photoshop, and Protopie
	+ Redesigned the ""Custom Concepts"" tattoo studio website, improving user experience and visual hierarchy
	+ Designed the ""PetRescue"" web application for searching lost pets, facilitating the reunion of lost animals with their owners
	+ Managed design tasks effectively and adapted to different project requirements

Languages:

* Native Ukrainian speaker
* Fluent in Russian
* Upper-intermediate English speaker
* Elementary Polish speaker"
221," Team Lead & Junior UI/UX Designer

* Led the Buki School project as a team lead, overseeing project organization and presentation to the customer
* Specializing in creating digital experiences as a junior UI/UX designer, with a focus on optimal user experience
* Skilled in landing pages, redesigns, web services, and mobile applications
*Experienced in conducting in-depth interviews, questionnaires, persona creation, and empathy mapping

Buki School Project

* Team project focused on redesigning the Buki School cabinet to address issues of intuitiveness and low attendance
* Conducted full-fledged UX research, including competitive and heuristics analysis, in-depth interviews, personas, and surveys
* Contributed to all stages of the project and created a clickable cabinet prototype

DocMe Web Service (Team Project)

* Collaborated on team project to create a web service for organizing and documenting meetings between doctors and patients
* Utilized competitor and target audience analysis, personas, JBTD, and CJM methodologies
* Responsible for UX research and creation of the main site, as well as making changes to patient and doctor cabinets

Seeking a design-focused team that values training and development to stay current with industry trends.

(No additional text or explanations.)"
222," Team Leader & UI/UX Designer

* Led ""Web-service for finding lost pets"" project as a team leader, responsible for determining work direction, distributing tasks, and scheduling meetings. Organized workflow for smooth functionings, resulting in a highly appreciated project by the mentor, completed on time with an intuitive interface.
* Collaborated with student developers on a start-up project for a web service to help accountants and related professionals calculate salaries and bonuses.
* Completed a special course in UI/UX design, gained experience in user interface and experience design, and completed 6 study cases.

Projects:

* Mobile app for a chain of coffee shops. Designed with an intuitively understandable interface, well-developed functionality, and youth style. Involved competitor analysis, target audience analysis, persona creation, JTBD, user flow development, wireframes, design creation, and animation.
* ""Web-service for finding lost pets"" project. Conducted analyzes, such as competitor, target audience, user-personas, JTBD, CJM, and User-Flow. Organized work process, distributed tasks, and led a team to develop a service meeting target audience expectations.
* Travel agency website redesign. Completed a clear and concise design for a wide range of target audience. Conducted competitor and target audience analysis, persona compilation, user flow development, wireframes, uidesign, adaptation, and animation. Delivered a clean and neat design using quality photos.

Seeking to work in a team of specialists, aiming to develop and improve the level of projects. Eager to apply theoretical knowledge in practice and advance in career over time."
223," Junior UX/UI Design Professional

* Digital Marketing Professional Certificate, University of Miami
* Bachelor's degree in Hospitality and Tourism Management with a Minor in International Relations, Florida International University
* Experience as a professional athlete in the Ukrainian National team

Skills:

* Proficient in Figma, Adobe Illustrator, and Adobe Photoshop
* Expertise in crafting intuitive user interfaces and maximizing user experience
* Strong attention to detail and commitment to high-quality design
* Passion for staying up-to-date with industry trends and technology

Portfolio:

* VitalMed private medical clinic web service design
* Tattoo salon website redesign
* Citroen C4 landing page design

Career Goals:

* To learn and grow in a supportive environment
* To work on challenging projects and develop design skills
* To contribute to the success of the team and be a part of the big picture
* To have the freedom to explore new ideas and try different design approaches
* To become a strong and knowledgeable designer who can create meaningful user experiences."
224," Junior Web Designer

Designed and developed company website and marketing materials from scratch

* Collaborated with developers and testers to control design of finished pages
* Created wireframes, mockups, and prototypes to communicate design concepts
* Designed marketing materials including social network covers, video previews, and demonstration videos
* Utilized tools such as Figma, Adobe Illustrator, and OBS Studio

Seeking to expand professional design skills through new projects."
225," Auditor with a Passion for UX Design

Education:

* Master's degree in Economics
* Bachelor's degree in Economics

Experience:

* Graphic and Social Media Post Designer, Education Center
	+ Created engaging social media posts, eye-catching posters, and printables
	+ Handled the entire branding process for the organization
	+ Developed a keen eye for aesthetics, user-centric design principles, and the ability to translate ideas into visually compelling designs

Skills:

* Analytical thinking
* Creative problem-solving
* Attention to detail
* Ability to work within strict deadlines
* Strong sense of discipline and precision
* Passion for design and user experience
* Fascination with the psychology behind user behavior

I am an Auditor with a passion for creativity and graphic design, seeking to transition into the field of UX design. I have a background in Economics, which has provided me with a strong analytical foundation and a comprehensive understanding of business principles. I have always been drawn to the world of graphic design, dedicating my spare time to honing my skills and expanding my knowledge.

As a Graphic and Social Media Post Designer for an education center, I gained experience in designing engaging and user-centric content. I developed a keen eye for aesthetics, an understanding of user-centric design principles, and the ability to translate ideas into visually compelling designs. My experience in branding and social media design has also given me a deep understanding of the relationship between design and user interaction.

My skills as an Auditor, including my analytical thinking, attention to detail, and ability to work within strict deadlines, have instilled in me a strong sense of discipline, precision, and a meticulous approach to my work. These skills, combined with my creative flair and design expertise, make me an ideal candidate for an entry-level UX/UI designer position. I am eager to learn and improve in the field of UX design and create intuitive, user-friendly interfaces that deliver exceptional experiences."
226," UI/UX Designer Resume

Skills:

* UX research
* Design Systems development
* Working with various guidelines (Angular Material, Kendo UI, Human Interface Guidelines, Google Material Design)
* Marketing materials creation
* Mobile design (rules, patterns)

Commercial Experience:

* Mobile applications (guide app, lottery app)
* Redesign of corporate website (web, mobile, tablet adaptive)
"
227," Here is your improved resume:

---

**Experience**

**Table Tab Mobile App Design** *Jun 2023 - Aug 2023*

* Collaborated with cross-functional team to design a user-friendly mobile app for restaurant reservations
* Conducted references research, updated wireframes, and compared design systems to choose the most suitable option
* Designed a UI option for rewards upon booking to enhance user engagement and experience

**Host Radar Project Design** *Apr. 2023 - Jun 2023*

* Designed a web service for work and recreation with a pay-to-stay system
* Conducted market and competitors analysis, gathered references, and prepared wireframes for the project
* Prototyped and animated interfaces, and collaborated with the team to finish the case

**Mainsal Realty Company Redesign** *Feb 2023 - Apr 2023*

* Redesigned a website for a realty company to create a modern and user-friendly interface
* Conducted research on competitors and analyzed the existing website to identify areas for improvement
* Collaborated from research to final design result to deliver a more convenient and friendly user experience

**Skills**

* User interface design
* User experience analysis
* Wireframing and prototyping
* Market and competitors analysis
* Collaborative teamwork

---

I have solely updated the resume based on the provided information, with no added facts."
228," Plural code Academy Graduate, UI/UX Designer

* Designed a mobile app for a salon after completing Plural code Academy's program.
* Gained experience in designing user interfaces and experiences for web and mobile applications using industry-standard tools such as Figma.
* Conducted user research, created wireframes and prototypes, and performed usability testing to ensure a seamless user experience.
* Interned at a software agency, where I designed and completed a website and mobile views for a cryptocurrency platform and a website for a resort center.
* Quick learner, problem-solver, and team player committed to delivering high-quality work and meeting deadlines.
* Excited to gain more hands-on experience in UI/UX design and learn from industry professionals.

Thank you for considering my application."
229," Team Leader, Case Studies Project

* Successfully managed tasks and modified designs to meet the needs of our target audience.
* Developed project management and collaboration skills through managing a team of two and effectively delivering projects on time.
* Utilized strong empathy skills to modify features and design solutions to create a more user-friendly experience.

Marketing Professional with a Passion for Design

* Over 2 years of marketing experience with a strong focus on delivering visually appealing and strategic design solutions.
* Developed a keen understanding of user personas and pain points to effectively deliver design solutions.
* Strong project management and communication skills, with experience working with a diverse range of clients across various industries.

Design Projects

* Worked on a travel service website that connected people from around the world. Responsible for conducting UI/UX research, designing, adapting, and prototyping. Collaborated with a team of two and gained valuable experience in working with others and managing project timelines.
* Developed a Scan-and-Go mobile app, involving extensive market analysis and design. Utilized various design tools such as Figma, Adobe Photoshop, and Protopie to complete the project and create a functional prototype.

Transitioning Marketer to UI/UX Designer

* Eager to bring creativity and strategic thinking to new projects.
* Excited to apply newly acquired skills in UI/UX design to create visually appealing solutions that meet the needs of end-users.
* Open to working with teams that value both business needs and a passion for creating user-friendly experiences for customers."
230," As a UI Designer with a passion for creating captivating digital experiences, I bring a touch of magic to every project. With 3 years of experience, I am proficient in Figma, Photoshop, and Illustrator, using these tools to create beautiful and intuitive interfaces.

I am a dedicated design partner, committed to exceeding expectations and making users fall in love with your brand. My keen eye for detail and deep understanding of user behavior result in interfaces that are both aesthetically pleasing and incredibly user-friendly.

Expertise:

* UI Design
* Figma, Photoshop, Illustrator
* User-centered design
* Aesthetic and intuitive interfaces
* Mobile and web design

Experience:

* 3 years of UI design experience
* Crafted captivating digital experiences for various projects
* Used Figma, Photoshop, and Illustrator to design aesthetically stunning and user-friendly interfaces

Let's elevate your brand and bring your digital dreams to life. Let's make magic together!"
231," UI/UX Designer

Experience:

* Completed three full-cycle projects, including one team project
* Dedicated to creating intuitive and visually appealing digital interfaces
* Experienced with both team and individual projects including landing pages, web services, redesigns, and mobile apps

Projects:

Cozy House Web Service (Team Project, Full Cycle Design)

* Collaborated on a host reservation platform connecting travelers with hosts
* Conducted competitive analysis, user personas, Jobs-to-be-Done, Customer Journey Map, user flow, and wireframes
* Designed visual content, structured information, and presented unique selling proposition

Cucina di Catherina Website (Redesign, Full Cycle Design)

* Refreshed website to attract potential customers
* Updated visual content, structured information for easier navigation
* Showcased product's unique selling proposition

Skills:

* Proficient with Figma, Adobe Photoshop, Adobe Illustrator, Canva
* Strong team player, open to constructive feedback
* Excited to learn and contribute to new projects
* Seeking full-time position
* Willing to work collaboratively in a professional design setting"
232," UI/UX Designer

* Created a booking table service application for choosing and reserving tables at restaurants or cafes without the need for calls.
* Led a team in the development of a Travel Service project, currently working on a commercial Coaches service.
* Passionate about developing visually appealing and user-friendly designs for web and mobile applications.
* Developed a web travel service interface for ""change of environment,"" a platform connecting hosts with tourists for accommodation in exchange for help with household chores.
* Redesigned the Ukrainian school platform, providing a comprehensive source of information about the school and opportunities for contact.
* Skilled in creating user flows, wireframing, and adaptive versions for desktop, tablet, and mobile.
* Committed to continuous growth, collaboration, and excellence in the field of UI/UX Design."
233,"UI/UX Designer

* Designed a mobile banking application, conducting user research for a health app
* Proficient in creating intuitive and visually appealing user interfaces and enhancing user experiences for various projects, including mobile applications, websites, and software interfaces
* Skilled in utilizing design software like Sketch, Figma, Adobe XD, and prototyping tools such as InVision or Marvel to create wireframes, interactive prototypes, and high-fidelity designs
* Collaborate closely with stakeholders, including product managers, developers, and other designers, to understand user needs and translate them into compelling design solutions
* Conduct user research, analyze user feedback, and conduct usability testing to inform design decisions, creating wireframes, user flows, and visual designs that align with user goals and business objectives
* Stay updated with the latest UI/UX design trends, best practices, and accessibility guidelines, continuously striving to improve the usability and accessibility of designs
* Aim to enhance skills in conducting user research and usability testing to gather valuable insights and validate design decisions effectively
* Passionate about creating interfaces that are visually appealing and provide a seamless and delightful user experience, ultimately helping users achieve their goals efficiently and effortlessly."
234," UI/UX Designer Resume

Pet-project:
- Defined client problems and conducted competitive analyses
- Conducted target audience definition and created Customer Journey Maps (CJM)
- Established user flows and created wireframes for desktop, mobile, and tablet
- Conducted prototyping to address user needs and pains

Travel Go (Web Service):
- Created a web service that helps users stay in another country cheaply or for free through volunteering

ReserveNow (Mobile Application):
- Developed a mobile application for booking tables at restaurants, allowing users to check restaurant layouts, choose seats/tables, and reserve for a specific time

Tools:
- Figma
- Adobe Photoshop
- FigJam
- Adobe Illustrator

Approach:
- Comprehensive design encompassing task analysis, interface prototyping, visual style, and delivering user-friendly and uncomplicated final products
- Eager to collaborate on user-centered design concepts for web and mobile applications."
235," Junior UX/UI Designer

* Successfully completed a UX/UI design course and led a design team as a Junior UX/UI Designer in Ukraine.
* Fostered a collaborative, creative, and motivating environment where team members shared ideas, acquired new skills, and produced innovative products.
* Demonstrated ability to apply design skills and lead a team to success.

UX/UI Designer
(2022-2023)

* Built and managed a design team, focusing on UX research, prototyping, design, knowledge sharing, and teamwork.
* Developed leadership skills and ensured the team consistently delivered high-quality design projects.

UX/UI Designer
(February 7, 2023 - March 30, 2023)

* Developed the entire interface for a medical clinic, conducting extensive UX research to create a user-friendly and intuitive design.
* Showcased design skills and ability to work effectively in a team. (Link available in resume)

Freelance Graphic and UX/UI Designer
(03/15/23 - Present)

* Developed websites and posts as a freelancer, working both independently and in a mini team."
236," Certificate in UX/UI Design, Web-design, and Mobile Design

Passionate UX/UI Designer with proven experience in creating meaningful digital solutions for web and mobile applications. Skilled in turning ideas into reality through a full cycle design process, including analysis, prototyping, visual style creation, and seamless user journey.

Experience:

* UX/UI Designer, Various Projects
	+ “Unreal”: Mobile application for booking a table in unusual restaurants. Designed full cycle, from idea to implementation. The app allows users to easily reserve tables at unique restaurants for a memorable dining experience.
	+ “Wings of hope”: Web-service for the restoration of social infrastructure facilities in Ukraine. Designed full cycle, focusing on attracting a wide range of communities, government officials, private organizations, and investors to restore Ukraine's social infrastructure.
	+ Slavsko Ski Resort: Redesigned the website with a modern, recognizable style to attract more tourists, both local and foreign.
	+ Audi Q3 Test Drive: Designed a landing page for advertising Audi with the ability to order a test drive.

Expertise in motion design, working collaboratively with product managers, developers, and other designers to bring designs to life and create complete digital products."
237," Web Designer:

* Designed and developed a museum website, focusing on creating an attractive and informative interface for visitors.
* Utilized design tools to create page layouts, taking into account persona requirements and museum environment specifics.
* Emphasized exhibit placement, navigation, and visual perception to ensure user-friendly design.
* Applied UI and UX design principles to create aesthetically appealing and functional interfaces.
* Conducted detailed requirements analysis, positioned elements, and ensured easy navigation.

Future Goals:

* Develop as a UI/UX designer.
* Gain experience working in a team and with clients to understand their needs and offer better design solutions.
* Stay updated on new technologies and tools to improve design skills.
* Create interfaces that provide an unforgettable user experience and help companies achieve their goals."
238," Fresh UX/UI Designer with expertise in user-focused research and data-driven design decisions. Specializes in creating user-friendly wireframes and prototypes.

PROJECT EXPERIENCE

Scrum-Master, Team Project ""Mind map""
- Led project as Scrum-Master, fostering collaboration and efficient workflow

Landing Page for a Flower Shop
- Analyzed competitor sites and created a moodboard to convey the emotional context of the product
- Designed wireframe and UI kit, resulting in a visually appealing and user-friendly landing page

Redesign of the Italian Roastery Site
- Analyzed competitor sites and developed a structure for the organization of site elements
- Created wireframes and UI kit, resulting in a visually appealing and user-friendly site redesign

Web-service for the Cleaning Company
- Utilized user-focused research and data-driven design decisions for a cleaning company web-service
- Created wireframes and prototypes for a seamless and user-friendly experience

Seeking to join an innovative design team to enhance the user experience for customers, leveraging creativity and problem-solving skills to create industry-leading products."
239," She participated in the ""Art of Change"" exhibition at the Ukrainian House, the photo exhibition ""*24.02 Before and After*,"" and the Cardiff School of Art and Design, Cardiff Metropolitan University exhibition.

Attending art academy established a foundational understanding of graphic design, including subjects such as typography, composition, and color theory. Successfully completed courses in Photoshop, Illustrator, and Figma. Engaged in additional courses and part-time jobs outside of studies.

One UI/UX design project completed under mentorship was the redesign of the Turkish Airlines app. Conducted heuristic analysis of the existing design, identified areas for improvement while considering regular users.

Participated in ""From Zero to Hero"" courses, creating a system design and mobile application and website design for Richard Bank. University background provided various skills, still learning, and seeking to apply and enhance skills in a real-world setting, excluding packaging design."
240," Here is the improved resume:

**Experience**

*Personal Cleaning Webservice*

* Analyzed competitors and user flow, conducted in-depth work on prototypes and user interface
* Enabled users to quickly find the right cleaner for their apartment using filters and easily order services

*Alaska Pete's Website Redesign*

* Modernized user interface for convenience, comprehensibility, and attractiveness
* Conducted in-depth analysis of user flow, individual site blocks, and site logic prior to redesign

*Landing Page for FlowerLover*

* Created a convenient, aesthetic, and understandable landing page for a flower shop
* Analyzed potential buyer's use logic prior to development

**Skills**

* Proficient in analyzing user flow and designing user interfaces
* Experienced in prototyping and developing web services and websites
* Adept at working independently on projects

**Career Goals**

* Seeking one-off project opportunities
* Open to the position of junior designer in an office or remote work."
241," May 2023: Master’s degree in Architecture and Urban Planning, research project “Modern Approaches to Implementing Information Technologies in Architectural Design.”

Skills: self-organization, critical thinking, research, analysis, mobile application creation, website creation, digital product design, UX research (interviews, online surveys, competitor analysis), user persona and story creation, user flow and wireframe design, animated prototype creation.

Experience: developed 3 projects, including:

1. Website Redesign for FeelFull, a food delivery enterprise.
2. Catalogue Website for TviyBrend, an accessories retail company.
3. Mobile App Colory, designed to transform black and white photos into color.

Participated in online client meetings, applied foundational skills in web development (HTML markup, CSS styling, responsive and adaptive design principles), and committed to creating impactful and user-centered designs while expanding expertise in UX/UI principles."
242," Team Leader, Search for Lost and Found Animals Project

* Led a team in the ""Search for Lost and Found Animals"" social project, which involved the development of an animal search website
* Conducted research, developed site maps, and adapted the site for various functions
* Excellent knowledge of computer graphics programs including Figma, Illustrator, and Photoshop
* Strong experience in teamwork and meeting deadlines
* Created layouts for websites, web and mobile applications and demonstrated a great desire to learn

Projects:

Search for Lost and Found Animals

* Analyzed competitors and developed site functions for the lost animal search project
* Furniture Store Landing Page
* Created a simple and user-friendly landing page for a furniture store
* Analyzed competitors and selected references, made a prototype and UI page

Continually improving skills and acquiring new ones, with a goal of working and developing as a UI/UX designer as part of a team of professionals."
243," UI/UX Designer

* Translate abstract ideas into concepts and wireframes
* Create MVPs
* Experienced in team projects
* Proficient in Design System for faster project creation and wireframe presentation

Education:
GoIT School – UI/UX Designer (Feb. 2023- Aug. 2"
244," Creative and friendly UI/UX Designer

I am a designer with a strong desire to create sites that meet people's needs and achieve business goals. I am passionate about showing empathy for people in my work and strive to understand and immerse myself in users' problems. I generate ideas, propose new ways of implementing business ideas, and have a strong analytical mindset.

Experience:

2021-2023
Graphic Designer - Electro House Company

* Developed website and mobile application design, supported and maintained content on the main website and online store.
* Created commercial offers, presentations, and mailings.
* Designed packaging, stickers, decals, instructions, catalogs, booklets, business cards, and souvenir products.
* Managed social network graphic content design and created banners for company and partners' websites.
* Conducted product photography, photo processing, and retouching.

2020-2022
Graphic Designer - ""Fact"" Publishing House (project-based work)

* Designed layouts of book covers (fiction, children's books, non-fiction).
* Developed designs for souvenir products.
* Created layouts of printing products.

2020-2021
Marketer, Designer - Regional Medical Center

* Designed outdoor advertising such as banners, posters, and signs.
* Created polygraphy for internal needs (gift certificates, fire evacuation plans, presentations, and commercial proposals).

2016-2022
Kharkiv Specialized Music and Theater Library named after K.S. Stanislavsky

* Collected data, prepared reports, and conducted methodical hours.
* Managed advertising activities, created social network content, and designed event posters, invitations, and monthly newspapers.

Education:

* Learned UI/UX design, including developing interface design for web and mobile applications, user journey mapping, competitive analysis, creating personas, and empathy mapping.

I am looking to join a team of friendly and creative like-minded people as a UI/UX Designer."
245,"here is the resume:

---

**[Your Name]**

*Student, UX/UI Design*

During the past 4 months, I have gained experience in UX/UI design through study and projects.

**Projects:**

* Created a successful team project and two individual projects
* Showcased skills in portfolio:
	+ Project 1: Landing page focused on user-friendly experience
	+ Project 2: Redesign of India Cafe website, including website analysis, UX/UI design, color schemes, responsiveness, typography, prototyping, UI kit, and Behance preparation
	+ Project 3: Web service for finding lost pets, with user personas, user flow, design systems, and pop-ups/donation feature

**Skills:**

* Strong in UI design for various platforms (Figma, Photoshop, Illustrator)
* Experience with color schemes, typography, UI-kit, grid systems, prototyping, mobile app development
* Excels in designing user interfaces, with a focus on learning and growth
* Values team collaboration, mentorship, and professional development

**Education:**

* Currently studying UX/UI design at GOIT, gaining skills in mobile/desktop application development and related areas
* Strong foundation in core technical skills, organizational ethics, and discipline

Best reward: seeing a perfectly functioning website. Life force: learning new things. Believes in daily discomfort for alertness and growth. Seeks jobs that challenge thinking."
246," Pet Search Project - Led team in creating a web service to help lost animals find owners using geolocation search and filter options. Developed competitor analysis, JTBD, and dog walker persona. Contributed to ad creation section and (services) section.

Dating Application - Designed a dating app using artificial intelligence to analyze user behavior through smartphones and apps, suggesting compatible pairings based on user interests and lifestyles.

Citroen C4 Landing Page - Created a landing page design for Citroen C4, using brand-specific color schemes, highlighting the model's advantages, and providing detailed characteristics for users.

CrossFit CENTRAL Website Redesign - Redesigned website with a focus on results and design, implementing harmonious colors and UX solutions for easy navigation. Collaborative and respectful team environment with opportunities for remote work, corporate training, and career growth."
247," Here is your resume:

Experience
--------

* Participated in hackathon focused on gender inequality and stereotypes in engineering
* Collaborated with team to develop idea for chat-bot to interest girls in engineering specialties
* Designed chat-bot in ""online girlfriend"" mode, incorporating prophorientologist input for test questions
* Developed databases for automated hospital workstation for course project, using SQL Management Studio, C# in Visual Studio

Education and Skills
-------------------

* Currently studying UX design and taking course from Google
* Creating portfolio and seeking internship opportunities
* Proficient in SQL Management Studio, C# programming language, and UX design principles"
248," Dedicated and sociable professional with a strong background in web design and UI/UX. Skilled in creating user-friendly web and mobile applications through a full cycle design process, from analyzing tasks and prototyping interfaces to creating visual styles and implementing designs.

Experience:

* Collaborated with fellow students to develop a web service, honing skills in user-flow, smart-animate, and teamwork.
* Created a website for selling apartments during studies, demonstrating proficiency in moodboard, grids, typography, UI-kit, and adaptation.
* Developed a mobile application during studies, showcasing versatility and adaptability in design.

Specialties:

* Expertise in UI/UX design for web and mobile applications
* Proficiency in full cycle design: analyzing tasks, prototyping interfaces, creating visual styles, and implementing designs
* Skilled in collaborating in a team and accepting constructive criticism

Basic Principles:

* Focus on results and design
* Mutual respect and friendly atmosphere
* Possibility of partially remote work
* Corporate training and development
* Career growth."
249," ---

**[Your Name] - UI/UX Designer**

During my studies, I gained hands-on experience creating intuitive and aesthetic interfaces for websites and mobile applications. My projects range from minimal landing pages to complex web services, with a focus on simplicity and understandability. I have conducted user research and analyzed competitors to create effective and engaging interfaces.

**Featured Projects:**

1. **Flower Lover:** A visually appealing landing page for a flower delivery service, aiming to convert visitors into customers through clear calls-to-action and easy navigation.
2. **House Hopper:** A comprehensive web service for finding and booking accommodation, designed to streamline the user experience and provide essential travel information in one place. The service caters to two user personas: property owners and guests, each with tailored features and functionality.

**Goals:**

* Join a team working on exciting, impactful projects in the UX/UI design field
* Develop my skills through continuous learning and collaboration with experienced professionals
* Contribute to the creative process as a team member focused on open communication and knowledge sharing

**Areas of Expertise:**

* UI/UX Design
* User Research
* Competitor Analysis
* Landing Page Design
* Web Service Design
* Mobile App Design
* Wireframing & Prototyping
* Collaborative Teamwork
* Skill Development & Learning

---"
250," Team Leader - Techgen IT Project

* Managed a team of designers, organizing work, distributing tasks, and communicating with developers
* Explained solution designs and demonstrated design animations

UI/UX Designer - Portfolio

* Designed user interfaces and user experiences for various projects
* Prototyped interfaces and conducted user research for usability and efficiency
* Proficient in design tools including Figma, Adobe Photoshop, and Adobe Illustrator

Freelance Experience

* Team Lead UI/UX Designer - Multi-page website for IT Community
	+ Coordinated a team of young designers and managed project planning and execution
* UI/UX Designer - Business card landing page for a house design company
	+ Designed user interface featuring completed projects and services
* UI/UX Designer - Mobile application for air ticket search and purchase
	+ Created user-friendly interface for optimal user experience

I am a responsible and proactive individual with a strong work ethic and a focus on producing results. I am seeking to contribute my skills and experience to a company where I can continue to grow and excel."
251," Team Leader and Designer

* Led two team projects: ""Neaty Kitty"" (webservice for cleaning company) and ""Tap the Table"" (mobile app for restaurant table booking)
* Active participant in user research, creation of Customer Journey Map (CJM), and Userflow
* Proficient in using Bootstrap 5 design system

Pet Projects

* Redesign of sports bar ""Yours Sports Bar"" landing page
* Tattoo Studio landing page design

GoIT Projects

* Created 4 projects, including:
	1. Tattoo Salon landing page - self-made project with wireframes, design, and analysis of references and competitors
	2. ""Yours Sports Bar"" website redesign - self-made project with complete analysis of existing website and its competitors, wireframes, and design for various devices
	3. ""Neaty Kitty"" webservice redesign - team project involving user research, CJM, and Userflow, resulting in a convenient and uncluttered site design
	4. ""Tap the Table"" mobile app - team project involving user research, CJM, and Userflow, resulting in a wireframed and designed mobile app for restaurant table booking
* Proficient in Figma, with cases on Behance

No additional notes or explanations have been added. This resume accurately represents the given qualifications, experiences, and skills."
252," Julia
Passionate UX/UI Designer

I am a detail-oriented UX/UI Designer with a background in photography and a strong passion for beauty and creativity. I have completed a course at GoIT and have experience working with Figma, both independently and as part of a team. I am eager to apply my skills and knowledge to a commercial project and continue learning and growing as a designer.

Experience

UX/UI Design Course, GoIT
- Designed several projects, including a supermarket app, library app, flower app, cleaning company web service, and a real estate company website redesign.
- Conducted competitor analysis, defined target audience personas, mapped user journeys, and developed wireframes, prototypes, and mobile and web designs using Figma.
- Added simple yet delightful animations to library and flower app designs using ProtoPie and Figma.

Education

UX/UI Design Course, GoIT

Skills

- Figma
- ProtoPie
- User research and analysis
- Wireframing and prototyping
- Mobile and web design
- Animation

Seeking a challenging role in UX/UI design that provides opportunities for personal and professional development."
253," Here is your revised resume without additional notes or explanations:

---

 Experienced user of Figma, Photoshop, Illustrator, Corel Draw, and Canva.
Understanding of usability principles and UX methodology.
Knowledgeable in graphic design, typography, and color theory.
Experienced in website and mobile application development.
Proficient in creating responsive/adaptive design.
Analytical and creative thinker with a history of effective teamwork.

Recent Projects:
- Real Estate Website Redesign: Led research, planning, structure/content creation, development, and optimization.
- Pet Search Web-Service: Prioritized user perception, usability, and attention-grabbing Call-to-Action elements.

Skilled in:
- Research, planning, and setting project goals
- Conducting competitor research and market analysis
- Wireframing, design, and development of visually coherent, user-friendly interfaces
- Device and screen resolution responsiveness settings
- Optimization of media loading times

Committed to perpetuating creative thinking and adaptability both independently and collaboratively."
254," Hard skills:

* Sitemap and Userflow development
* CA (Customer Analysis) and competitor analysis
* Typography and colors expertise
* Creation of mood boards
* Proficient in UX/UI principles
* Design and prototyping of Lo-fi and Hi-fi layouts
* User testing
* UI and UI-kit creation
* Adaptive design

Soft skills:

* Convincing decision-maker
* Excellent communication skills
* Adaptability to project requirements
* Team player
* Attention to detail
* Self-motivated
* Strong workflow organization skills
* Project management abilities
* Determination of priorities
* Creative
* Time management skills

Experience

E-commerce

* Researched project and competitors
* Conducted client briefing and determined CA
* Developed Sitemap and Userflow
* Created Lo-Fi and Hi-Fi wireframes, followed by Nielsen Heuristics analysis
* Presented mood board and conducted User testing
* Designed UI-kit and UI, built prototype
* Result: A convenient catalog with filters, sorting, and a product card, a functional shopping cart, and a successful prototype test

Landing

* Researched project and conducted secondary research
* Sketched, developed Lo-Fi and Hi-Fi wireframes
* Brainstormed and presented moodboard
* Designed UI-kit and UI, built prototype
* Result: An attractive and interactive landing page that presents project details and combats myths about animals in shelters

I am an enthusiastic and quick learner, constantly seeking to grow and create intuitive and attractive interfaces for users. Equipped with experience in developing web applications, adaptive design, and prototype creation. Skilled in Figma, including auto layout, components, variants, and animation. I plan and structure large-scale projects while paying attention to details. Adept at creating plans and tasks, and adjusting to changes. Able to concentrate and quickly engage in the work process."
255," Junior UX/UI Designer withPassion for Detail

Experience:

• Self-motivated junior UX/UI designer with 2 personal pet-projects.
• Proven experience in landing page design, redesign, web services, and mobile applications.
• Skilled in UX research, UI kit integration, animation elements, and adaptive design.
• Proficient in crafting user-friendly and visually appealing solutions based on user needs.

Project Experience:

• Designed BusinessUp landing page by Podvigina within tight deadlines, incorporating UI kit and animation elements.
• Led UX research, created personas, developed user flows, and designed adaptive UI components with engaging animations for FinEasy Web Service.
• Conducted competitor analysis, created wireframes, implemented UI design, and adapted for various devices in the Mexican Restaurant Website redesign.
• Managed the complete design cycle for the Urban Festival, including landing page design, competitor analysis, wireframing, UI development, and responsive adaptation for tablets and mobile devices.

Additional Skills & Interests:

• Focus on results, design, and open teamwork.
• Flexible with partially remote work arrangements.
• Eager to work with dynamic and innovative teams for idea exchange and skill development.
• Committed to honest representation of qualifications, with a focus on continuous learning and growth.
• Career growth oriented."
