,Modified_gpt-3.5-turbo_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelgpt-3.5-turbo
206,"During my UI/UX designer courses, I completed 4 pet projects, working both independently and in a team. In the team setting, I focused on user interface, filter, and verification methods in the web service.

Experience:
- Proficient in Figma, with skills in auto layout, styles, components, and design systems
- Skilled in creating user-centered designs by understanding business requirements
- Able to identify and troubleshoot UX problems

Project Experiences:
1. Lunushka Shop mobile app: Developed a mobile application for an online store, conducting research, creating user flow, wireframes, design, onboarding, and animated prototypes.
2. Globetrot web service: Designed a web service for economic stays in various countries, conducting problem analysis, creating wireframes, UI, adaptive design, and animated prototypes.
3. Redesign Website Tattoo Studio: Updated website with modern design, clear interface, and informative pages to attract new customers and tattoo artists.
4. Flower shop with delivery landing page: Created a landing page for a flower shop with delivery service, conducting user research, competitor analysis, persona creation, moodboard design, prototype development, and adaptation for various devices."
207,"Junior UI/UX Designer
October 2022 – present

Project NADIYA Pet Search Webservice:
- Collaborated with team to create a user-friendly webservice to help owners find lost animals faster
- Improved communication, organizational, delegation skills, and time-management
- Conducted competitor analysis, created user personas, sitemap, prototypes, user interface design, and adaptation

Own Projects:
- Redesigned website for ""MIMINO"" restaurant & hotel complex
- Developed landing page for yoga studio

EDUCATION

Bachelor's Degree in UI/UX Design
University Name, Graduation Year

SKILLS

- Proficient in analysis, ideation, prototyping, user interface design, and adaptation
- Experience in creating easily navigable and visually appealing interfaces
- Strong communication and organizational skills

LOOKING FOR

Open to work on interesting projects that align with goals and solve problems"
208,"SKILLS:
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva
- Experienced with web-services like SimilarWeb
- Skilled in Design Systems, User Flows, and CJM

PROJECT EXPERIENCE:
- Barbershop Landing Page: Created a landing page for a new barbershop in Ukraine using Figma and Adobe Photoshop.
- India Cafe Website Redesign: Redesigned the website for India Cafe to attract more visitors and improve design, based on competitor research and user interviews.
- Look for Web-Service: Developed a safe and convenient web-service to help people find accommodation, including user-end, payment, and admin interfaces, using Figma, Canva, and Adobe Illustrator.

ABOUT ME:
Self-motivated and focused Junior UX/UI Designer with a passion for creating high-quality products for users and businesses. Eager to join a team and take on new challenges in web design processes."
209,"Education:
- Studied UI/UX design, with experience in adaptive site redesign, web service development, and mobile application design

Experience:
- 8 years of graphic design experience, with 3 years as Chief Designer
- Responsible for organizing and preparing creative projects, developing design concepts, and managing department employees
- Led projects including company website redesign, interface design for a popcorn machine, landing design for KinoboardPRO, and interior design for a city café and conference hall
- Recent project experience includes redesigning the MAINSAIL realty company website and interface design for a popcorn machine for Kinoprokat-Sumy

Skills:
- Proficient in UI/UX design, graphic design, project management
- Strong team player with a focus on results"
210,"Junior UI-UX Designer Resume

Project Experience:
1. Eventize - Mobile Application (2023)
Developed a comprehensive mobile application for finding and booking venues or events, as well as planning special occasions. Implemented a platform for creating and managing events with the ability to select necessary items by category and plan important tasks.

2. Guesture - Web Application (2022)
Designed and launched a web service for individuals seeking to change their environment for work and rest. Conceptualized a platform similar to couch-surfing, where guests pay or perform work indicated by the host in exchange for lodging. Targeted towards students and young people looking for affordable travel opportunities.

Skills and Qualifications:
- Strong passion for design and innovation
- Motivated and fast learner
- Background in HR
- Experience in UI-UX design
- Proficiency in creating visually appealing and user-friendly websites and apps
- Ability to work on challenging tasks and responsibilities efficiently

Objective:
Seeking a full-time or part-time position in an innovative and growing company to contribute my skills and continue to learn and grow in the UI-UX design field."
211,"Team Leader & Junior UX/UI Designer

Experience:
- Team Leader for the pet project ""Shine"", a web service for cleaning companies. Responsible for organizational aspects, project work, and team support.
- Junior UX/UI Designer focusing 65% on user experience and 35% on the visual part. Currently leading a team on courses. Aspiring to become a professional UX/UI Designer and establish own brand.

Projects:
- Landing ""FlowerLover"": Created minimalistic one-page website for flower delivery. Tasks included competitor analysis, target audience research, moodboard creation, wireframes, prototypes, ui-kit development, animations, and case study on Behance.
- Website redesign ""A Kids Place Childcare"": Revamped site for modern kindergarten to attract more clients. Worked on problem analysis, audience and competitor research, moodboard creation, wireframes, prototypes, ui-kit development, animations, and case study on Behance. Successfully achieved project objectives."
212,"Alkima Web & Design
UI/UX Designer
March 2023 - to date

- Conduct user experience research
- Create sitemaps, develop wireframes, and design user interfaces
- Experience with the Webflow builder
- Create banners for websites and creatives for social networks
- Develop logos and design systems

Vinnytsia Distribution Company
Sales Manager
Jan 2019 - Feb 2022

- Work in a team to create projects that improve technology utilization
- Develop interfaces for websites, mobile apps, and software."
213,"Pet-projects:
- Developed and executed test cases to ensure software quality and functionality
- Provided detailed bug reports to aid in quick issue resolution by developers
- Proficient in SQL for database management and data verification

UI/UX Designer:
- Skilled UI/UX designer with core competencies in the field
- Creating user-friendly interfaces with innovative and functional design
- Revamped website for ""A Kids Place Childcare"" in North Olmsted, Ohio
- Designed website to offer a nurturing, fun, educational, and secure environment for children
- Proficient in Figma and Adobe Illustrator for design projects
- Completed projects involving user research, competitive analysis, wireframing, prototyping, and recommendations
- Developed web service for a private medical clinic to streamline doctor-patient interactions and provide online consultations
- Implemented speech recognition technology to enhance efficiency in doctor's documentation
- Designed visual solutions with necessary interface elements for optimal system usage
- Skilled in baseline study, brainstorming, Jobs-to-be-done, user flow, CJM, prototyping, UI, and adaptation
- Proficient in Figma, Adobe Illustrator, and Slack
- Seeking opportunities for a flexible work schedule or full-time role in a user-focused and dynamic company
- Quick learner, reliable, and ready to take on challenging projects."
214,"Completed UI/UX Design Advanced lvl course at IT School Hillel with first-class degree diploma (2nd place student rate). Active participant in design-related online courses.

Apr 2020 - Present: Freelance UI/UX Designer on Upwork (Top Rated)
- Redesigned CRM system
- Created components library for site-builder service
- Designed mobile applications
- CRM design

Sep 2019 - Mar 2020: Studied UX, typography, grid compositions, animations, color system, and responsive design. Completed diploma project - CRM System for sport complex.

July - August 2019: Created a landing page for educational courses, collaborated with developers on CRM and web design projects. Decided to pursue education as a UI/UX Designer.

Seeking a company with a warm and friendly team where I can continue to grow as a designer and work on challenging and interesting projects."
215,"Experience:
- Completed multiple study projects focusing on web design, UX research, and Human Interface/Material design.
- Proficient in Adobe Illustrator and Adobe Photoshop for vector and raster graphics.
- Skilled in target audience research and UX research methodologies such as User Flow, User Story, CJM, and User Scenario.
- Experienced in low- and high-fidelity prototyping, interactive prototyping in Figma, logo creation, color theory, typography, and composition.
- Familiar with Material Design & Human Interface Guideline, design systems & UI-kit, styles, components, variants, autolayout in Figma, adaptive design, and basic HTML and CSS.
- Knowledgeable in Tilda.
- Seeking a new job opportunity in the web design field. Contact for available positions."
216,"Designer with experience in individual and teamwork on landing pages, website redesign, web services, and mobile application projects. Developed 3 projects, including a team project focused on researching and implementing a patient-side user flow. Knowledge base acquired through IT courses, proficient in professional design tools. Strong communication and teamwork skills, open to feedback, and committed to meeting deadlines. Quick learner with a strong sense of responsibility, seeking opportunities for development and growth in the design profession. Eager to take on new challenges."
217,"Experience:

- Worked on non-commercial projects including a Landing Page, website redesign, housing reservation service, and application for booking tables in restaurants, cafes, and bars in close cooperation with customers.
- Developed a logo and created a corporate style for the Ukrainian brand Ina&Mi using Adobe Illustrator, Adobe Photoshop, and Adobe InDesign.
- Utilized Figma and Adobe Photoshop for market analysis, competitor analysis, personas and wireframes creation, sitemap development, and UI/UX design for various projects.
- Dedicated to beginner UI/UX design, with a focus on competitor analysis, redesign, and creation of efficient user interfaces for websites, web services, and mobile applications.

Skills and Abilities:

- Effective communication and collaboration skills gained from working in a team to develop strategies and analyze competitors for a web service project.
- Proficient in Adobe Illustrator, Photoshop, and After Effects for creating visual solutions and branding.
- Experienced in leadership, flexibility, creativity, organization, and interpersonal skills beneficial for working successfully in design and development teams.
- Strong desire for professional growth through training, support, mentoring, and sharing knowledge with colleagues."
218,"As a junior UI/UX designer, I developed a secure and user-friendly platform for managing cryptocurrencies as part of Project Crypto Wallet. I conducted user research and implemented user-centered design principles. I successfully redesigned the Cucina di Catherina Online Store, creating a fresh, modern look that aligned with the brand's vision and improved website user experience, increasing traffic and engagement metrics by X%.

Skills:
- Adobe Suite
- Figma for web interfaces, mobile design, landing pages
- User personas, scenarios, sitemaps
- UX research, competitor analysis
- Google Material Design Guidelines
- Photoshop, Illustrator for photos, icons, logos, illustrations
- Wireframing, Prototyping
- Visual Interface design
- Site map, user flow
- Adaptation

I am seeking opportunities to further develop my skills and contribute to innovative design projects in a collaborative team environment."
219,"Experience:

Team Leader - Paw Rescue Project
- Organized team's work and delegated tasks
- Designed prototypes' visual aspects

Junior UI/UX Designer
- Passionate about designing aesthetically pleasing and effective web and mobile applications
- Driven to turn ideas into reality and create interfaces that solve problems and simplify daily goals for target audience
- Analyzed tasks, created prototypes, designed visual styles, and implemented them into usable end products
- Redesigned Italian sauce website to enhance appearance and convenience
- Created landing page for Flower Lover, building interface from scratch
- Collaborated on team assignment for Paw Rescue to design a website for finding lost and found animals, focusing on competitor analysis and user flow
- Seeking remote office position in a company with emphasis on mutual respect, friendly atmosphere, corporate training and development, and career growth opportunities."
220,"Skilled in using tools like Adobe Photoshop, Figma, and similar software for creating user interfaces and visual designs. Experienced in creating wireframes and interactive prototypes to visualize design concepts. Proficient in designing interfaces that adapt well to various screen sizes and devices. Knowledgeable in design systems and their components. Able to create user flows and journey maps to illustrate the path users take through an application or website. Familiar with graphic editing tools like Photoshop and Illustrator for creating and modifying visual assets. Organized in managing design tasks, meeting deadlines, and collaborating effectively with team members. As a Junior UI/UX Designer, worked on various web services and mobile apps, collaborating with teams to design user-friendly interfaces. Designed adaptable layouts for different devices, specifically focusing on touch interactions for mobile app screens. Adapted to different project requirements and improved skills using programs like Figma, Adobe Photoshop, and Protopie. Projects include redesigning a tattoo studio website for improved user experience and designing a web-service for searching lost animals. Proficient in Ukrainian (native), Russian (fluent), English (upper-intermediate), and Polish (elementary). Passionate about continued learning and growth in UI/UX design and dedicated to creating inclusive designs through feedback and iteration."
221,"Team Lead - Buki School Project
- Organized team work and presented project to customer

Junior UI/UX Designer
- Specialized in creating digital experiences with optimal user experience
- Worked on landing pages, redesigns, web services, and mobile applications
- Conducted in-depth interviews, questionnaires, formed personas and empathy maps

Redesign for Buki School (Team Project)
- Conducted full-fledged UX research including competitive analysis, heuristics analysis, in-depth interviews, personas, and surveys
- Created clickable cabinet prototype and presented project to customer

DocMe Web Service (Team Project)
- Contributed to UX research and creation of main site
- Helped implement changes in patient and doctor cabinets

Seeking a design and innovation-focused team environment with opportunities for continuous training and development to keep up-to-date with industry trends."
222,"Team Leader and Junior UI/UX Designer with hands-on experience in project management and design. Managed a team on the ""Web-service for finding lost pets"" project, overseeing work direction, task distribution, and scheduling to ensure timely completion and high mentor approval. Collaborated with student developers on a start-up project aimed at assisting accountants with salary calculations. Specialized in UI/UX design, completing a course with 6 study cases to gain practical experience in creating user-friendly interfaces. Successfully designed a mobile app for a coffee shop chain and led the redesign of a travel agency website, focusing on meeting target audience needs and delivering visually appealing designs. Seeking to leverage skills and knowledge to contribute to a dynamic team dedicated to project development and enhancement. Looking forward to applying theoretical expertise and advancing in the industry."
223,"I am a Junior UX/UI Design Professional with a Digital Marketing Professional Certificate from the University of Miami and a Bachelor's degree in Hospitality and Tourism Management with a Minor in International Relations from Florida International University. With experience as a professional athlete on the Ukrainian National team, my passion for digital marketing and UX/UI design has equipped me with the skills and enthusiasm to make a significant contribution to any organization. I specialize in crafting intuitive user interfaces to maximize user experience and improve results, with a portfolio that includes projects for VitalMed, a tattoo salon website, and Citroen C4 landing page. Proficient in Figma, Adobe Illustrator, and Adobe Photoshop, my work is known for its creativity and attention to detail, consistently meeting the highest standards. Seeking challenging projects to further develop skills in problem solving, research, and creative thinking, with an aim to create meaningful user experiences and contribute to team success through innovative design approaches."
224,"As a junior web designer at a company specializing in warehousing software, I led the design efforts for the company's website and various marketing materials. Responsibilities included:

- Creating the company website from scratch
- Overseeing the design process for finalized pages
- Collaborating with developers and testers
- Generating wireframes, mockups, and prototypes to convey design concepts
- Designing marketing materials for social media, YouTube videos, and product demonstrations

Proficient in Figma, Adobe Illustrator, and OBS Studio, I have a strong track record in creating impactful marketing assets and web pages. Currently seeking opportunities to expand my design expertise in new projects."
225,"Summary:

Economics professional with a passion for user experience design. Skilled in graphic and social media post design, with a strong analytical foundation. Committed to creating user-friendly interfaces and enhancing user experiences.

Education:

Bachelor's and Master's degrees in Economics

Experience:

Graphic and Social Media Post Designer - Education Center
- Created engaging social media posts, posters, and printables
- Managed branding process for organization
- Developed user-centric design principles and aesthetics

Skills:

- Analytical thinking
- Attention to detail
- Creative problem-solving
- Strong discipline and precision
- User-centric design expertise

Goal:

Seeking an entry-level position as a UX/UI designer to contribute to team success and further develop skills in user experience design."
226,"During my work experience, I have developed the following skills: 
- UX research 
- Design Systems creation 
- Working with different guidelines 
- Marketing materials creation 
- Mobile design (rules, patterns) 

As a UI/UX designer, I have worked on various projects and domains including: 
- Mobile applications (guide app, lottery app) 
- Redesign of corporate website (web, mobile, and tablet adaptive) 

My main responsibilities included: 
- Design analysis of old screens 
- Creating design systems based on Design Thinking process 
- Developing materials for marketing team 
- Designing visuals for company's social media on all platforms 
- Creating case studies and Behance cases 

The projects' tech-stack included: 
- Angular Material, Kendo UI, and Human Interface Guidelines with learning in Google Material Design 

In addition, I have experience in: 
- User research 
- Investigating competitors 
- Brainstorming 
- Building style guide 
- Creating information architecture 
- Creating prototypes 
- Creating adaptive design 
- Communication with client team and developers 
- Creating wireframes and mockups"
227,"Skills:
- Strong problem-solving skills
- Attention to detail
- User interface design
- Wireframing
- Prototyping
- Market and competitor analysis
- User experience optimization
- Design system selection and implementation
- Animation
- Web design
- Research
- Commitment to continuous learning and innovation"
228,"Plural Code Academy graduate with experience in designing UI/UX for web and mobile apps using Figma. Proficient in user research, wireframing, prototyping, and usability testing. Currently interning at a software agency, designing websites and mobile views for a cryptocurrency platform and resort center. Seeking to enhance UI/UX design skills and work with experienced professionals. Quick learner, problem-solver, and team player committed to high-quality work and meeting deadlines. Willing to invest time and effort to successfully complete projects."
229,"Throughout my experience, I have developed strong project management skills, empathy skills, and the ability to work collaboratively within a team. With over two years of experience in marketing, I have honed my creative and strategic skills, allowing me to deliver visually appealing design solutions that meet the needs and goals of my clients. 

My background in marketing has given me a keen understanding of user personas and pain points, enabling me to deliver effective design solutions. I have also developed strong project management and communication skills, having worked with a diverse range of clients across various industries. 

During my studies, I was responsible for conducting UI/UX research, designing, adapting, and prototyping for a travel service website that connected people from around the world. Additionally, I worked on a Scan-and-Go mobile app project, where we followed regular user patterns to simplify the shopping process. 

Utilizing design tools such as Figma, Adobe Photoshop, and Protopie, I successfully completed projects and created functional prototypes. I am excited to apply my newly acquired skills in UI/UX design to create visually appealing solutions that meet the needs of end-users, and am eager to bring my creativity and strategic thinking to new projects."
230,"UI Designer with 3 years of experience specializing in Figma, Photoshop, and Illustrator. Passionate about creating captivating digital experiences that exceed client expectations. Skilled in crafting aesthetically stunning and user-friendly interfaces for both web and mobile platforms. Dedicated to bringing client visions to life and leaving users enchanted with the brand."
231,"Responsibilities: Completed three full-cycle projects, one of which was a team project. Dedicated to creating intuitive and visually appealing digital interfaces that enhance the user experience. Experienced in working on various projects including landing pages, web services, redesigns, and mobile apps. Skilled in using tools such as Figma, Adobe Photoshop, Adobe Illustrator, and Canva.

Cozy House Web Service:
- Team project, full cycle design
- Involved in all stages of the design process including competitive analysis, user personas, job stories, customer journey mapping, user flow, wireframes, visual design, and adaptation
- Platform for host reservations connecting travelers with hosts for safe and affordable accommodation options

Cucina di Catherina Website:
- Redesign, full cycle design
- Improved website by updating visual content, restructuring information for easier navigation, and highlighting unique selling proposition
- Enhanced user experience and attracted potential customers

Looking for a full-time position, able to work collaboratively with a team and receptive to constructive feedback. Eager to learn from experienced designers and contribute unique perspective to projects."
232,"- One pet project: a booking table service application for restaurants and cafes
- Team lead on the Travel Service project
- Currently working on commercial Coaches service project
- UI/UX Designer specializing in visually appealing and user-friendly designs for web and mobile applications
- Developed a web interface for the Travel Service platform ""Change of Environment""
- Redesigned platform for Ukrainian schools, providing necessary information and contact details
- Dedicated to growth opportunities, interesting projects, and continually developing skills as a UI/UX Designer
- Strengths include expertise, collaboration, and commitment to excellence."
233,"Experienced UI/UX Designer with proficiency in Sketch, Figma, Adobe XD, InVision, and Marvel. Collaborates with stakeholders to create wireframes, interactive prototypes, and high-fidelity designs. Conducts user research, analyzes feedback, and performs usability testing. Passionate about enhancing user experience through intuitive and visually appealing designs."
234,"Experience:
- Defined client's problems, conducted competitive analysis, defined target audience, created customer journey maps, defined user flows, developed wireframes, and created mobile and tablet adaptations in various UI/UX design projects.
- Conducted prototyping to address user needs.
- Created the web service ""Travel Go"" to facilitate affordable or free stays in other countries with volunteering opportunities.
- Developed the mobile application ""ReserveNow"" for restaurant table bookings, including features to view restaurant layouts, select seats, and reserve tables.
Skills:
- Proficient in Figma, Adobe Photoshop, FigJam, and Adobe Illustrator for design work.
- Experience with comprehensive design process covering task analysis, interface prototyping, visual style development, and user-friendly product delivery.
- Excited to collaborate on user-centered design concepts for web and mobile applications."
235,"As a Junior UX/UI Designer in Ukraine, successfully completed a UX/UI design course and led a design team focused on collaboration, creativity, and motivation. Fostered an environment where team members listened to each other's ideas, learned new skills, and worked together to create innovative products.

UX/UI Designer (2022-2023), built and managed a design team specializing in UX research, prototyping, design, knowledge sharing, and teamwork. Developed leadership skills to ensure high-quality design project delivery.

UX/UI Designer (07.02-30.03, 2023), responsible for developing the interface for a medical clinic. Conducted extensive UX research to create a user-friendly and intuitive design that met business and user needs. Demonstrated strong design skills and effective teamwork. Project details available in resume link.

Freelance Graphic and UX/UI Designer (03/15/23), developed websites and posts for clients working both independently and in small teams."
236,"Certificate for successfully completing an 8-month course in UX/UI design, web design, and mobile design. Skilled in creating user-centric digital experiences to solve problems and streamline user interactions. Proficient in designing for both web and mobile applications, with expertise in task analysis, interface prototyping, and brand-aligned visual styling. Additional experience in motion design complements my abilities as a UX/UI designer. Extensive project work includes developing a mobile app for booking tables at unique restaurants (""Unreal""), implementing a web-service for refurbishing social infrastructure facilities in Ukraine (""Wings of Hope""), revamping the website for the Slavsko ski resort, and crafting a landing page for test driving an Audi Q3. Actively seeking a collaborative role within a company to work alongside product managers, developers, and fellow designers in bringing design concepts to fruition and delivering comprehensive digital solutions."
237,"- Experienced web designer with a focus on creating attractive and informative interfaces for museums
- Utilized design tools to create page layouts tailored to visitor personas and museum environment specifics
- Paid special attention to exhibit placement, navigation, and visual perception to ensure optimal user experience
- Applied UI and UX design principles to create aesthetically pleasing and functional interfaces
- Conducted detailed requirements analysis to position elements and design easy navigation for users
- Seeking opportunities to progress as a UI/UX designer, collaborate with teams, and work closely with clients to provide innovative design solutions
- Committed to continuous learning of new technologies and tools to enhance design skills
- Goal-oriented towards creating memorable user interfaces that support companies in achieving their objectives"
238,"PROJECT EXPERIENCE

Landing page for a flower shop

- Designed and created a landing page to promote new bouquet delivery service
- Conducted competitor analysis
- Developed moodboard to convey product emotions
- Designed wireframes and UI kit
- Built landing page

Redesign for the Italian roastery website

- Redesigned website for ""Il Griso"" to improve visual appeal and user experience
- Conducted competitor analysis
- Structured site elements for redesign
- Designed wireframes and UI kit
- Performed prototyping and adaptation for selected pages"
239,"Participated in exhibitions such as The Art of Change at the Ukrainian House, *24.02 Before and After* photo exhibition, and CARDIFF SCHOOL OF ART AND DESIGN CARDIFF METROPOLITAN UNIVERSITY exhibition. 

Attended art academy to gain foundational knowledge in graphic design, including subjects such as fonts, composition, and color science. Completed courses in Photoshop, Illustrator, and Figma. 

Participated in UI/UX Design projects, including a redesign of the Turkish Airlines app under mentor supervision. Conducted heuristic analysis and implemented improvements for regular users. 

Developed system design and mobile application and website design for Richard Bank at zero to hero courses. Seeking opportunities to utilize and enhance skills in a real-world environment. 

Not interested in pursuing packaging design."
240,"Experienced designer with a background in working on 3 projects, specializing in competitor analysis, user flow analysis, prototyping, user interface design, site redesign, and landing page creation. Skilled in analyzing user behavior and optimizing designs for improved user experience. Seeking one-off design projects and junior designer positions in office or remote work."
241,"Master's degree in Architecture and Urban Planning received in May 2023. Skilled in self-organization, critical thinking, research, and analysis. Completed educational courses on creating mobile applications and websites. Experienced in website redesign, catalog website creation, and mobile app development. Proficient in conducting UX research, creating user personas and stories, designing user flows and wireframes, and developing animated prototypes. Knowledgeable in HTML, CSS, responsive design, and adaptive design principles. Seeking to further expertise in UX/UI principles through practical experience."
242,"Team Leader at ""Search for Lost and Found Animals Project"" and participant in a social project focused on developing an animal search site. Responsible for conducting research, meeting deadlines, utilizing computer graphics programs including Figma, Illustrator, and Photoshop, working in a team environment, developing website and application layouts, and demonstrating a strong enthusiasm for learning. Projects included competitor analysis, creation of site maps, functions, and adaptations for the animal search project, and design of a user-friendly landing page for a furniture store. Actively improving and acquiring new skills to enhance proficiency as a UI/UX designer."
243,"Experience:
- Experienced in designing interfaces for websites and mobile applications
- Proficient in creating projects such as Landing pages, Web-services, and Mobile Apps
- Redesigned the website for a kindergarten to enhance user experience and functionality
- Developed a web-service to facilitate quick access to cleaning services for users
- Contributed to the creation of a mobile app for online shopping with home delivery option

Skills:
- Highly skilled in translating abstract ideas into concepts and wireframes
- Proficient in generating Minimum Viable Products (MVP)
- Utilizes Design Systems to optimize project workflow and present wireframes effectively
- Demonstrated ability to work collaboratively in team projects

Education:
- Completed UI/UX Designer course at GoIT school (Feb. 2023 - Aug. 2023)"
244,"Creative and empathetic UI/UX designer with a passion for creating user-centric solutions. Experienced in graphic design and marketing, with a strong understanding of user behavior and business goals. Skilled in website and mobile application design, content creation, and marketing materials development. Seeking a role in a collaborative and innovative environment. 

Experience:
- Graphic Designer at Electro House company: Developed website and mobile application design, maintained main website and online store content. Created commercial offers, presentations, and print materials. Managed social media graphics and product photography.
- Graphic Designer at ""Fact"" publishing house (project-based): Designed book covers, souvenir products, and print layouts for various projects.
- Marketer, Designer at Regional medical center: Created outdoor advertising designs, prepared layouts for printing. Designed internal materials such as gift certificates and presentations.
- Kharkiv Specialized Music and Theater Library: Managed data collection and reporting, social media advertising, and event promotion. Developed graphic materials and layouts for marketing campaigns.

Certifications:
- UI/UX Design courses completed, with training in interface design, user journey mapping, competitor analysis, and persona development. Passionate about generating new ideas and implementing innovative solutions."
245,"I have been studying UI/UX design for 4 months and have completed 1 successful team project and 2 individual projects. I excel in core technical skills, organizational ethics, and discipline.

Portfolio Projects:
1. Landing page: Conducted competitor research, created a mood board, and designed a user-friendly UX/UI experience.
2. India Cafe website redesign: Analyzed the website, focused on UX/UI design, color schemes, responsiveness, typography, and created a UI kit for Behance.
3. Lost pets web service: Researched competitor services, developed user personas, defined user flow, implemented design systems, UX principles, and added features like pop-ups and donation options.

Currently studying UI/UX design courses at GOIT, specializing in mobile and desktop applications. Skilled in Figma, Adobe Photoshop, and Adobe Illustrator for designing interfaces. Proficient in color schemes, typography, UI kits, grid systems, prototyping, and mobile app development.

Key Skills:
- Core technical skills
- Organizational ethics
- Discipline
- UX/UI design
- Competitor research
- User personas
- Design systems
- Prototyping
- Adobe Creative Suite
- Figma
- UI design for various platforms
- Mobile app development

Professional Growth:
- Education and mentorship
- Project participation
- Team collaboration
- Continuous professional development"
246,"I have 4 pet projects, including the Pet Search Project which was a team effort. Responsibilities included competitor analysis, JTBD and dog walker persona creation, ad creation, and services section management.

Dating app
Developed a dating application using artificial intelligence to analyze user behavior and suggest compatible pairings.

Pet search web service
Collaborated on creating a website to help lost animals find their owners. Implemented geolocation search and filtering options for accuracy. Also included sections for finding dog sitters and dog walkers.

Landing page Citroen S4
Designed a landing page for Citroen C4, utilizing brand colors and highlighting the model's features.

Redesign website CrossFit CENTRAL
Revamped the website for CrossFit CENTRAL, focusing on visual design and user experience improvements."
247,"- Participated in hackathon focusing on gender inequality and lack of girls in engineering specialties
- Developed winning idea for a chat-bot to assist in choosing engineering and biological specialties
- Designed and began development of chat-bot in online girlfriend mode
- Created databases for automated workstation in hospital for course project using SQL Management Studio and Visual Studio in C# programming language
- Currently studying UX design and enrolled in Google course
- Building portfolio and seeking internship opportunity."
248,"I am a dedicated and conscientious worker with excellent interpersonal skills, capable of working efficiently in a team setting and open to constructive criticism.

I have a strong foundation in web design acquired during my studies, where I learned concepts such as moodboard, grids, typography, UI-kit, and adaptation. Utilizing this knowledge, I developed a website for selling apartments and collaborated with classmates to create a web service. Through these projects, I honed my skills in principles of person, user-flow, and smart-animate. Additionally, I have experience developing a mobile application.

Specializing in UI/UX design for web and mobile applications, I excel in the full design cycle from task analysis to prototyping, visual style creation, and implementation. My goal is to deliver a user-friendly end product that drives success and profitability.

Key Principles:
- Results-driven approach with a focus on design
- Emphasis on collaboration within a positive and respectful team environment
- Ability to work partially remotely
- Commitment to ongoing training and professional development
- Opportunity for career advancement

Let's work together to create impactful and successful designs."
249,"During my studies, I successfully created intuitive and aesthetic interfaces for websites and mobile applications. The projects ranged from landing pages to complex web services. I conducted user research and analyzed competitors to create the most simple and understandable interface. My pet project is creating a landing page for registering for educational courses.

UI/UX Design Projects:
1. Flower Lover: A flower delivery landing page designed to attract users and facilitate flower orders. Users can explore options, place orders, and access delivery information.
2. House Hopper: A web service for finding and booking accommodation worldwide. Two personas - property owner and guest, with functions to search, book, communicate, and access travel info.

Exciting projects: Passionate about joining impactful projects. Ready to contribute innovative UX/UI solutions.
Skill development: Committed to continuous learning and growth in UX/UI design field.
Teamwork: Seek collaborative team environment to share ideas and knowledge with colleagues."
250,"- Team Leader in the project ""Techgen IT,” responsible for managing designers, organizing work, distributing tasks, and communicating with developers. Explained the design of solutions and demonstrated design animation.
- Skilled in designing user interfaces (UI) and user experiences (UX), prototyping interfaces, and testing them with user research for usability and efficiency. Proficient in design tools such as Figma, Adobe Photoshop, and Adobe Illustrator.
- Freelance experience:
  - Team Lead UI UX Designer for a multi-page website for an IT Community. Coordinated the work of designers and managed the project.
  - UI UX Designer for a landing page for a company providing house design services, showcasing completed projects and services.
  - UI UX Designer for a mobile application for searching and buying air tickets, focusing on creating a user-friendly interface.
- Seeking a position where I can leverage my knowledge and skills, demonstrating responsibility, proactivity, and a results-oriented approach to work."
251,"- Team Leader for ""Neaty Kitty"" and ""Tap the Table"" team projects
- Completed 2 own Pet-projects:
   1. Redesign of sports bar ""Yours Sports Bar"" website
   2. Design of Tattoo Studio landing page
- Developed 4 projects during study at GoIT:
   1. Created Landing page for Tattoo Salon from references and analysis
   2. Redesigned website for ""Yours Sports Bar"" with complete analysis and design for multiple devices
   3. Contributed to team project ""Neaty Kitty"" by actively participating in analysis and design process, utilizing Bootstrap 5 design system
   4. Collaborated on team project ""Tap the Table"" to develop a mobile application for restaurant table bookings, involved in analysis, userflow, CJM, wireframes, design, and prototyping
- Proficient in Figma with showcased projects on Behance."
252,"Julia
Passionate and creative designer with experience in UX/UI design. Completed GoIT course. Proficient in independent and team use of Figma. Designed supermarket, library, and flower mobile apps. Developed user-friendly web service for cleaning company. Completed project for IT school dashboard and real estate company website redesign. Eager to learn and grow as designer. Seeking challenging role for personal and professional development."
