,Modified_meta-llama/Llama-3.3-70B-Instruct-Turbo_of_CV_Modelmeta-llama/Llama-3.3-70B-Instruct-Turbo
218,"Project Crypto Wallet allowed me to hone my skills as a UI/UX designer and provided me with valuable experience in designing for complex and challenging projects in the crypto space.
• Developed a secure and user-friendly platform for managing cryptocurrencies.
• Conducted user research and implemented user-centered design principles to ensure that the product met the needs of its target audience.

The redesign of the Cucina di Catherina online store was a challenging and rewarding project that allowed me to apply my UI/UX design skills to enhance the customer experience and achieve the client's goals.
• Successfully created a fresh, modern look that aligned with the brand's vision and values.
• Improved the website's user experience by making it more intuitive and engaging.
• Increased website traffic and engagement metrics by X% after the redesign.

As a highly creative and detail-oriented junior UI/UX designer, I have a passion for crafting intuitive and engaging digital experiences. With a strong foundation in design principles and a natural ability to solve complex problems, I am able to create user-centered designs that meet the needs of diverse audiences.

Experience:
Crypto Wallet Tutis
Application, full cycle design
This experience has challenged me to consider complex design problems such as security and data privacy, and to think deeply about the user's needs in managing their cryptocurrencies.
Throughout the project, I focused on creating a secure and intuitive platform that would provide a seamless user experience while ensuring the safety of their assets.
I also conducted extensive user research to understand the needs of crypto wallet users and incorporated their feedback into the design process. This helped to create a user-centered design that met the needs of a diverse audience.

Redesign Cucina di Catherina
Online Store Website, full cycle design
The goal of the project was to create a more modern and user-friendly platform that would enhance the customer experience and increase sales.
I began by conducting extensive user research to understand the pain points and needs of customers when shopping on the current website. I also designed new visual elements and a fresh color palette to modernize the brand's image and enhance the overall aesthetic of the site.
Throughout the design process, I conducted usability testing to ensure that the new design met the needs of users and addressed any issues that arose.

Skills:
• Adobe Suite
• Creating web interfaces, mobile design, and landing pages in Figma
• Experience in redesign
• Developing user personas, user scenarios, and sitemaps
• UX research and analysis of competitors
• Using Google Material Design Guidelines
• Working with photos in Photoshop
• Design of icons, logos, and illustrations in Illustrator
• Wireframing and Prototyping
• Visual Interface
• Site map and user flow
• Adaptation

I expect to work on a variety of projects that require designing engaging and intuitive user experiences. I would like to collaborate with cross-functional teams, including product managers, developers, and stakeholders, to ensure that my designs meet both business goals and user needs.
I would also like the opportunity to conduct user research and create user personas to inform design decisions. I would like to design wireframes and prototypes to test and iterate on design concepts, develop design systems and style guides to maintain visual consistency across products, collaborate with developers to ensure that designs are technically feasible and implemented correctly, advocate for user-centered design principles, and promote the user throughout the design process. I want to continuously gather feedback and iterate on designs to improve the user experience.

Overall, I expect to work in a dynamic and challenging environment that requires me to think creatively and solve complex design problems."
219,"Junior UI/UX Designer

Summary:
Passionate and detail-oriented junior UI/UX designer with experience in designing aesthetically pleasing and effective web and mobile applications. Driven by the desire to turn ideas into reality and create interfaces that solve problems and simplify daily goals for the target audience.

Experience:
Team Leader, Paw Rescue Project
- Organized team's work and designed prototypes' visual aspects
- Collaborated with team to design a website for finding lost and found animals, conducting competitor analysis and creating a clear user flow

UI/UX Design Projects:
- Redesign for Italian Sauce Website: revamped website to attract customers and improve user experience through competitor research, updated color scheme, uniform photos, and modern typography, with adaptations for mobile and tablet versions
- Landing Page for Flower Lover: analyzed target audience, created a clear interface with necessary menu items, and built the interface from scratch
- Paw Rescue: contributed to team assignment designing a website for finding lost and found animals, utilizing design system to create a convenient and modern interface

Career Goals:
Seeking a remote office position in a company that offers mutual respect, friendly atmosphere, corporate training and development, and career growth opportunities."
220,"Junior UI/UX Designer

Summary:
Highly organized and collaborative UI/UX designer with experience in creating user interfaces and visual designs for web services and mobile apps. Proficient in using design tools like Adobe Photoshop, Figma, and similar software.

Skills:
- Proficient in Adobe Photoshop, Figma, and other graphic editing tools
- Experienced in creating wireframes, interactive prototypes, and visual designs
- Knowledgeable in design systems and their components
- Skilled in creating user flows and journey maps
- Able to design interfaces that adapt to various screen sizes and devices

Experience:
Junior UI/UX Designer
- Collaborated with teams to design user-friendly and visually appealing interfaces for web services and mobile apps
- Created layouts that worked well on different devices for web services
- Designed screens for mobile apps considering touch interactions and clarity
- Utilized Figma, Adobe Photoshop, and Protopie to create layouts and mockups
- Adapted to different project requirements and improved skills

Projects:
1. Custom Concepts - Tattoo Studio Website Redesign
   - Redesigned the existing website to make it easier and more convenient for customers
   - Updated the main color palette, used high-quality photos, and created a simple booking form
   - Implemented a new structured visual hierarchy

2. PetRescue - Web-service for Searching Animals
   - Contributed to a web application designed to help reunite lost animals with their owners
   - Utilized Figma, Adobe Photoshop, FigJam, and Adobe Illustrator as main tools

Languages:
- Native Ukrainian
- Fluent in Russian
- Upper-intermediate English
- Elementary Polish

Career Goals:
- Continuously learn and improve as a UI/UX designer
- Work on diverse projects and explore new design approaches
- Create designs that are enjoyable for everyone, with a focus on feedback and iteration"
221,"Junior UI/UX Designer

Summary:
Results-driven junior UI/UX designer with experience in creating digital experiences that offer optimal user experience. Proven track record of successfully leading teams and presenting projects to customers.

Experience:
Team Lead, Buki School Project
- Organized team work and presented the project to the customer
- Conducted in-depth interviews, questionnaires, formed personas and empathy maps

Junior UI/UX Designer
- Created digital experiences for landing pages, redesigns, web services, and mobile applications
- Utilized UX research methodologies, including competitive analysis, heuristics analysis, and surveys

Projects:
Redesign for Buki School (Team Project)
- Conducted full-fledged UX research, including competitive analysis, heuristics analysis, in-depth interviews, personas, and surveys
- Created a clickable cabinet prototype and presented the project to the customer

DocMe Web Service (Team Project)
- Contributed to UX research and created the main site
- Assisted in making changes to patient and doctor cabinets, utilizing methodologies such as competitor and target audience analysis, personas, JBTD, and CJM

Career Goals:
Seeking a collaborative environment with like-minded individuals who value design and innovation. Expecting opportunities for training and development to stay up-to-date with the latest trends and techniques in web design."
222,"Team Leader & Junior UI/UX Designer

Summary:
Results-driven team leader and junior UI/UX designer with experience in managing projects, designing intuitive interfaces, and collaborating with cross-functional teams. Proven track record of delivering projects on time and exceeding expectations.

Experience:
Team Leader, Web-service for finding lost pets project
- Determined direction of work, distributed responsibilities, and scheduled team meetings
- Ensured smooth workflow, resulting in an intuitive interface that met target audience expectations
- Successfully completed project on time, receiving high appreciation from mentor

Collaborator, Start-up project for accountants and related professionals
- Contributed to the development of a web service for calculating salaries, bonuses, and other related tasks

Junior UI/UX Designer
- Completed a special course in UI/UX design, including 6 study cases
- Applied design principles to create user-friendly and visually appealing interfaces

Projects:
- Mobile app for a chain of coffee shops: Designed an intuitive and youth-oriented interface, including competitor analysis, target audience analysis, persona creation, JTBD, user flow development, wireframes, design creation, and animation
- Web-service for finding lost pets: Conducted competitor analysis, target audience analysis, user-persona compilation, JTBD, CJM, and User-Flow development, resulting in a design that met target audience expectations
- Travel agency website redesign: Created a clear and concise design, including competitor analysis, target audience analysis, persona compilation, user flow development, wireframes, design, adaptation, and animation

Career Goals:
Seeking a team of specialists where I can apply my theoretical knowledge, develop my skills, and grow professionally over time."
223,"Junior UX/UI Design Professional

Education:
- Digital Marketing Professional Certificate, University of Miami
- Bachelor's degree in Hospitality and Tourism Management with a Minor in International Relations, Florida International University

Summary:
Results-driven Junior UX/UI Designer with a passion for digital marketing and UX/UI design. Proven ability to craft intuitive user interfaces that maximize user experience and improve results. Proficient in Figma, Adobe Illustrator, and Adobe Photoshop.

Experience:
- Professional Athlete, Ukrainian National Team
- Junior UX/UI Designer: Designed a web service for VitalMed private medical clinic, redesigned a website for a tattoo salon, and created a Citroen C4 landing page

Skills:
- UX/UI Design
- Figma
- Adobe Illustrator
- Adobe Photoshop
- Digital Marketing

Career Goals:
Seeking a supportive environment to learn and grow as a Junior UX/UI Designer. Looking for opportunities to work on challenging projects that involve problem-solving, research, and creative thinking. Aim to become a strong and knowledgeable designer who creates meaningful user experiences while contributing to the team's success and exploring new ideas and approaches to design."
224,"Junior Web Designer

Responsible for designing web pages, graphics, and visual elements for company website and marketing materials. Key duties included:
- Designing a company website from scratch
- Controlling design of finished pages
- Collaborating with developers and testers
- Creating wireframes, mockups, and prototypes to communicate design concepts
- Designing marketing materials, including social network covers, YouTube video previews and footage, and recording product functionality videos

Utilized tools such as Figma, Adobe Illustrator, and OBS Studio to complete design tasks.

Gained experience and skills in designing effective marketing materials and web pages, with a strong foundation in collaborative design and development. Seeking to apply and further develop these skills in new projects."
225,"As an Auditor with a background in Economics, I am driven by a passion for creativity and graphic design. With experience as a Graphic and Social Media post designer, I am eager to transition into the field of UX design, utilizing my skills and embracing my creative side.

Education:
Bachelor's degree in Economics
Master's degree in Economics

Experience:
Graphic and Social Media post designer, Education Center
- Created engaging social media posts and designed eye-catching posters and printables
- Handled the entire branding process for the organization
- Developed a keen eye for aesthetics and an understanding of user-centric design principles

Skills:
Analytical thinking
Creative problem-solving
Attention to detail
Ability to work within strict deadlines
Graphic design
Social Media post design
Branding

Career Goal:
Entry-level UX/UI designer position where I can learn and improve, creating intuitive and user-friendly interfaces that enhance usability and deliver exceptional experiences."
226,"UI/UX Designer

Summary:
Highly skilled UI/UX designer with commercial experience in various projects and domains, possessing expertise in UX research, design systems creation, and marketing materials development.

Technical Skills:
- UX research
- Design Systems creation
- Work with different guidelines
- Marketing materials creation
- Mobile design (rules, patterns)
- Angular Material
- Kendo UI
- Human Interface Guidelines
- Google Material Design

Experience:
UI/UX Designer
- Designed and developed mobile applications, including guide app and lottery app
- Redesigned corporate website, ensuring adaptivity across web, mobile, and tablet platforms

Key Responsibilities:
- Conducted designing analysis of old screens
- Created design systems based on Design Thinking process
- Developed marketing materials for the marketing team
- Designed visual content for company's social media across all platforms
- Created case studies and Behance cases

Projects involved:
- User research
- Competitor investigation
- Brainstorming
- Building style guides
- Creating information architecture
- Prototyping
- Adaptive design development
- Client and developer communication
- Wireframing and mockup creation"
227,"Summary:
Dedicated and detail-oriented specialist with a strong foundation in design principles, passionate about crafting seamless and intuitive user experiences. Proven ability to collaborate with cross-functional teams to create visually appealing and impactful interfaces for web and mobile applications.

Experience:
Table Tab Mobile App Design
Jun 2023 - Aug 2023
- Conducted research and created wireframes, prototypes, and UI screens for a mobile app designed to book restaurant seats
- Collaborated with the team to develop a rewards system, enhancing user engagement and experience

Host Radar Project Design
Apr 2023 - Jun 2023
- Performed market and competitor analysis for a web service focused on work and recreation
- Prepared wireframes, animated prototypes, and finished cases for the project

Mainsal Realty Company Redesign
Feb 2023 - Apr 2023
- Redesigned a website to improve user experience, conducting research and comparing competitors in the US market
- Created a modern and user-friendly website, driving business growth and customer loyalty

Skills:
- User interface design for web and mobile applications
- User experience (UX) design
- Design principles and systems
- Wireframing and prototyping
- Market and competitor analysis
- Collaboration and teamwork

Career Goals:
- Further develop design skills and knowledge
- Contribute to innovative and user-centric projects
- Collaborate with senior designers and stakeholders to deliver compelling user experiences"
228,"Recent Graduate of Plural Code Academy
Designed a mobile app for a salon as a final project, utilizing industry-standard tools like Figma to create user interfaces and experiences for web and mobile applications.

Key Skills and Experience:
- User interface and user experience design for web and mobile applications
- User research and analysis
- Wireframing and prototyping
- Usability testing and iteration

Intern, Software Agency
- Designed and completed website and mobile views for a cryptocurrency platform
- Designed a website for a resort center

Personal Qualities:
- Quick learner and problem-solver
- Team player with strong collaboration skills
- Committed to delivering high-quality work and meeting deadlines

Career Goals:
Seeking an opportunity to gain hands-on experience in UI/UX design and learn from experienced professionals in the industry."
229,"As a team leader during my case studies project, I successfully managed tasks and modified designs to meet the needs of our target audience. With my strong empathy skills, I was able to modify features and design solutions to create a more user-friendly experience. This experience allowed me to develop my project management skills and reinforced my ability to work collaboratively within a team.

With over two years of experience in marketing, I have honed my creative and strategic skills, and am able to deliver visually appealing design solutions that meet the needs and goals of my clients. My background in marketing has given me a keen understanding of user personas and pain points, which enables me to deliver effective design solutions. I have also developed strong project management and communication skills, having worked with a diverse range of clients across various industries.

In my projects, I have applied my skills in UI/UX design, including a travel service website that connected people from around the world, where I conducted UI/UX research, designed, adapted, and prototyped. I collaborated with a team of two, gaining valuable experience in working with others and effectively managing project timelines.

I also worked on a Scan-and-Go mobile app, which involved extensive market analysis and design. We chose to follow regular user patterns to simplify the shopping process. I utilized various design tools such as Figma, Adobe Photoshop, and Protopie to complete the project and create a functional prototype.

As a marketer transitioning to a career in design, I am eager to bring my creativity and strategic thinking to new projects. I am excited to apply my newly acquired skills in UI/UX design to create visually appealing solutions that meet the needs of end-users. I am open to working with teams that value not only business needs but also creating new user-friendly experiences for customers."
230,"UI Designer
Highly skilled UI designer with 3 years of experience in crafting captivating digital experiences. Proficient in Figma, Photoshop, and Illustrator, with a strong focus on creating intuitive and beautiful interfaces.

Key Strengths:
- Expertise in Figma, Photoshop, and Illustrator
- Strong understanding of user experience and interface design principles
- Detail-oriented with a keen eye for aesthetics
- Proven ability to deliver user-friendly and visually stunning designs

Experience:
UI Design Wizard (3 years)
- Designed and developed intuitive and beautiful interfaces for web and mobile applications
- Utilized Figma, Photoshop, and Illustrator to create captivating digital experiences
- Collaborated with clients to bring their vision to life and exceed their expectations

Skills:
- UI design
- Figma
- Photoshop
- Illustrator
- User experience design
- Interface design
- Web and mobile design"
231,"UI UX Designer

Dedicated to creating intuitive and visually appealing digital interfaces, I leverage my experience in full-cycle design to enhance the user experience. Proficient in tools such as Figma, Adobe Photoshop, Adobe Illustrator, and Canva, I have worked on various projects, including landing pages, web services, redesigns, and mobile apps, both individually and as part of a team.

Key Projects:
Cozy House Web Service
- Team project, full-cycle design for a host reservation platform connecting travelers with hosts
- Completed all stages of the design process: competitive analysis, user personas, Jobs To Be Done (JTBD), Customer Journey Map (CJM), user flow, wireframes, visual design, and adaptation

Cucina di Catherina Website
- Redesign, full-cycle design to refresh an outdated website
- Updated visual content, structured information for easier navigation, and highlighted the product's unique selling proposition

Experience:
- Completed three full-cycle projects, including one team project
- Proven ability to work collaboratively and take feedback constructively to produce high-quality outcomes

Career Goals:
Seeking a full-time position to learn from and work alongside experienced designers, contributing my perspective to projects and continuing to grow as a UI UX Designer."
232,"UI/UX Designer

Summary:
Highly motivated UI/UX Designer with experience in leading projects and creating user-friendly designs for web and mobile applications. Proficient in crafting visually appealing designs that address the needs of the target audience.

Experience:
Team Lead, Travel Service Project
- Led the development of a web travel service interface for a platform that connects hosts and tourists
- Created two user flows for hosts and tourists, wireframed, and designed adaptive versions

UI/UX Designer, Commercial Coaches Service
- Currently working on designing user-friendly interfaces for a commercial coaches service

Pet Project: Booking Table Service Application
- Designed and developed a web application that enables users to book tables at restaurants and cafes without the need for phone calls
- Implemented a feature that allows users to choose from available tables

Other Projects:
- Redesign of Ukrainian School Platform
  - Created wireframes, desktop version, and adaptive versions for tablet and mobile
  - Designed a platform that provides all information about the school and allows users to contact the school

Skills:
- UI/UX Design
- Web and Mobile Application Design
- Wireframing
- Adaptive Design
- User Flow Creation
- Collaborative Teamwork
- Commitment to Excellence

Career Goals:
- Seeking growth opportunities and interesting projects that allow for skills development and expertise sharing."
233,"UI/UX Designer

Completed projects focusing on creating intuitive and visually appealing user interfaces and enhancing user experiences, including:
- Designed a Mobile Banking Application
- Conducted User Research for a Health App

Utilized design tools and technologies such as Sketch, Figma, Adobe XD, InVision, and Marvel to create wireframes, interactive prototypes, and high-fidelity designs.

Collaborated with stakeholders, including product managers, developers, and designers, to understand user needs and develop design solutions. Conducted user research, analyzed user feedback, and performed usability testing to inform design decisions. Created wireframes, user flows, and visual designs aligned with user goals and business objectives.

Focused on improving usability and accessibility in design, staying updated with the latest UI/UX design trends, best practices, and accessibility guidelines to cater to a diverse user base. Continuously aimed to enhance skills in user research and usability testing to gather valuable insights and validate design decisions.

Goal-oriented towards creating interfaces that provide a seamless and delightful user experience, helping users achieve their goals efficiently and effortlessly."
234,"UI/UX Designer

Pet-projects: Multiple solo and team projects, focusing on user-centered design and problem-solving.

Key Responsibilities and Skills:
- Define client problems and conduct competitive analysis
- Identify target audiences and create Customer Journey Maps (CJM)
- Develop user flows and wireframes
- Design mobile and tablet adaptations for desktop projects
- Create prototypes addressing user needs and pain points

Notable Projects:
- ""Travel Go"": A web service facilitating affordable or free travel accommodations through volunteering opportunities
- ""ReserveNow"": A mobile application for restaurant table bookings, featuring layout viewing, seat/table selection, and time-based reservations

Tools and Software:
- Figma
- Adobe Photoshop
- FigJam
- Adobe Illustrator

Design Approach:
- Comprehensive design encompassing task analysis, interface prototyping, and visual style establishment
- Delivery of user-friendly, uncomplicated final products through a user-centered design process

Collaboration:
Eager to work together to develop user-centered design concepts for web and mobile applications."
235,"Junior UX/UI Designer
Ukraine
Successfully completed a UX/UI design course and applied learnings to create and lead a design team, fostering collaboration, creativity, and motivation.

UX/UI Designer
2022-2023
Built and managed a design team, focusing on UX research, prototyping, design, knowledge sharing, and teamwork, developing leadership skills and delivering high-quality design projects.

UX/UI Designer
07.02-30.03, 2023
Developed the entire interface for a medical clinic, conducting extensive UX research to create a user-friendly and intuitive interface design that met business and user needs.

Freelance Graphic and UX/UI Designer
03/15/23
Engaged in website and post development, working one-on-one with clients and in a mini team, utilizing both graphic and UX/UI design skills."
236,"Certificate for successfully completing an 8-month course and obtaining practical knowledge at UX/UI design, Web-design and mobile design

As a UX/UI Designer, I am passionate about creating meaningful digital experiences that solve problems and simplify the lives of users. I specialize in designing for web and mobile applications and take pride in turning ideas into reality.

My design process involves a full cycle approach, starting with analyzing the task at hand and prototyping an interface that meets the needs of the target audience. I then create a visual style that aligns with the brand and turns the user's journey into a seamless and intuitive experience.

My past experience in motion design can be highly valuable in my current role as a UX/UI designer.

Project Experience:
- “Unreal”: Mobile application for booking a table in unusual restaurants, full cycle design. The goal was to provide users with a convenient and efficient way to reserve a specific table at their desired location.
- “Wings of hope”: Web-service, full cycle design, aiming to attract communities, government officials, private organizations, and investors to restore Ukraine's social infrastructure.
- Redesign of the Slavsko ski resort website, full cycle design, with the goal of attracting more tourists through a modern design and unique recognizable style.
- Test drive Audi Q3: Landing page, full cycle design, for advertising Audi and allowing users to order a test drive.

I am looking for a company to collaborate with cross-functional teams, including product managers, developers, and designers, to bring my design ideas to life and create complete digital products."
237,"Web Designer

Summary:
Highly motivated web designer with a strong foundation in personal projects, seeking to leverage skills in UI/UX design to deliver exceptional user experiences.

Personal Projects:
Designed and developed a website for museums, focusing on creating an attractive and informative interface for visitors. Utilized design tools to craft page layouts, considering persona requirements and museum environment specifics. Prioritized exhibit placement, navigation, and visual perception to create aesthetically appealing and functional interfaces.

Key Skills:
- UI/UX design principles
- Design tools
- Requirements analysis
- Page layout creation
- Element positioning
- Navigation design
- Visual perception

Career Goals:
Aspiring to develop as a UI/UX designer, collaborate with teams, and work closely with clients to understand their needs and provide tailored design solutions. Committed to staying up-to-date with new technologies and tools to enhance design skills and create interfaces that drive business success and provide unforgettable user experiences."
238,"Astute and organized Fresh UX/UI Designer skilled in user-focused research and data-driven design decisions. Specializing in creating user-friendly wireframes and prototypes.

PROJECT EXPERIENCE

Scrum Master, Mind Map Team Project
Collaborated with the team to deliver the Mind Map project, utilizing organizational skills to ensure effective project execution.

Landing Page for a Flower Shop
Created a landing page to advertise the flower shop's new opportunity to order a bouquet with delivery. Analyzed competitor sites, developed a moodboard to convey the emotional context of the product, designed the wireframe and UI kit, and created the landing page.

Redesign of the Italian Roastery Website
Redesigned the website of the Italian roastery ""Il Griso"" to increase its visual appeal and ease of use. Analyzed competitor sites, developed a structure for the organization of elements, created wireframes and UI kit of selected pages, and performed prototyping and adaptation.

Web-service for the Cleaning Company
Designed a web-service for the cleaning company, applying user-focused research and data-driven design decisions to create a user-friendly experience.

Seeking to join an innovative design team to enhance the user experience for customers, leveraging creativity and problem-solving skills to create industry-leading products."
239,"[Your Name]

Exhibitions:
- Participated in ""The Art of Change"" exhibition at the Ukrainian House
- Contributed to the photo exhibition ""24.02 Before and After""
- Featured in the Cardiff School of Art and Design, Cardiff Metropolitan University exhibition

Education and Skills:
- Attended art academy, gaining foundational knowledge in graphic design, including fonts, composition, and color science
- Completed courses in:
  - Photoshop
  - Illustrator
  - Figma
- Acquired skills in UI/UX Design through projects and courses

Projects:
- Redesigned the Turkish Airlines app under mentor supervision, conducting heuristic analysis to improve user experience
- Created system design, mobile application, and website design for Richard Bank as part of the ""From Zero to Hero"" courses

Career Goals:
- Seeking to apply and develop skills in a real-world environment
- Interested in utilizing skills in various design capacities, excluding packaging design"
240,"Junior Designer

Summary:
Highly motivated and detail-oriented designer with experience working on individual projects and collaborating in a team environment. Proven ability to analyze user flow, create prototypes, and design user interfaces.

Experience:
Freelance Designer
- Personally worked on 3 projects, utilizing skills in user experience and user interface design
- Conducted in-depth analysis of competitors and user flow to inform design decisions
- Created prototypes and designed user interfaces for various projects

Projects:
- CloudyClean Webservice: Designed a cleaning service website with filters and easy ordering functionality
- Alaska Pete's Website Redesign: Modernized the user interface for improved convenience, comprehensibility, and attractiveness
- Landing Page for a FlowerLover: Created a convenient, aesthetic, and understandable landing page for a flower shop

Skills:
- User experience design
- User interface design
- Prototyping
- Team collaboration
- Analysis of user flow and competitors

Availability:
Available for one-off projects or junior designer positions in an office or remote work setting."
241,"Master's Degree in Architecture and Urban Planning, May 2023
Research Project: ""Modern Approaches to Implementing Information Technologies in Architectural Design""

Key Skills:
- Self-organization
- Critical thinking
- Research
- Analysis
- Digital product design
- Mobile application development
- Website development
- UX Research
- User Persona and Story formulation
- User Flow design
- Wireframing
- Animated Prototyping
- HTML markup
- CSS styling
- Responsive and adaptive design principles

Project Experience:
1. Website Redesign for FeelFull, a food delivery enterprise
2. Catalogue Website for TviyBrend, an accessories retail company
3. Mobile App Colory, designed to transform black and white photos into color

Education and Training:
Completed two educational courses on creating mobile applications and websites, focusing on effective and visually appealing digital product design from initial concept to final implementation

Career Goals:
Committed to creating impactful and user-centered designs while expanding expertise in UX/UI principles through real-world practice experience."
242,"Team Leader, Search for Lost and Found Animals Project

Key Responsibilities and Skills:
- Conducted research and met deadlines, demonstrating responsibility and reliability
- Utilized computer graphics programs, including Figma, Illustrator, and Photoshop, with excellent proficiency
- Collaborated with team members, showcasing teamwork experience
- Developed layouts for websites, web, and mobile applications, with a strong desire to continue learning and growing

Projects:
Search for Lost and Found Animals
- Analyzed competitors, developed site maps, and adapted site functions to achieve the project's main objective: quickly finding lost animals and reuniting them with their owners

Furniture Landing Page
- Researched competitors, selected references, created prototypes, and designed UI pages to develop a simple and user-friendly landing page for a furniture store

Career Goal:
To work and develop as a UI/UX designer in a team of professionals, continually improving skills and acquiring new ones to enhance competence."
243,"UI/UX Designer

Highly motivated and detail-oriented designer with experience in translating abstract ideas into concepts and wireframes. Skilled in creating Minimum Viable Products (MVP) and utilizing Design Systems to streamline project development and presentation.

Education:
Courses UI/UX Designer at the GoIT school (Feb. 2023 - Aug. 2023)

Projects:
- Landing page ""Rainbow"": Redesigned an existing kindergarten website to improve user experience, allowing easy appointment booking and curriculum selection.
- Web-service ""CleanHouse"": Collaborated in a team of three to develop a service connecting users with cleaning service providers, including registration functionality for cleaners.
- Mobile App ""MY BRAND"": Worked in a team of two to create an e-commerce application with online shopping and home delivery capabilities.

Experience:
Participated in team projects, including E-commerce and Edteach initiatives, to develop strong collaboration and problem-solving skills.

Skills:
- UI/UX design for websites and mobile applications
- Design System implementation
- MVP creation
- Team collaboration and communication

Career Goals:
Seeking a company that values employee growth and development, where I can apply my skills, gain experience, and become a valuable team member."
244,"Creative and friendly person with a passion for designing sites that meet people's needs and business goals. Proficient in showcasing empathy in work and utilizing aesthetic and intellectual abilities to analyze audiences, conduct tests, identify user problems, and solve them.

Experience:
2021-2023
Graphic Designer, Electro House Company
- Developed website and mobile application design, supported and filled content for the main website and online store.
- Created commercial offers, presentations, and mailings.
- Worked with packaging, creating stickers, decals, and instructions.
- Designed printing products, including catalogs, booklets, and business cards.
- Designed and filled social networks with graphic content.
- Created banners for the company's website and partners' websites, and filled the website with graphic content and icons.
- Conducted product photography, photo processing, and retouching.

2020-2022
Graphic Designer, ""Fact"" Publishing House (project-based)
- Created layouts for book covers, including fiction, children's books, and non-fiction.
- Developed designs for souvenir products.
- Created layouts for printing products.

2020-2021
Marketer and Designer, Regional Medical Center
- Developed outdoor advertising design, including banners, posters, and signs, using CorelDRAW.
- Created polygraphy for internal needs, including gift certificates, fire evacuation plans, and presentation designs.

2016-2022
Kharkiv Specialized Music and Theater Library named after K.S. Stanislavsky
- Collected data, prepared reports, and conducted planning and analysis of work.
- Conducted advertising activities, including social network management, poster design, and layout creation for events and monthly newspapers.

Seeking a UI/UX Designer position, utilizing skills to solve user problems, understand user needs, and show empathy. Proficient in generating ideas and proposing new business solutions. Completed UI/UX design classes, with skills in:
- Developing interface design for web and mobile applications
- Creating user journey maps
- Analyzing competitors
- Creating personas and empathy maps"
245,"Contact Information: Not Available

Summary:
Highly motivated and detail-oriented individual with a strong passion for learning and growth. Proficient in core technical skills, organizational ethics, and discipline, with a focus on UX/UI design and development.

Education:
Currently taking UI/UX design courses at GOIT, gaining valuable skills in developing mobile and desktop applications.

Experience:
Completed 1 successful team project and 2 individual projects during 4 months of study, demonstrating ability to work collaboratively and independently.
Developed and showcased skills in UX/UI design through a portfolio of three projects:
1. Landing page: Conducted competitor research, created a mood board, and worked on UX/UI design to create a user-friendly experience.
2. India Cafe website redesign: Performed website analysis, worked on UX/UI design, and addressed aspects such as color schemes, responsiveness, typography, and prototyping. Created a UI kit and prepared the project for Behance.
3. Web service for finding lost or misplaced pets: Analyzed competitor web services, created user personas, and defined the user flow. Worked on design systems, user experience (UX), and incorporated features like pop-ups and a donation feature for animals in need.

Skills:
Proficient in designing user interfaces for various platforms using tools like Figma, Adobe Photoshop, and Adobe Illustrator.
Experienced in working with color schemes, typography, UI-kits, grid systems, website design prototyping, and mobile app development.

Values:
Prioritize learning and professional growth, with a focus on gradual development and collaboration with teams.
Emphasize the importance of education, mentorship, and support in achieving goals and overcoming challenges."
246,"Personal Projects:
Pet Search Project (Team Effort)
- Competitor Analysis
- JTBD and Dog Walker Persona
- Ad Creation Section
- Services Section

Dating App
- Analyzed user behavior through smartphones and apps
- Utilized artificial intelligence to suggest compatible pairings

Pet Search Web Service
- Geolocation search
- Filter application for accurate search
- Dog sitter and dog walker sections
- Calm tone design with accents

Landing Page Citroen S4
- Designed a landing page to present the Citroen C4
- Utilized brand-inherent color schemes
- Highlighted model advantages and characteristics

Redesign Website CrossFit CENTRAL
- Fresh visual design with harmonious colors
- Implemented UX solutions for easy navigation

Career Preferences:
- Results-focused
- Design-oriented
- Open team collaboration
- Mutual respect and friendly atmosphere
- Partially remote work options
- Corporate training and development
- Career growth opportunities"
247,"[Your Name]

Experience:
Hackathon Participant
- Attended lectures on gender inequality, stereotypes, and engineering specialties
- Collaborated with a team to develop an idea for a chat-bot to promote engineering specialties to girls
- Contributed to the design and development of the chat-bot, featuring an online girlfriend mode and interactive test
- Worked with a prophorientologist to create relevant questions for the chat-bot
- Won the hackathon and proceeded to develop the chat-bot

Course Project
- Designed and developed databases for an automated workstation of a hospital employee
- Utilized SQL Management Studio and Visual Studio with C# programming language

Education:
Currently studying UX Design
- Enrolled in a Google course to enhance UX design skills
- Building a portfolio to showcase UX design abilities
- Seeking an internship to apply UX design knowledge and skills"
248,"Dedicated and conscientious professional with excellent teamwork and communication skills. Proven ability to accept and implement constructive criticism.

Education and Skills:
- Proficient in the basics of web design, including moodboards, grids, typography, UI-kits, and adaptation
- Experienced in UI/UX design for web and mobile applications, with a focus on full-cycle design
- Skilled in creating prototypes, visual styles, and implementing designs into usable end products
- Familiarity with design principles, including person, user-flow, and smart animation

Projects and Experience:
- Created a website for selling apartments, applying knowledge of web design principles
- Collaborated with fellow students to develop a web service, mastering team collaboration and design implementation
- Designed and developed a mobile application, furthering skills in UI/UX design

Career Interests:
- Specializing in UI/UX design for web and mobile applications
- Seeking a collaborative environment that values results, design, and teamwork
- Interested in companies offering mutual respect, friendly atmosphere, and opportunities for growth and development, including corporate training and partially remote work arrangements."
