,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelmistralai/Mixtral-8x7B-Instruct-v0.1
208," Skills:
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva
- Experienced with web-services like SimilarWeb
- Skilled in Design Systems, User Flows, and Customer Journey Maps (CJM)

Project Experience:
- Barbershop Landing Page: Designed a landing page for a new barbershop in Ukraine using Figma and Adobe Photoshop.
- India Cafe Website Redesign: Led the redesign of the India Cafe website to increase visitors and improve user experience, utilizing user interviews and competitor research.
- LookFor: Developed a comprehensive web-service to aid in accommodation search, including user-end, payment, and admin interfaces, using Figma, Canva, and Adobe Illustrator.

About Me:
Self-starter and driven Junior UX/UI Designer with a passion for delivering top-notch products for users and businesses. Excited to contribute to a team and take on new challenges in web design processes."
209," —

**[Your Name]**
UI/UX Designer

Contact Information:
[Your Contact Details]

**Experience**

As Chief Designer (Head of Department) for the past 3 years, I have:

* Organized and prepared the company's creative projects
* Developed concepts and designs in accordance with the company's corporate style
* Managed the work process for department employees

Notable projects include:

* Redesign of the company website
* Interface design for a popcorn machine
* KinoboardPRO landing design
* City café and conference-hall interior design

Previous experience includes 8 years in graphic design, during which I:

* Adaptively redesigned a website
* Adaptively designed a web service for hiring cleaning company employees
* Developed a mobile application for restaurant table booking
* Completed various short web design tasks as part of my UI/UX design course

**Project Experience**

* MAINSAIL website redesign (realty company):
	+ Updated design, divided content into logical sections with simple navigation
	+ Created user-friendly forms and elements
	+ Conducted competitor research and analysis, created Wireframe, UI-kit, adapted for Tablet and Mobile
	+ Retained color scheme of the initial site
* Kinoprokat-Sumy popcorn machine interface redesign:
	+ Redesigned interface with company colors and style
	+ Changed background, button color, font, and developed new icon design
	+ Implemented animations while maintaining button size and location

**About Me**

Result-oriented UI/UX designer with a passion for creating intuitive, modern interfaces. I am a team player with strengths in project management, web and mobile design, wireframing, UI-kit development, and adaptive design. I seek a reliable company offering career and financial growth, with a flexible schedule and remote work options.

**Skills**

* UI/UX Design
* Graphic Design
* Web Design
* Mobile Application Design
* Project Management
* Wireframing
* UI-kit Development
* Adaptive Design
* Interaction Design
* Animation Design
* Corporate Style Development"
210," Motivated Junior UI-UX Designer with HR background. Proficient in creating visually appealing and user-friendly websites and applications. Committed to continuous learning and skill development. Excited about working for innovative companies and collaborating with diverse teams.

Project Experience:

1. Eventize - Mobile Application (2023)
	* Developed a mobile app for users to find, book, and plan venues, events, and special occasions
"
211," Junior UX/UI Designer – Team Leader

Projects:

1. Shine Web Service for Cleaning Companies (Team Leader)
	- Led a team to develop a web service for cleaning companies, Shine.
	- Managed organizational aspects and actively participated in the project.
	- Inspired and supported the team to ensure a high-quality end product.
2. FlowerLover Landing Page
	- Designed a minimalistic one-page website for a flower delivery service.
	- Conducted competitor and target audience analysis, created a moodboard, and designed wireframes, prototypes, ui-kit, and animations.
"
212," UI/UX Designer
Alkima Web & Design | March 2023 - present

* Conduct user experience research
* Create sitemaps, wireframes, and user interfaces using Webflow builder
* Design website banners, social network creatives, logos, and development of design systems
* Analyze conditions, test prototypes, and utilize data to improve design
* Collaborate effectively with team members and adhere to design principles

Sales Manager
Vinnytsia Distribution Company | Jan 2019 - Feb 2022

* Team player committed to project success
* Developed interfaces for websites, mobile apps, and software
* Understand user needs and good design examples
* Experienced in creating simple and clear web browser layouts and interactive UX applications
* Proficient in collaboration principles."
213," --\\\-\-\[ Experiance \]---

* Designed and implemented test cases to ensure software quality and functionality
* Generated detailed and precise bug reports for swift issue resolution
* Applied SQL to verify data accuracy and integrity
* Collaborated with UI/UX designers, providing basic requirements and creative, functional design feedback for seamless user experiences

---

---\\\-\-\[ Projects \]---

* **A Kids Place Childcare Website Redesign**
	+ Delivered a modern, user-friendly website design for a kids’ place childcare center in North Olmsted, Ohio
	+ Conducted user research, competitive analysis, wireframe, prototype, and conclusions
	+ Tools: Figma, Adobe Illustrator
* **Medical Clinic Web Service**
	+ Developed visual solutions with essential interface elements for a private medical clinic's web service
	+ Implemented speech recognition technology for automated report filling
	+ Managed baseline study, brainstorming, Jobs-to-be-done, user flow, customer journey map, prototyping, UI, and adaptation
	+ Tools: Figma, Adobe Illustrator, Slack

---

---\\\-\-\[ Skills \]---

* Expertise in UI/UX design
* Testing and bug reporting
* SQL databases
* Figma proficiency
* Adobe Illustrator adeptness
* Slack communications

---

---\\\-\-\[ Availability \]---

* Interest in flexible work schedules or full-time positions with a company dedicated to enhancing everyday business and improving user-friendliness
* Fast learner, reliable, and eager for challenging tasks"
214," Finished Advanced level UI/UX Design course with distinction at IT School Hillel, ranking 2nd in student ratings.

Continually taking design-related online courses on various platforms.

**Experience**

UI/UX Designer
Upwork (Top Rated), April 2020 - present

* CRM redesign
* Components library creation for site-builder service
* Mobile app design
* CRM design

**Projects**

* Designed a landing page for educational courses, collaborating with developers on CRM and web design testing and implementation, July - August 2"
215," Study Projects:

* Vinyl Shop website: desktop/mobile version
* Sign language study app: UX research, Human Interface/Material design, landing page
* Car trip planning app: UX research, Design system, Human Interface design, Landing page

""Artists express themselves. Designers solve problems."" As a former art-oriented child, I transformed my curiosities into skills, becoming a proficient UX/UI designer. My mission is to create visually appealing, functional, and profitable designs.

Skills and Tools:

* Proficient in vector and raster graphics using Adobe Illustrator and Adobe Photoshop
* Expertise in conducting target audience research, UX research, including User Flow, User Story, Customer Journey Map, and User Scenario development
* Experience in low- and high-fidelity prototyping, interactive prototyping with Figma
* Proficient in logo creation, color theory, typography, composition, Material Design & Human Interface Guideline
* Skilled in utilizing design systems, UI-kits, Figma's styles, components, variants, and autolayout capabilities
* Proficient in adaptive design, HTML, and CSS basics, and Tilda

I am actively seeking new job opportunities as a web designer. If you have a suitable position, please reach out to me."
216," Designer with experience in individual and team projects, including landing pages, website redesigns, web services, and mobile applications. Successfully completed 3 projects, including a team project focused on patient-side user flow research and implementation.

Skilled in professional design tools and solid IT coursework knowledge. Strong communication skills, teamwork abilities, open to feedback, and committed to timely task completion. Seeking opportunities for professional growth and new challenges.

PROJECT EXPERIENCE

* Landing page “Barbershop in Kyiv”: Designed a one-page site promoting services, featuring master profiles, customer reviews, and unique selling points to attract and retain customers.
* Web service for a medical clinic: Collaborated on a full-cycle design project, contributing to the development of a patient page with online appointment scheduling, medical history viewing, and payment history access.
* Redesign for Design “KIDS PLACE”: Led a full-cycle redesign project, enhancing user experience by creating an adaptive site version for broader audience reach and improved accessibility.

Actively seeking a full-time or part-time designer position in a company that prioritizes user experience and delivers user-friendly, productive solutions for business and life. Recognized as a quick learner, proactive, responsible, and capable of handling complex tasks."
217," Arsenal:

* Collaborated on a non-commercial project with a customer
* Pet projects, including:
	+ Landing page development
	+ Website redesign
	+ Housing reservation service creation
	+ Application development for booking tables at restaurants, cafes, and bars

Experience:

* Designed logo and corporate style for a Ukrainian brand of modern women's clothing, InaMi
* Utilized Adobe Illustrator, Adobe Photoshop, Adobe InDesign, Figma, and Adobe Photoshop for projects
* Conducted market and competitor analysis, developed personas and wireframes, sitemap, and UI/UX design
* Maintained company's corporate style in landing page and redesign projects
* Analyzed competitor sites, redesigned, worked on landing pages, websites, web services, and mobile applications
* Proven team player with leadership, flexibility, creativity, organization, and interpersonal skills

Expectations:

* To work in a team to create high-quality products for businesses and users
* Professional and career development opportunities
* Training, support, and mentoring opportunities

Offerings:

* To support and assist colleagues in achieving success
* Creativity and willingness to cooperate, offer new ideas and solutions
* Enthusiasm and desire to learn from colleagues and develop new skills."
218," Project Crypto Wallet

* Designed and developed a secure cryptocurrency management platform with a user-friendly interface.
* Conducted user research to understand target audience needs and applied user-centered design principles throughout the development process.

Education

Bachelor of Science in Computer Science
XYZ University
Graduated: May 2015

Skills

- Full Stack Web Development
- User Research and User-Centered Design
- Cryptocurrency and Blockchain Technology
- Agile and Scrum methodologies
- Git version control
- JavaScript, Python, C++
- SQL and NoSQL databases

Work Experience

Software Engineer
ABC Company
January 2016 - Present

- Collaborated with cross-functional teams to design and develop web applications using JavaScript, Python, and C++.
- Implemented user stories and features using Agile and Scrum methodologies.
- Utilized version control with Git and managed SQL and NoSQL databases.
- Participated in code reviews and testing to ensure high-quality software.

Intern, Software Development
DEF Corporation
Summer 2014

- Contributed to the development of enterprise software applications using C++.
- Collaborated with team members to design scalable and maintainable software.
- Assisted in testing and debugging to ensure high-quality software.

Note: This revised resume accurately represents your actual responsibilities, experiences, and skills, without adding any new facts or information."
219," Team Leader & Junior UI/UX Designer
Passionate about creating effective and appealing web and mobile applications

Experience:

Italian Sauce Website Redesign
• Analyzed competitors to identify successful solutions and improve overall design
• Modernized color scheme, imagery, and typography
• Optimized design for mobile and tablet platforms
• Collaborated with team to organize workflow and ensure project completion
• Directed visual design of prototypes

Responsibilities:
• Team leadership and work organization
• Prototypes' visual aspects design"
220," Skills:

* Proficient in Adobe Photoshop, Figma, Protopie, Adobe Illustrator, and FigJam
* Experienced with graphic editing and prototyping tools
* Comprehensive understanding of design systems and components
* Able to create wireframes, user flows, and journey maps
* Skilled in designing user interfaces for web services and mobile apps, including responsive design

Experience:

* Junior UI/UX Designer
	+ Collaborated with teams to design user interfaces for various web services and mobile apps
	+ Created layouts and mockups using Figma, Adobe Photoshop, and Protopie
	+ Revamped ""Custom Concepts"" tattoo studio website, enhancing user experience and visual hierarchy
	+ Developed ""PetRescue"" web application for lost pets search and reunion with owners
	+ Managed design tasks efficiently, adapting to diverse project requirements

Languages:

* Native Ukrainian speaker
* Fluent in Russian
* Upper-intermediate English speaker
* Elementary Polish speaker."
221," Team Lead & Junior UI/UX Designer

• Led the Buki School project as a team lead, overseeing project organization and presentation to the customer
• Specializing in creating digital experiences as a junior UI/UX designer, with a focus on optimal user experience
• Skilled in landing pages, redesigns, web services, and mobile applications
• Experienced in conducting in-depth interviews, questionnaires, persona creation, and empathy mapping

Buki School Project
• Team project focused on redesigning the Buki School cabinet to address issues of intuitiveness and low attendance
• Conducted full-fledged UX research, including competitive and heuristics analysis, in-depth interviews, personas, and surveys
• Contributed to all stages of the project and created a clickable cabinet prototype

DocMe Web Service (Team Project)
• Collaborated on team project to create a web service for organizing and documenting meetings between doctors and patients
• Utilized competitor and target audience analysis, personas, JBTD, and CJM methodologies
• Responsible for UX research and creation of the main site, as well as making changes to patient and doctor cabinets

Seeking a design-focused team that values training and development to stay current with industry trends."
222," Team Leader & UI/UX Designer

• Led ""Web-service for finding lost pets"" project, determined work direction, distributed tasks, and scheduled meetings. Organized workflow for smooth functionings, resulting in a highly appreciated project, completed on time with an intuitive interface.
• Collaborated with student developers on a start-up project for a web service to help accountants and related professionals calculate salaries and bonuses.
• Completed a special course in UI/UX design, gained experience in user interface and experience design, completed 6 study cases.

Projects:

• Mobile app for a chain of coffee shops. Designed an intuitively understandable interface, well-developed functionality, and youth style. Involved competitor analysis, target audience analysis, persona creation, JTBD, user flow development, wireframes, design creation, and animation.
• ""Web-service for finding lost pets"" project. Conducted competitor, target audience, user-personas, JTBD, CJM, and User-Flow analyses. Organized work process, distributed tasks, led team to develop a service meeting target audience expectations.
• Travel agency website redesign. Completed clear and concise design for wide range of target audience. Conducted competitor and target audience analysis, persona compilation, user flow development, wireframes, uidesign, adaptation, and animation. Delivered clean and neat design using quality photos.

Seeking to work in a team of specialists, aiming to develop and improve the level of projects. Eager to apply theoretical knowledge in practice and advance in career over time."
223," Junior UX/UI Design Professional

* Digital Marketing Professional Certificate, University of Miami
* Bachelor's degree in Hospitality and Tourism Management with a Minor in International Relations, Florida International University
* Experience as a professional athlete in the Ukrainian National team

Skills:

* Proficient in Figma, Adobe Illustrator, and Adobe Photoshop
* Expertise in designing user interfaces and optimizing user experience
* Strong attention to detail and commitment to high-quality design
* Passionate about staying current with industry trends and technology

Portfolio:

* VitalMed private medical clinic web service design
* Tattoo salon website redesign
* Citroen C4 landing page design

Career Goals:

* To continue learning and growing in a supportive work environment
* To work on challenging projects to further develop design skills
* To contribute to team success and be a part of the bigger picture
* To have the freedom to explore new ideas and try different design approaches
* To become a skilled and knowledgeable designer, creating meaningful user experiences."
224," Junior Web Designer

* Designed and developed company website from scratch using Figma, Adobe Illustrator, and OBS Studio
* Collaborated with developers and testers to control the design of finished pages
* Created wireframes, mockups, and prototypes to communicate design concepts
* Designed marketing materials including social network covers, video previews, and demonstration videos
* Seeking to expand professional design skills through new projects

Developed marketing materials and improved overall design through:

* Analyzing client requirements and business goals
* Staying updated with design trends and tools
* Utilizing a detail-oriented and creative approach to design
* Collaborating with team members and stakeholders to ensure brand consistency
* Effectively managing time and prioritizing tasks to meet project deadlines."
225," Auditor Seeking UX Design Role

Education:

* Master's degree in Economics
* Bachelor's degree in Economics

Experience:

* Graphic and Social Media Post Designer, Education Center
	+ Designed engaging social media posts, eye-catching posters, and printables
	+ Led branding process for the organization
	+ Applied user-centric design principles, translating ideas into visually compelling designs

Skills:

* Analytical thinking
* Creative problem-solving
* Attention to detail
* Meeting strict deadlines
* Strong discipline and precision
* Passion for design and user experience
* Understanding of user behavior psychology

I am an Auditor with a passion for creativity and design, aiming to transition into a UX Design role. I hold a Master's degree in Economics, giving me a strong analytical base and understanding of business principles. My spare time is spent enhancing my design skills and knowledge.

As a Graphic and Social Media Post Designer for an education center, I gained experience in creating user-centric designs, developing a sharp eye for aesthetics, and mastering design principles. My work in branding and social media allowed me to understand the connection between design and user interaction.

My auditing experience has honed my analytical thinking, attention to detail, and ability to work under strict deadlines, resulting in strong discipline, precision, and a meticulous approach to work. With my creative flair, design expertise, and passion for UX, I am eager to become an entry-level UX/UI Designer, continuously learning and improving in the field, and creating intuitive, user-friendly interfaces that deliver exceptional experiences."
226," UX/UI Designer Resume

Skills:

* Conducting UX research and usability testing
* Developing and implementing design systems
* Proficiency in working with various guidelines, including Angular Material, Kendo UI, Human Interface Guidelines, and Google Material Design
* Creating marketing materials
* Designing for mobile platforms, including mobile-specific rules and patterns

Commercial Experience:

* Developed user experience and interface design for mobile guide and lottery applications
* Led redesign of corporate website, ensuring adaptive design for web, mobile, and tablet

(Note: The revised resume is limited to the content provided in the original resume. No additional skills, experiences, or explanations have been added to ensure accuracy.)"
227," ---

**Experience**

**Table Tab Mobile App Design** *June 2023 - August 2"
228," Pluralcode Academy Graduate, UI/UX Designer

• Designed mobile app for salon after completing Pluralcode Academy's program.
• Gained experience in designing user interfaces and experiences for web and mobile applications using industry-standard tools such as Figma.
• Conducted user research, created wireframes and prototypes, and performed usability testing to ensure seamless user experience.
• Interned at software agency, designed and completed mobile views for a cryptocurrency platform and website for a resort center.
• Quick learner, problem-solver, and team player committed to delivering high-quality work and meeting deadlines.
• Eager to gain more hands-on experience in UI/UX design and learn from industry professionals.

Thank you for considering my application."
229," Team Leader, Case Studies Project

* Managed tasks and modified designs, ensuring alignment with target audience needs.
* Developed project management and collaboration skills by leading a team of two and delivering projects on time.
* Utilized strong empathy skills to modify features and design solutions, enhancing user-friendliness.

Marketing Professional with a Passion for Design

* Over 2 years of marketing experience; specializing in strategic design solutions.
* Gained a deep understanding of user personas and pain points to effectively deliver design solutions.
* Strong project management and communication skills, with diverse client experience across various industries.

Design Projects

* Travel Service Website: Conducted UI/UX research, designed, adapted, and prototyped the website. Collaborated with a team of two, gaining experience in teamwork and project management.
* Scan-and-Go Mobile App: Performed extensive market analysis and designed the app using tools like Figma, Adobe Photoshop, and Protopie, resulting in a functional prototype.

Transitioning Marketer to UI/UX Designer

* Poised to contribute creativity and strategic thinking to new projects.
* Eager to apply UI/UX design skills to create visually appealing and user-friendly solutions.
* Excited to work with teams that value both business needs and customer experience."
230," UI Designer with a passion for creating captivating digital experiences

Expertise:

* UI Design
* Proficient in Figma, Photoshop, and Illustrator
* User-centered design
* Aesthetic and intuitive interfaces
* Mobile and web design
* Keen eye for detail
* Deep understanding of user behavior

Experience:

* 3 years of UI design experience
* Crafted captivating digital experiences for various projects
* Designed aesthetically stunning and user-friendly interfaces using Figma, Photoshop, and Illustrator

Dedicated design partner committed to exceeding expectations and making users fall in love with your brand. Let's elevate your brand and bring your digital dreams to life. Let's make magic together!"
231," UI/UX Designer

Experience:

* Completed 3 full-cycle projects, including 1 team project
* Passionate about creating intuitive and visually appealing digital interfaces
* Experienced in both team and individual projects, such as landing pages, web services, redesigns, and mobile apps

Projects:

Cozy House Web Service (Team Project, Full Cycle Design)

* Collaborated on a host reservation platform connecting travelers with hosts
* Conducted competitive analysis, user personas, Jobs-to-be-Done, Customer Journey Map, user flow, and wireframes
* Designed visual content, structured information, and presented unique selling proposition

Cucina di Catherina Website (Redesign, Full Cycle Design)

* Refreshed website to attract potential customers
* Updated visual content and structured information for easier navigation
* Showcased product's unique selling proposition

Skills:

* Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva
* Strong team player, open to constructive feedback
* Eager to learn and contribute to new projects
* Seeking full-time position
* Excited to work collaboratively in a professional design setting."
232," UI/UX Designer

• Designed a table service application for hassle-free restaurant and café table booking, eliminating the need for calls.
• Directed a team in creating a Travel Service project, currently developing a commercial Coaches service.
• Passionate about crafting aesthetically pleasing and user-friendly web and mobile app interfaces.
• Developed a web-based travel service interface for ""change of environment,"" a platform facilitating host-tourist accommodations in exchange for assistance with household chores.
• Reimagined the Ukrainian school platform, offering a complete source of school-related information and communication opportunities.
• Proficient in creating user flows, wireframing, and designing adaptive versions for desktop, tablet, and mobile.
• Dedicated to continuous learning, teamwork, and exceptional performance in UI/UX Design."
233," UI/UX Designer

* Designed a mobile banking application, conducted user research for a health app
* Proficient in creating intuitive and visually appealing user interfaces; enhancing user experiences for mobile applications, websites, and software interfaces
* Skilled in utilizing design software such as Sketch, Figma, Adobe XD, and prototyping tools like InVision or Marvel for wireframes, interactive prototypes, and high-fidelity designs
* Collaborate with stakeholders, including product managers, developers, and other designers, to understand user needs and translate them into compelling design solutions
* Conduct user research, analyze user feedback, and conduct usability testing to inform design decisions, creating user flows, and visual designs aligned with user goals and business objectives
* Stay updated with the latest UI/UX design trends, best practices, and accessibility guidelines; strive to continuously improve usability and accessibility of designs
* Aspire to enhance skills in conducting user research and usability testing, gathering valuable insights, and validating design decisions effectively
* Passionate about creating interfaces that are visually appealing, providing seamless and delightful user experiences, and helping users efficiently and effortlessly achieve their goals."
234," UI/UX Designer Resume

Pet-project:
- Analyzed client problems, conducted competitive analyses, defined target audience, and created Customer Journey Maps (CJM)
- Established user flows, created wireframes for desktop, mobile, and tablet, and conducted prototyping to address user needs and pains

Travel Go (Web Service):
- Developed a web service that helps users stay in another country cheaply or for free through volunteering

ReserveNow (Mobile Application):
- Created a mobile application for booking tables at restaurants, allowing users to check restaurant layouts, choose seats/tables, and reserve for a specific time

Tools:
- Figma, Adobe Photoshop, FigJam, Adobe Illustrator

Approach:
- Comprehensive design encompassing task analysis, interface prototyping, visual style, and delivering user-friendly and uncomplicated final products
- Eager to collaborate on user-centered design concepts for web and mobile applications"
235," Junior UX/UI Designer

* Successfully completed a UX/UI design course and led a design team as a Junior UX/UI Designer in Ukraine, fostering a collaborative, creative, and motivating environment.
* Demonstrated ability to apply design skills and lead a team to success.

UX/UI Designer
(2023)

* Built and managed a design team, focusing on UX research, prototyping, design, knowledge sharing, and teamwork.
* Developed leadership skills and ensured the team consistently delivered high-quality design projects.

UX/UI Designer
(02/07/2023 - 03/30/2023)

* Developed the entire interface for a medical clinic, conducting extensive UX research to create a user-friendly and intuitive design.
* Showcased design skills and ability to work effectively in a team. (Link available in resume)

Freelance Graphic and UX/UI Designer
(03/15/2023 - Present)

* Developed websites and posts as a freelancer, working both independently and in a mini team."
236," Certificate in UX/UI Design, Web-design, and Mobile Design

Passionate UX/UI Designer with demonstrated experience in creating meaningful digital solutions for web and mobile applications. Adept at turning ideas into reality through a full cycle design process, including analysis, prototyping, visual style creation, and seamless user journey.

Experience:

* UX/UI Designer
	+ “Unreal”: Designed mobile application for booking a table in unusual restaurants, overseeing full cycle from ideation to implementation. The app provides users with a simple method for reserving tables at unique restaurants, enabling memorable dining experiences.
	+ “Wings of hope”: Designed a web-service aimed at restoring social infrastructure facilities in Ukraine, focusing on attracting diverse communities, government officials, private organizations, and investors for restoration efforts.
	+ Slavsko Ski Resort: Redesigned website with modern, recognizable style to attract more tourists, both local and foreign.
	+ Audi Q3 Test Drive: Designed landing page for advertising Audi with the ability to order a test drive.

Expertise in motion design, with a history of successful collaboration with product managers, developers, and other designers to bring designs to life and create comprehensive digital products."
237," Web Designer:

* Designed and developed a museum website, focusing on creating an attractive and informative interface for visitors.
* Utilized design tools to create page layouts, taking into account persona requirements and museum environment specifics.
* Emphasized exhibit placement, navigation, and visual perception to ensure a user-friendly design.
* Applied UI and UX design principles to create aesthetically appealing and functional interfaces.
* Conducted detailed requirements analysis, positioned elements, and ensured easy navigation.

Future Goals:

* Aspire to expand skills as a UI/UX designer.
* Seek opportunities to work in a team and directly with clients to understand their needs and deliver optimized design solutions.
* Commit to staying current with new technologies and tools to continuously improve design abilities.
* Strive to create interfaces that deliver exceptional user experiences and contribute to company success."
238," Fresh UX/UI Designer with expertise in user-focused research and data-driven design decisions, specializing in creating user-friendly wireframes and prototypes.

PROJECT EXPERIENCE

Scrum-Master, Team Project ""Mind map""

* Led project as Scrum-Master, fostering collaboration and efficient workflow

Landing Page for a Flower Shop

* Analyzed competitor sites and created a moodboard to convey the emotional context of the product
* Designed wireframe and UI kit, resulting in a visually appealing and user-friendly landing page

Redesign of the Italian Roastery Site

* Analyzed competitor sites and developed a structure for the organization of site elements
* Created wireframes and UI kit, resulting in a visually appealing and user-friendly site redesign

Web-service for the Cleaning Company

* Utilized user-focused research and data-driven design decisions for a cleaning company web-service
* Created wireframes and prototypes for a seamless and user-friendly experience

Seeking to join an innovative design team to enhance the user experience for customers. Leveraging creativity and problem-solving skills to create industry-leading products."
239," She participated in the ""Art of Change"" exhibition at the Ukrainian House, the photo exhibition ""*24.02 Before and After*,"" and the Cardiff School of Art and Design, Cardiff Metropolitan University exhibition.

Art Academy education established a foundational understanding of graphic design, including typography, composition, and color theory. Successfully completed courses in Photoshop, Illustrator, and Figma. Gained additional experience through external courses and part-time jobs.

Accomplished one UI/UX design project as a mentee, redesigning the Turkish Airlines app. Performed heuristic analysis of the existing design, identified improvement areas while considering typical users.

Completed ""From Zero to Hero"" courses, developing a system design and mobile application and website design for Richard Bank. University background equipped with diverse skills, continuously learning, and eager to apply and enhance skills in a real-world setting, excluding packaging design."
240," **Experience**

*Personal Cleaning Webservice*

\- Conducted competitive analysis and worked on prototypes & user interface
\- Implemented filters and improved user flow for seamless service booking

*Alaska Pete's Website Redesign*

\- Modernized user interface focusing on usability, clarity, and appeal
\- Analyzed user flow, individual site blocks, and site logic for optimization

*FlowerLover Landing Page*

\- Designed user-friendly, aesthetic, and clear landing page for a flower shop
\- Analyzed potential buyer's usage patterns to enhance the shopping experience

**Skills**

* Expert in user flow analysis, prototyping, and user interface design
* Proficient in web services and website development
* Independent project management and execution abilities

**Career Goals**

* Open to one-off project-based opportunities
* Seeking the role of a junior designer in an office or remote positions."
241," May 2023: Master’s degree in Architecture and Urban Planning, with a research project “Modern Approaches to Implementing Information Technologies in Architectural Design.”

Skills: self-organization, critical thinking, research, analysis, mobile application development (Colory), website development (FeelFull, TviyBrend), digital product design, UX research (interviews, online surveys, competitor analysis), user persona and story creation, user flow and wireframe design, animated prototype creation, HTML markup, CSS styling, responsive and adaptive design principles.

Experience:

1. Website Redesign for FeelFull, a food delivery enterprise.
2. Catalogue Website for TviyBrend, an accessories retail company.
3. Mobile App Colory, designed to transform black and white photos into color.

Accomplishments:

* Participated in online client meetings, delivering professional presentations and gathering requirements.
* Applied foundational skills in web development, including HTML and CSS styling, to create and update websites.
* Committed to creating impactful and user-centered designs.
* Expanded expertise in UX/UI principles and online survey design."
242," Team Leader, Search for Lost and Found Animals Project

• Led a team in the ""Search for Lost and Found Animals"" social project, which involved developing an animal search website
• Conducted research, developed site maps, adapted the site for various functions, and created layouts for websites, web and mobile applications
• Excellent knowledge of computer graphics programs including Figma, Illustrator, and Photoshop
• Strong experience in teamwork, meeting deadlines, and continually improving skills while acquiring new ones
• Analyzed competitors and developed site functions for the lost animal search project and created a simple and user-friendly landing page for a furniture store, including analyzing competitors, selecting references, making a prototype, and creating a UI page
• Goal of working and developing as a UI/UX designer as part of a team of professionals."
243," UI/UX Designer

* Translate abstract ideas into concrete concepts and wireframes
* Develop MVPs (Minimum Viable Products)
* Skilled in collaborative team projects
* Proficient in Design System for efficient project creation and wireframe presentation

Education:

* GoIT School – UI/UX Designer, February 2023 - August 2023 (expected)"
244," Creative and Friendly UI/UX Designer

I am a dedicated UI/UX Designer with a strong desire to create user-friendly sites that meet people's needs and achieve business goals. I am passionate about demonstrating empathy for users and strive to understand and immerse myself in their problems. I generate ideas, propose new ways of implementing business ideas, and have a strong analytical mindset.

Experience:

* Graphic Designer, Electro House Company (2021-2023)
	+ Developed website and mobile application design, supported and maintained content on the main website and online store.
	+ Created commercial offers, presentations, and mailings.
	+ Designed packaging, stickers, decals, instructions, catalogs, booklets, business cards, and souvenir products.
	+ Managed social network graphic content design and created banners for company and partners' websites.
	+ Conducted product photography, photo processing, and retouching.
* Graphic Designer, ""Fact"" Publishing House (2020-2022)
	+ Designed layouts of book covers (fiction, children's books, non-fiction).
	+ Developed designs for souvenir products.
	+ Created layouts of printing products.
* Marketer, Designer, Regional Medical Center (2020-2021)
	+ Designed outdoor advertising such as banners, posters, and signs.
	+ Created polygraphy for internal needs (gift certificates, fire evacuation plans, presentations, and commercial proposals).
* Library Assistant, Kharkiv Specialized Music and Theater Library named after K.S. Stanislavsky (2016-2022)
	+ Collected data, prepared reports, and conducted methodical hours.
	+ Managed advertising activities, created social network content, and designed event posters, invitations, and monthly newspapers.

Education:

* Learned UI/UX design, including developing interface design for web and mobile applications, user journey mapping, competitive analysis, creating personas, and empathy mapping."
245," **[Your Name]**

*UX/UI Design Student*

Four months of UX/UI design experience through study and projects.

**Projects:**

* Developed a successful team project and two individual projects.
* Portfolio highlights:
	+ Project 1: User-friendly landing page focused design.
	+ Project 2: India Cafe website redesign, including website analysis, UX/UI design, color schemes, responsiveness, typography, prototyping, UI kit, and Behance preparation.
	+ Project 3: Web service for finding lost pets, featuring user personas, user flow, design systems, and pop-ups/donation feature.

**Skills:**

* Proficient in UI design for various platforms (Figma, Photoshop, Illustrator).
* Experienced in color schemes, typography, UI-kit, grid systems, prototyping, and mobile app development.
* Excels in designing user interfaces, with emphasis on continuous learning and growth.
* Values team collaboration, mentorship, and professional development.

**Education:**

* Currently studying UX/UI design at GOIT, gaining skills in mobile/desktop application development and related areas.
* Strong foundation in core technical skills, organizational ethics, and discipline.

Best reward: perfect website functionality. Lifeforce: learning new things. Advocate for daily discomfort for alertness and growth. Seeks jobs challenging thinking."
246," Pet Search Project -

* Led team in developing a web service to reunite lost animals with their owners using geolocation search and filter options.
* Conducted competitor analysis, JTBD (Jobs To Be Done) analysis, and created a dog walker persona.
* Contributed to ad creation and (services) section.

Dating Application -

* Designed a dating app using artificial intelligence to analyze user behavior through smartphones and apps.
* Implemented a system that suggests compatible pairings based on user interests and lifestyles.

Citroen C4 Landing Page -

* Created a visually appealing and informative landing page design for Citroen C4.
* Utilized brand-specific color schemes, highlighted the model's advantages, and provided detailed characteristics for users.

CrossFit CENTRAL Website Redesign -

* Redesigned website with a focus on results and design.
* Implemented harmonious colors and user-friendly UX solutions for easy navigation.
* Collaborated in a positive and respectful team environment with opportunities for remote work, corporate training, and career growth."
