,Modified_openai/gpt-4o_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelopenai/gpt-4o
223,"Junior UX/UI Design Professional

Summary:
Dynamic and detail-oriented UX/UI Design Professional with a Digital Marketing Professional Certificate from the University of Miami and a Bachelor's degree in Hospitality and Tourism Management, with a Minor in International Relations from Florida International University. Former professional athlete on the Ukrainian National team, now channeling dedication and focus into digital marketing and UX/UI design. Specializes in creating intuitive user interfaces that enhance user experience and drive results, demonstrated by a portfolio featuring projects for VitalMed, a tattoo salon website, and a Citroen C4 landing page.

Key Skills:
- UX/UI Design: Crafting user-centric interfaces that optimize user engagement and satisfaction.
- Graphic Design: Proficient in Figma, Adobe Illustrator, and Adobe Photoshop with a reputation for creativity and precision.
- Digital Marketing: Strong foundation in digital marketing strategies and their integration into design projects.
- Problem Solving: Adept at tackling design challenges with innovative solutions and strategic thinking.
- Research: Committed to thorough research to inform design processes and improve outcomes.

Experience:
- Developed UX/UI designs for diverse projects including healthcare, retail, and automotive sectors, ensuring high standards and attention to detail.
- Collaborated effectively in team settings to deliver design solutions that align with user needs and business objectives.

Education:
- Digital Marketing Professional Certificate, University of Miami
- Bachelor's Degree in Hospitality and Tourism Management, Minor in International Relations, Florida International University

Professional Development:
- Projects for VitalMed, tattoo salon website, and Citroen C4 landing page, showcasing creative thinking and user-driven design approaches.

Objective:
Eager to engage in challenging projects that foster skill development in problem-solving, research, and creative thinking. Aims to create meaningful user experiences and contribute to team success through innovative design strategies."
224,"Junior Web Designer

Professional Summary:
Creative and detail-oriented Junior Web Designer with a proven track record of designing web pages, graphics, and visual elements for a company specializing in warehousing software. Skilled in translating ideas into wireframes, mockups, and prototypes, with a strong ability to collaborate with developers and testers to deliver high-quality results. Proficient in using tools such as Figma, Adobe Illustrator, and OBS Studio for design and content creation.

Experience:

Web Designer
- Created and designed the company website from the ground up, focusing on user experience and brand consistency.
- Maintained design control over completed web pages, ensuring alignment with the company’s visual and functional standards.
- Collaborated closely with a team of developers and testers to refine and implement design concepts.
- Developed wireframes, mockups, and interactive prototypes to effectively communicate design ideas.
- Designed various marketing materials, including social media covers, video previews, and YouTube video graphics.
- Recorded and edited YouTube videos demonstrating the functionalities of the company's software product.

Skills:
- Web and Graphic Design
- Wireframing and Prototyping
- Team Collaboration
- Marketing Material Design
- Content Creation and Video Editing
- Proficient with Figma, Adobe Illustrator, OBS Studio

Seeking new projects to further enhance my design skills and contribute to dynamic creative teams."
225,"Summary:

Detail-oriented professional with a background in Economics and a passion for transitioning into UX design. Experienced in graphic and social media post design with a strong analytical skill set. Committed to developing user-friendly interfaces and enhancing user experiences.

Education:

Bachelor's and Master's Degrees in Economics

Experience:

Graphic and Social Media Post Designer - Education Center
- Designed engaging social media content, posters, and printables
- Led branding initiatives for the organization
- Cultivated a strong sense for aesthetics and user-centric design principles

Skills:

- Analytical thinking
- Attention to detail
- Creative problem-solving
- Strong discipline and precision
- Expertise in user-centric design

Objective:

Pursuing an entry-level UX/UI design position to grow, improve, and contribute to team success."
226,"**Resume**

**[Your Name]**  
[Your Address]  
[Your Phone Number]  
[Your Email]  

---

**Professional Summary**

Dedicated and versatile UI/UX Designer with comprehensive experience in UX research, design systems creation, and marketing materials development. Proficient in mobile and adaptive design across various domains. Strong collaborator with experience in design analysis, user research, and creating efficient design solutions.

---

**Skills**

- UX Research
- Design Systems Creation
- Adaptive and Mobile Design
- Marketing Materials Development
- Visual Design for Social Media
- User Research and Competitor Analysis
- Information Architecture and Prototyping
- Wireframing and Mockups
- Communication with Clients and Developers
- Style Guide Development

---

**Work Experience**

**UI/UX Designer**  
[Your Company Name], [Location] | [Month, Year] - Present

- Conducted design analysis of existing screens to identify areas for enhancement.
- Developed comprehensive design systems using the Design Thinking process.
- Created engaging marketing materials and visuals for social media platforms.
- Designed adaptive interfaces for mobile applications, including guide and lottery apps.
- Led the redesign of corporate website, ensuring adaptability across web, mobile, and tablets.
- Produced insightful case studies and Behance presentations.

---

**Projects**

- **Mobile Applications**: Led design efforts for guide and lottery mobile apps.
- **Corporate Website Redesign**: Spearheaded the redesign process for a corporate website, focusing on web, mobile, and tablet adaptations.

---

**Technical Skills**

- Angular Material
- Kendo UI
- Human Interface Guidelines
- Google Material Design (Learning Phase)

---

**Additional Experience**

- Conducting User Research and Competitor Investigations
- Facilitating Brainstorming Sessions
- Building Scalable Style Guides
- Developing Information Architecture Frameworks
- Crafting Wireframes and Prototypes for Client Review

---

**Education**

[Bachelor's/Master's Degree in Design or Related Field]  
[Your University Name], [Location]  
[Year of Graduation]

---

**References**

Available upon request."
227,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Objective**  
Dedicated User Interface Designer with a strong foundation in design principles and a commitment to continuous learning and innovation. Eager to enhance design skills and contribute to impactful projects prioritizing user-centric design.

---

**Professional Experience**  

*Collaboration with Cross-Functional Teams*  
Successfully collaborated with cross-functional teams to create intuitive and visually appealing user interfaces for web and mobile applications. Demonstrated a keen eye for detail, strong problem-solving skills, and a passion for delivering exceptional user experiences.

---

**Projects**  

**Table Tab Mobile App Design**  
*Jun 2023 - Aug 2023*  
- Conducted reference research and updated wireframes.  
- Compared and selected design systems.  
- Prototyped UI screens for a restaurant seat booking app.  
- Developed a UI option for rewards to enhance user experience.

**Host Radar Project Design**  
*Apr 2023 - Jun 2023*  
- Conducted market and competitor analysis, and gathered references.  
- Prepared wireframes and animated prototypes.  
- Finalized UI for a web service connecting visitors with hosts for accommodation and services.

**Mainsal Realty Company Redesign**  
*Feb 2023 - Apr 2023*  
- Redesigned a real estate company website to be modern and user-friendly.  
- Conducted research and compared competitors.  
- Improved website to be competitive in the US market, enhancing user experience.

---

**Skills**  
- User Experience (UX) Design  
- User Interface (UI) Design  
- Wireframing and Prototyping  
- Market and Competitor Analysis  
- Design Systems Comparison and Selection  
- Problem Solving

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

---

**References**  
Available upon request."
228,"Plural Code Academy graduate with practical experience in UI/UX design for web and mobile applications using Figma. Proficient in user research, wireframing, prototyping, and usability testing.

Currently an intern at a software agency, tasked with designing and implementing websites and mobile views for a cryptocurrency platform and a resort center.

Eager to expand UI/UX design expertise and collaborate with seasoned professionals. Quick learner and problem-solver, committed to producing high-quality work and adhering to deadlines. Dedicated team player ready to invest the time and effort necessary to successfully complete projects."
229,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

**Professional Summary**  
Creative and strategic marketing professional with over two years of experience, skilled in project management, team collaboration, and empathy-driven solutions. Adept in designing and delivering visually appealing and strategic solutions across diverse industries, with a strong focus on user personas and pain points.

**Experience**  

**Marketing Professional**  
- Developed strong project management and communication skills by working with a diverse range of clients across various industries.
- Delivered visually appealing design solutions that effectively met client needs and goals.
- Played a key role in understanding user personas to address pain points and deliver effective design solutions.

**Notable Projects**  
- Conducted UI/UX research, design, adaptation, and prototyping for a travel service website aimed at connecting global users.
- Collaborated on a Scan-and-Go mobile app project, optimizing user experience by simplifying the shopping process through regular user pattern analysis.

**Technical Skills**  
- Proficient in design tools including Figma, Adobe Photoshop, and Protopie to create functional prototypes and complete projects.
- Strong abilities in project management and communication to facilitate client and team interactions.

**Education**  
[Your Degree]  
[Your University], [Graduation Year]

**Skills**  
- Project Management
- Team Collaboration
- Empathy in Design
- UI/UX Research and Design
- User-Centered Design
- Adobe Photoshop
- Figma
- Protopie

**Objective**  
Eager to apply my expertise in UI/UX design to create visually appealing solutions that meet end-user needs, leveraging creativity and strategic thinking to contribute to new and impactful projects."
230,"UI Designer with 3 years of experience specializing in Figma, Photoshop, and Illustrator. Committed to creating captivating digital experiences that meet and exceed client expectations. Proficient in designing aesthetically stunning and user-friendly interfaces for both web and mobile platforms. Dedicated to translating client visions into reality and enhancing user engagement with the brand."
231,"Responsibilities:

- Completed three full-cycle projects, including a team project, focusing on creating intuitive and visually appealing digital interfaces to enhance user experience.
- Experienced in developing a range of projects, including landing pages, web services, redesigns, and mobile apps, utilizing tools such as Figma, Adobe Photoshop, Adobe Illustrator, and Canva.

Key Projects:

Cozy House Web Service:
- Participated in a team project involving full-cycle design.
- Engaged in all stages of design, including competitive analysis, user personas, job stories, customer journey mapping, user flow, wireframes, visual design, and adaptation.
- Developed a platform for host reservations, connecting travelers with hosts for safe and affordable accommodations.

Cucina di Catherina Website:
- Led the redesign through full-cycle design to update the website’s visual content.
- Restructured information architecture for improved navigation and emphasized the unique selling proposition, enhancing user experience and attracting potential customers.

Career Objective:

Seeking a full-time position that allows for collaboration with a team and openness to constructive feedback. Committed to learning from seasoned designers and contributing a unique perspective to projects."
232,"**[Your Name]**

**[Your Address] | [City, State, Zip] | [Your Phone Number] | [Your Email] | [LinkedIn Profile]**

---

**Objective**  
A passionate and dedicated UI/UX Designer seeking growth opportunities through engaging projects. Committed to excellence in creating visually appealing and user-centric designs for web and mobile applications.

---

**Professional Experience**

**Team Lead | Travel Service Project**  
- Led the team in developing a web interface for the ""Change of Environment"" platform, facilitating hosts in offering tourists accommodation in exchange for household assistance.
- Responsibilities included designing user flows, wireframing, and creating adaptive designs to enhance user experience for both hosts and tourists.

**UI/UX Designer | Commercial Coaches Service**  
- Currently working on improving the user interface and user experience of commercial Coaches services.

**UI/UX Designer**  
- Focus on bringing concepts to life by designing solutions that balance aesthetic appeal with functionality.
- Redesigned a comprehensive platform for Ukrainian schools, incorporating all necessary information and contact details. Delivered wireframes and adaptive versions for desktop, tablet, and mobile devices.

---

**Pet Projects**

**Booking Table Service Application**  
- Developed a user-friendly application enabling users to book tables at restaurants and cafes without making calls, offering flexibility in selecting available seating options.

---

**Skills**

- Expertise in UI/UX design for web and mobile applications
- Proficient in creating user flows, wireframes, and adaptive designs
- Strong collaboration and leadership abilities in team environments
- Commitment to continuous professional growth and skill development

---

**Education**  
[Your Degree] in [Your Major]  
[Your University], [Location]  
[Graduation Date]

---

**Additional Information**

- Dedicated to delivering high-quality design solutions tailored to meet target audience needs
- Strong believer in collaboration and team excellence

**References available upon request**"
233,"Experienced UI/UX Designer dedicated to developing intuitive and visually striking user interfaces. Proficient in design tools such as Sketch, Figma, Adobe XD, InVision, and Marvel for crafting wireframes, interactive prototypes, and high-fidelity designs. Collaborates closely with stakeholders to discern user needs and convert them into compelling design solutions. Engages in user research, analyzes feedback, and conducts usability testing to drive informed design decisions. Actively enhances the usability and accessibility of designs by keeping abreast of the latest design trends and best practices. Committed to advancing expertise in user research and usability testing to substantiate design choices effectively. Passionate about designing interfaces that deliver seamless and delightful user experiences, enabling users to achieve their goals efficiently."
234,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Phone Number]  
[Email Address]  
[LinkedIn Profile]  

---

**UI/UX Designer**

As a dedicated UI/UX designer, I focus on addressing client challenges by conducting in-depth competitive analysis and defining target audiences. I excel in creating customer journey maps, defining user flows, and developing wireframes, alongside crafting mobile and tablet adaptations to enhance user experience. My process includes prototyping to effectively address user needs, ensuring seamless interaction with digital products.

**Professional Experience**

- **Pet Projects**
  - Led the web service project ""Travel Go,"" enabling affordable or free accommodations abroad through volunteering opportunities.
  - Developed the mobile application ""ReserveNow,"" designed for restaurant table bookings, which features restaurant layouts, seat selection, and table reservations for an enhanced dining experience.

**Skills**

- Proficient in design tools including Figma, Adobe Photoshop, FigJam, and Adobe Illustrator.
- Experienced in a holistic design process, encompassing task analysis, interface prototyping, visual style development, and the delivery of user-friendly products.
- Passionate about collaborating on user-centered design concepts tailored for both web and mobile applications.

**Education**

- [Your Degree] in [Your Field]  
  [Your University], [Location]  
  [Graduation Year]  

---

**Portfolio**  
[Link to your portfolio and/or personal website]  

**References**  
Available upon request."
235,"**[Your Name]**

[Your Address]

[City, ZIP Code]

[Email Address]

[Phone Number]

---

**Professional Summary**

Dynamic and motivated UX/UI Designer with a strong foundation in UX research, prototyping, and interface design. Proven leadership and collaboration skills, with experience building and managing design teams to consistently deliver high-quality design projects. Adept at crafting user-friendly interfaces that align with business and user needs.

---

**Experience**

**Junior UX/UI Designer | Ukraine**

- Led the creation and management of a design team, fostering a collaborative, creative, and motivating environment.
- Encouraged the exchange of ideas and skill development, leading to the production of innovative design solutions.
- Applied UX/UI design knowledge to enhance team performance and deliver successful project outcomes.

**UX/UI Designer | 2022-2023**

- Formed and managed a design team, focusing on UX research, prototyping, and knowledge sharing.
- Enhanced leadership capabilities, ensuring the team achieved consistently high-quality design results.
- Actively contributed to team efforts in delivering successful UX/UI design projects.

**UX/UI Designer | 07.02 - 30.03, 2023**

- Developed the complete interface for a medical clinic, conducting comprehensive UX research for a user-friendly outcome.
- Executed design strategies that met the needs of both the clinic and its users, demonstrating effective team collaboration.
- For detailed project insights, please refer to the link provided in my portfolio.

**Freelance Graphic and UX/UI Designer | 03/15/23**

- Specialized in website and post development for clients.
- Worked effectively both independently and within mini-teams to deliver tailored design solutions.

---

**Education**

- Completed UX/UI Design Course, applying theoretical knowledge to practical scenarios in team settings.

---

**Skills**

- UX Research
- Prototyping
- Interface Design
- Team Leadership
- Collaboration and Communication

---

**Portfolio**

Please visit my portfolio at [insert link] for examples of my design work and further project details."
236,"**[Your Name]**

**[Your Contact Information]**

---

**Objective**

Creative and dedicated UX/UI Designer with a passion for crafting meaningful digital experiences. Committed to solving problems and simplifying user interactions across web and mobile platforms.

---

**Education**

Certificate in UX/UI Design  
Successfully completed an 8-month course covering Web Design, Mobile Design, and UX/UI Design principles.

---

**Professional Summary**

Experienced UX/UI Designer with a robust understanding of full-cycle design processes, from task analysis and prototyping to visual styling aligned with brand identities. Strong background in motion design enriches my skill set, allowing for dynamic and engaging user experiences. Proven track record of delivering projects that enhance user satisfaction and drive business success.

---

**Key Skills**

- UX/UI Design
- Web & Mobile Application Design
- Full-Cycle Design Process
- Task Analysis & Prototyping
- Visual Styling & Branding
- Motion Design

---

**Notable Projects**

- **""Unreal"" Mobile Application**: Designed a mobile app for booking tables at unique dining venues, focusing on user-friendly navigation and an engaging interface.
  
- **""Wings of Hope"" Web Service**: Developed a web platform for the restoration of social infrastructure in Ukraine, prioritizing a seamless user experience and clear information architecture.

- **Slavsko Ski Resort Website Redesign**: Enhanced the digital presence of a popular ski resort with a modern, intuitive design that improved user engagement.

- **Audi Q3 Test Drive Landing Page**: Created an attractive and informative landing page, effectively showcasing product features and optimizing user conversion.

---

**Career Objective**

Eager to join a dynamic team where I can collaborate with product managers, developers, and fellow designers to bring innovative design concepts to fruition and enhance comprehensive digital products.

---

**References**

Available upon request

---

**[Optional: LinkedIn Profile or Portfolio URL]**"
237,"Web Designer

Experience in developing multiple personal projects, including designing an engaging and informative website for museums to enhance visitor interaction.

- Designed page layouts using various design tools, taking into account persona requirements and museum-specific environments.
- Focused on exhibit placement, intuitive navigation, and visual perception to optimize user experience.
- Leveraged UI and UX design principles to craft interfaces that are both aesthetically pleasing and functional.
- Performed comprehensive requirements analysis to strategically position elements and facilitate effortless user navigation.

Career Objective
Aspiring to advance as a UI/UX designer, collaborate effectively with teams, and engage closely with clients to understand their needs and deliver creative design solutions.

Professional Development
Dedicated to acquiring new technologies and tools to refine design skills and improve future projects.

Goal
Driven to create impactful user interfaces that support companies in achieving their goals."
238,"PROJECT EXPERIENCE

Landing Page Development for Flower Shop

- Conceptualized and executed the design of a landing page to promote a bouquet delivery service for a flower shop.
- Conducted competitor analysis to inform design choices and strategy.
- Developed a moodboard to effectively communicate the intended product emotions.
- Designed wireframes and a comprehensive UI kit to ensure consistency and visual appeal.
- Built and implemented the landing page to enhance user engagement.

Website Redesign for Italian Roastery ""Il Griso""

- Led the redesign of the ""Il Griso"" roastery website to enhance its visual appeal and improve user experience.
- Performed competitor analysis to identify areas for improvement and differentiation.
- Structured site elements strategically to optimize functionality and aesthetics.
- Designed wireframes and a UI kit to streamline the design process and maintain brand coherence.
- Conducted prototyping and adapted design elements for selected pages to ensure optimal performance."
239,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Phone Number]  
[Email Address]  
[LinkedIn Profile]  

**Objective**  
Aspiring graphic and UI/UX designer seeking opportunities to apply foundational knowledge and experience in a professional environment, with a focus on enhancing user experience and design functionality.

**Education**  
Art Academy  
- Gained foundational knowledge in graphic design, focusing on fonts, composition, and color science  
- Completed coursework in Photoshop, Illustrator, and Figma  

**Professional Experience**

**Exhibitions**  
- Participated in various exhibitions, including:  
  - *The Art of Change* at the Ukrainian House  
  - *24.02 Before and After* photo exhibition  
  - CARDIFF SCHOOL OF ART AND DESIGN CARDIFF METROPOLITAN UNIVERSITY exhibition  

**UI/UX Design Projects**  
- Turkish Airlines App Redesign  
  - Conducted heuristic analysis and implemented improvements under mentor supervision  
  - Focused on enhancing user experience for regular users  

**System and Application Design**  
- Richard Bank  
  - Developed system design, mobile application, and website design through zero to hero courses  

**Skills**  
- Graphic Design: Proficient in Photoshop, Illustrator, and Figma  
- UI/UX Design: Experienced in heuristic analysis and user experience improvements  
- Strong understanding of fonts, composition, and color science  

**Additional Information**  
- Interested in opportunities focused on UI/UX and graphic design  
- Not pursuing packaging design  "
240,"**[Your Name]**

**[Your Address]**  
**[City, State, Zip]**  
**[Email Address]**  
**[Phone Number]**

---

**Objective**

Aspiring design professional looking for one-off design projects and junior designer positions, with the ability to work in both office and remote environments.

---

**Professional Experience**

**CloudyClean Webservice**  
- Conducted comprehensive competitor and user flow analysis to enhance user experience.  
- Developed prototypes and user interface designs for the cleaning service website.

**Alaska Pete's Website Redesign**  
- Analyzed user flow, site blocks, and site logic to bring a modern look and improved user experience to the website.

**Landing Page for FlowerLover**  
- Designed an aesthetically pleasing and user-friendly landing page for a flower shop.  
- Analyzed user behavior to optimize design for potential customer engagement.

---

**Skills**

- Proficient in conducting competitor analysis and user flow assessments.
- Skilled in prototype development and user interface design.
- Ability to create visually appealing and intuitive web designs.

---

**Team Experience**

- Experienced in collaborative team environments, contributing to projects and working harmoniously with team members.

---

**Education**

[Your Educational Background]

---

**References**

Available upon request."
241,"Master's Degree in Architecture and Urban Planning (May 2023)  
- Research Project: ""Modern Approaches to Implementing Information Technologies in Architectural Design""

Skills:  
- Self-organization, critical thinking, research, and analysis  
- Proficient in UX research, user personas and stories, designing user flows, wireframes, and animated prototypes  
- Knowledgeable in HTML, CSS, responsive and adaptive design principles  

Experience:  
- Website Redesign: FeelFull  
- Catalog Website Creation: TviyBrend  
- Mobile App Development: Colory  

Education:  
- Completed courses on creating mobile applications and websites  

Career Objective:  
- Seeking to further expertise in UX/UI principles through practical experience."
242,"Team Leader, Search for Lost and Found Animals Project

Participant in a social initiative focused on the development of an animal search website.

Key Responsibilities:
- Conducted research to support project goals.
- Met strict project deadlines consistently.
- Utilized computer graphics programs including Figma, Illustrator, and Photoshop for design tasks.
- Collaborated effectively within a team setting.

Key Achievements:
- Developed layouts for various websites and applications.
- Analyzed competitors to improve project outcomes.
- Created site maps and functional adaptations for the animal search initiative.

Additional Projects:
- Designed a user-friendly landing page for a furniture store, focusing on user experience and accessibility.

Professional Development:
- Actively pursuing new skills and knowledge to advance expertise as a UI/UX Designer, with a strong dedication to continuous learning and improvement."
243,"Experience

- Designed user-friendly interfaces for websites and mobile applications.
- Developed diverse projects including landing pages, web services, and mobile applications.
- Enhanced a kindergarten's website to optimize user experience and functionality.
- Built a web service to efficiently connect users with cleaning service providers.
- Collaborated with a team to design a mobile app offering an online shopping platform with home delivery service.

Skills

- Translate abstract ideas into clear concepts and wireframes.
- Proficient in developing Minimum Viable Products (MVP).
- Efficiently utilize design systems to streamline project workflow and present wireframes.
- Strong collaborator with extensive experience in team-based projects.

Education

- UI/UX Designer Course, GoIT School (February 2023 - August 2023)"
244,"**[Your Name]**
[Your Address]
[City, State, ZIP Code]
[Your Phone Number]
[Your Email Address]
[LinkedIn Profile]

---

**Profile**

Creative and empathetic UI/UX designer with extensive experience in graphic design and marketing. Passionate about creating user-centric solutions with a strong understanding of user behavior and business goals. Proficient in designing websites and mobile applications, developing content, and creating marketing materials. Seeking a position in a collaborative, innovative environment.

---

**Experience**

**Graphic Designer**  
Electro House Company  
- Developed website and mobile application design; maintained main website and online store content.  
- Created commercial offers, presentations, and print materials.  
- Managed social media graphics and product photography.

**Graphic Designer (Project-Based)**  
""Fact"" Publishing House  
- Designed book covers, souvenir products, and print layouts for various projects.

**Marketer and Designer**  
Regional Medical Center  
- Created designs for outdoor advertising; prepared layouts for printing.  
- Designed internal materials including gift certificates and presentations.

**Data and Marketing Specialist**  
Kharkiv Specialized Music and Theater Library  
- Managed data collection and reporting, social media advertising, and event promotion.  
- Developed graphic materials and layouts for marketing campaigns.

---

**Certifications**

- Completed UI/UX Design courses with training in interface design, user journey mapping, competitor analysis, and persona development.

---

**Skills**

- UI/UX Design  
- Graphic Design  
- User-Centric Solutions  
- Content Creation  
- Marketing Materials Development  
- Social Media Management  
- Print Layouts

---

**Education**

[List of Degrees, Institutions, Graduation Dates, if applicable]"
245,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  

---

**Objective**  
Aspiring UX/UI designer with strong foundations in technical skills, organizational ethics, and discipline. Currently expanding expertise in UI/UX design with a focus on creating user-centric digital solutions.

**Education**  
GOIT  
UI/UX Design Courses  
[Month, Year] - Present  
- Gaining skills in developing mobile and desktop applications.  

**Projects**  

**1. Landing Page**  
- Conducted comprehensive competitor research.  
- Developed mood board and implemented UX/UI design for a seamless user experience.  

**2. India Cafe Website Redesign**  
- Performed thorough website analysis and executed UX/UI design improvements.  
- Enhanced color schemes, responsiveness, typography, and prototyping.  
- Created a UI kit and prepared the project for Behance showcase.  

**3. Lost Pets Web Service**  
- Analyzed competitor web services and developed user personas and user flow.  
- Designed comprehensive systems and UX, including features such as pop-ups and a donation function.  

**Technical Skills**  
- UX/UI Design  
- Adobe Creative Suite (Adobe Photoshop, Adobe Illustrator)  
- Figma  
- Competitor Research  
- User Personas  
- Design Systems  
- Prototyping  
- UI Design for Various Platforms  
- Mobile App Development  
- Color Schemes and Typography  
- Grid Systems  

**Professional Growth**  
- Prioritizing education and mentorship to drive proficiency.  
- Active participation in projects for hands-on experience.  
- Collaborative team engagement to enhance creative solutions.  
- Committed to continuous professional development.  

**Key Attributes**  
- Core Technical Skills  
- Organizational Ethics  
- Discipline  

--- 

[Note: Replace placeholders with actual contact details and update education timeframe as necessary.]"
246,"**Resume**

**Projects**

1. **Pet Search Project**  
   Team Project: Collaborated on developing a web service to reunite lost pets with their owners. Utilized geolocation search and filtering features for precise search functionality. Designed sections to find dog sitters and walkers. Led competitor analysis, crafted JTBD and dog walker persona, and managed the ad creation and services sections.

2. **AI-Based Dating App**  
   Developed an artificial intelligence-driven dating application. Focused on analyzing user behavior via smartphone and app data to suggest compatible match pairings.

3. **Citroen C4 Landing Page**  
   Designed a landing page for the Citroen C4, highlighting brand-specific color schemes and showcasing model advantages. Provided detailed information on the vehicle's characteristics to enhance user engagement.

4. **CrossFit CENTRAL Website Redesign**  
   Redesigned the CrossFit CENTRAL website with a refreshed visual design. Selected complementary colors aligned with the brand's direction and integrated UX solutions to improve site navigation and user experience."
247,"**[Your Name]**  
[Your Address]  
[Your City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Professional Summary**  
Innovative and passionate student with hands-on experience in developing creative technological solutions. Currently advancing skills in UX design through a Google course, while actively building a portfolio and seeking internship opportunities to gain industry experience.

---

**Project Experience**  

- **Hackathon on Gender Inequality**  
  - Participated in a hackathon addressing gender inequality and the underrepresentation of girls in engineering specialties.
  - Developed the winning concept for a chat-bot designed to guide users in selecting engineering and biological specialties.
  - Initiated design and development of the chat-bot in an ""online girlfriend"" mode to enhance user interaction.

- **Academic Project: Hospital Workstation Automation**  
  - Created databases for an automated workstation in a hospital setting as part of a course project.
  - Utilized SQL Management Studio and Visual Studio, applying C# programming language to effectively design the solution.

---

**Education**  

_Ongoing_  
- **UX Design**  
  - Enrolled in a comprehensive Google course to enhance skills in user experience design.

---

**Skills**  
- Proficient in SQL Management Studio and Visual Studio
- Competent in C# programming language
- Strong interest in UX design
- Effective problem-solving and innovative thinking
- Collaborative team participant in hackathons

---

**Goal**  
Eager to contribute to a team in an internship position, applying technical skills and gaining further proficiency in the field of UX design and software development."
248,"Dedicated and conscientious worker with excellent interpersonal skills. Capable of working efficiently in a team setting and open to constructive criticism.

Strong foundation in web design acquired during studies, with knowledge in moodboards, grids, typography, UI-kits, and adaptation. Developed a website for selling apartments and collaborated on creating a web service, honing skills in user-flow and smart-animate. Experience in developing a mobile application.

Specializing in UI/UX design for web and mobile applications, excelling in the full design cycle from task analysis to prototyping, visual style creation, and implementation. Focused on delivering user-friendly products that drive success and profitability.

Key Principles:
- Results-driven with a focus on design
- Emphasis on collaboration in a positive, respectful team environment
- Ability to work partially remotely
- Commitment to ongoing training and professional development
- Interested in career advancement opportunities

Let's work together to create impactful and successful designs."
249,"---

**[Your Name]**

[Your Address] \
[City, State, Zip] \
[Phone Number] \
[Email Address] \
[LinkedIn Profile] (if applicable)

---

**Objective:**

Passionate UX/UI Designer eager to join impactful projects, offering innovative interface solutions and committed to continuous learning and growth in the field. Seeking a collaborative team environment to share ideas and knowledge.

---

**Education:**

[Your Degree] in [Your Major] \
[Your University], [Location] \
[Year of Graduation]

---

**Professional Experience:**

**UI/UX Design Projects**

- **Flower Lover:**
  - Designed a visually appealing flower delivery landing page.
  - Enhanced user experience through intuitive navigation for order placement and delivery information.
  - Conducted user research and competitor analysis to refine interface design and functionality.

- **House Hopper:**
  - Developed a comprehensive web service facilitating worldwide accommodation booking.
  - Designed user personas for property owners and guests, incorporating functions for searching, booking, communicating, and accessing travel information.
  - Prioritized user needs in interface design to ensure clarity and ease of use.

**Personal Projects:**

- **Educational Course Registration Landing Page:**
  - Developed a user-friendly landing page for course registration, emphasizing simplicity and accessibility.

---

**Skills:**

- UX Design
- UI Design
- User Research
- Competitor Analysis
- Prototyping
- Team Collaboration
- Continuous Learning

---

**Software & Tools:**

- [Tool 1]
- [Tool 2]
- [Tool 3]
- [Tool 4] (Include relevant design and research tools you are proficient in)

---

**Strengths:**

- Strong creative and analytical skills
- Effective communication and teamwork
- Driven by a commitment to learn and grow in the UX/UI field

---

[Include any additional sections such as Certifications, Awards, or Languages, if applicable.]

---"
250,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Phone Number]  
[Email Address]  
[LinkedIn Profile URL]  
[Portfolio Website URL]  

---

**Professional Summary**  
Innovative and results-driven Team Leader and UI/UX Designer with expertise in managing projects and driving design excellence. Accomplished in creating user-friendly interfaces, conducting user research, and delivering engaging user experiences. Proficient in design tools such as Figma, Adobe Photoshop, and Adobe Illustrator. Seeking to leverage skills in a challenging position that values responsibility, proactivity, and a commitment to results.

**Professional Experience**

**Team Leader, Techgen IT**  
- Led project management by organizing work, distributing tasks, and coordinating with developers and designers.
- Communicated project goals and explained design solutions to stakeholders.
- Demonstrated design animations to enhance understanding of proposed solutions.

**Freelance UI/UX Designer**

- **Team Lead UI/UX Designer for IT Community Website**  
  - Managed project coordination and design team to develop a comprehensive multi-page website.
  
- **UI/UX Designer for House Design Services Landing Page**  
  - Created a compelling interface showcasing completed projects and services offered.
  
- **UI/UX Designer for Air Ticket Mobile Application**  
  - Developed a user-friendly interface focusing on ease of search and purchase of air tickets.

**Skills**

- UI/UX Design & Development
- User Research & Usability Testing
- Design Prototyping
- Project Leadership & Team Management
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator

**Education**  
[Your Degree, if you have one]  
[Your University/College Name, along with year of graduation, if applicable]  

**Certifications**  
[List relevant certifications, if any]  

---  

References available upon request."
